VehicleType,Origin,Destination,Trips
I_09_1204235410404,Zone_12,Zone_11,2332
I_09_1204235410404,Zone_1,Zone_3,2168
I_09_1204235410404,Zone_7,Zone_9,2165
I_09_1204235410404,Zone_14,Zone_12,1816
I_09_1204235410404,Zone_2,Zone_3,1780
I_09_1204235410404,Zone_3,Zone_2,1735
I_09_1204235410404,Zone_3,Zone_1,1620
I_09_1204235410404,Zone_9,Zone_7,1459
I_09_1204235410404,Zone_11,Zone_10,1392
I_09_1204235410404,Zone_11,Zone_12,1248
I_09_1204235410404,Zone_10,Zone_15,1046
I_09_1204235410404,Zone_5,Zone_6,1044
I_09_1204235410404,Zone_10,Zone_9,915
I_09_1204235410404,Zone_9,Zone_5,888
I_09_1204235410404,Zone_1,Zone_5,863
I_09_1204235410404,Zone_5,Zone_1,749
I_09_1204235410404,Zone_13,Zone_12,666
I_09_1204235410404,Zone_6,Zone_5,657
I_09_1204235410404,Zone_16,Zone_11,633
I_09_1204235410404,Zone_12,Zone_14,621
I_09_1204235410404,Zone_11,Zone_13,588
I_09_1204235410404,Zone_15,Zone_12,586
I_09_1204235410404,Zone_14,Zone_13,562
I_09_1204235410404,Zone_12,Zone_16,554
I_09_1204235410404,Zone_5,Zone_15,526
I_09_1204235410404,Zone_9,Zone_1,516
I_09_1204235410404,Zone_11,Zone_14,513
I_09_1204235410404,Zone_5,Zone_9,494
I_09_1204235410404,Zone_9,Zone_6,470
I_09_1204235410404,Zone_15,Zone_11,428
I_09_1204235410404,Zone_1,Zone_15,344
I_09_1204235410404,Zone_8,Zone_10,337
I_09_1204235410404,Zone_9,Zone_10,309
I_09_1204235410404,Zone_15,Zone_14,308
I_09_1204235410404,Zone_9,Zone_13,308
I_09_1204235410404,Zone_10,Zone_11,295
I_09_1204235410404,Zone_1,Zone_6,285
I_09_1204235410404,Zone_6,Zone_15,277
I_09_1204235410404,Zone_2,Zone_1,267
I_09_1204235410404,Zone_13,Zone_11,255
I_09_1204235410404,Zone_16,Zone_12,253
I_09_1204235410404,Zone_16,Zone_14,246
I_09_1204235410404,Zone_15,Zone_7,241
I_09_1204235410404,Zone_10,Zone_14,239
I_09_1204235410404,Zone_1,Zone_9,228
I_09_1204235410404,Zone_2,Zone_5,228
I_09_1204235410404,Zone_5,Zone_11,224
I_09_1204235410404,Zone_1,Zone_2,220
I_09_1204235410404,Zone_8,Zone_9,208
I_09_1204235410404,Zone_13,Zone_15,207
I_09_1204235410404,Zone_2,Zone_15,207
I_09_1204235410404,Zone_9,Zone_2,207
I_09_1204235410404,Zone_6,Zone_1,203
I_09_1204235410404,Zone_8,Zone_14,198
I_09_1204235410404,Zone_12,Zone_15,195
I_09_1204235410404,Zone_11,Zone_1,192
I_09_1204235410404,Zone_15,Zone_9,191
I_09_1204235410404,Zone_10,Zone_8,186
I_09_1204235410404,Zone_7,Zone_5,182
I_09_1204235410404,Zone_1,Zone_12,175
I_09_1204235410404,Zone_9,Zone_8,168
I_09_1204235410404,Zone_13,Zone_9,161
I_09_1204235410404,Zone_5,Zone_2,158
I_09_1204235410404,Zone_7,Zone_8,152
I_09_1204235410404,Zone_10,Zone_16,150
I_09_1204235410404,Zone_14,Zone_11,144
I_09_1204235410404,Zone_14,Zone_7,143
I_09_1204235410404,Zone_9,Zone_3,139
I_09_1204235410404,Zone_13,Zone_14,136
I_09_1204235410404,Zone_9,Zone_14,134
I_09_1204235410404,Zone_15,Zone_8,129
I_09_1204235410404,Zone_1,Zone_11,126
I_09_1204235410404,Zone_5,Zone_13,126
I_09_1204235410404,Zone_3,Zone_5,124
I_09_1204235410404,Zone_5,Zone_16,122
I_09_1204235410404,Zone_1,Zone_13,121
I_09_1204235410404,Zone_5,Zone_12,120
I_09_1204235410404,Zone_12,Zone_13,118
I_09_1204235410404,Zone_7,Zone_1,118
I_09_1204235410404,Zone_8,Zone_7,112
I_09_1204235410404,Zone_5,Zone_3,111
I_09_1204235410404,Zone_12,Zone_7,108
I_09_1204235410404,Zone_14,Zone_9,108
I_09_1204235410404,Zone_6,Zone_12,103
I_09_1204235410404,Zone_11,Zone_3,101
I_09_1204235410404,Zone_6,Zone_9,101
I_09_1204235410404,Zone_8,Zone_5,95
I_09_1204235410404,Zone_14,Zone_8,94
I_09_1204235410404,Zone_13,Zone_7,91
I_09_1204235410404,Zone_8,Zone_12,89
I_09_1204235410404,Zone_16,Zone_13,88
I_09_1204235410404,Zone_5,Zone_14,85
I_09_1204235410404,Zone_2,Zone_12,79
I_09_1204235410404,Zone_3,Zone_15,76
I_09_1204235410404,Zone_4,Zone_9,75
I_09_1204235410404,Zone_1,Zone_4,74
I_09_1204235410404,Zone_12,Zone_9,72
I_09_1204235410404,Zone_13,Zone_1,67
I_09_1204235410404,Zone_2,Zone_9,66
I_09_1204235410404,Zone_5,Zone_4,65
I_09_1204235410404,Zone_9,Zone_12,64
I_09_1204235410404,Zone_12,Zone_8,62
I_09_1204235410404,Zone_15,Zone_13,62
I_09_1204235410404,Zone_11,Zone_16,58
I_09_1204235410404,Zone_12,Zone_1,58
I_09_1204235410404,Zone_1,Zone_14,57
I_09_1204235410404,Zone_14,Zone_10,57
I_09_1204235410404,Zone_8,Zone_11,53
I_09_1204235410404,Zone_13,Zone_8,52
I_09_1204235410404,Zone_7,Zone_2,51
I_09_1204235410404,Zone_15,Zone_10,49
I_09_1204235410404,Zone_11,Zone_9,48
I_09_1204235410404,Zone_4,Zone_1,47
I_09_1204235410404,Zone_6,Zone_11,46
I_09_1204235410404,Zone_6,Zone_2,46
I_09_1204235410404,Zone_11,Zone_5,45
I_09_1204235410404,Zone_13,Zone_6,45
I_09_1204235410404,Zone_5,Zone_8,44
I_09_1204235410404,Zone_8,Zone_13,44
I_09_1204235410404,Zone_12,Zone_6,43
I_09_1204235410404,Zone_3,Zone_9,43
I_09_1204235410404,Zone_7,Zone_15,43
I_09_1204235410404,Zone_5,Zone_7,42
I_09_1204235410404,Zone_16,Zone_15,41
I_09_1204235410404,Zone_7,Zone_12,41
I_09_1204235410404,Zone_10,Zone_7,40
I_09_1204235410404,Zone_14,Zone_1,40
I_09_1204235410404,Zone_15,Zone_5,40
I_09_1204235410404,Zone_11,Zone_7,39
I_09_1204235410404,Zone_14,Zone_15,39
I_09_1204235410404,Zone_9,Zone_4,39
I_09_1204235410404,Zone_2,Zone_6,38
I_09_1204235410404,Zone_4,Zone_6,38
I_09_1204235410404,Zone_3,Zone_12,37
I_09_1204235410404,Zone_1,Zone_16,36
I_09_1204235410404,Zone_1,Zone_7,36
I_09_1204235410404,Zone_13,Zone_2,36
I_09_1204235410404,Zone_7,Zone_13,36
I_09_1204235410404,Zone_15,Zone_1,34
I_09_1204235410404,Zone_4,Zone_15,34
I_09_1204235410404,Zone_4,Zone_5,34
I_09_1204235410404,Zone_11,Zone_8,33
I_09_1204235410404,Zone_14,Zone_6,33
I_09_1204235410404,Zone_15,Zone_16,33
I_09_1204235410404,Zone_7,Zone_10,33
I_09_1204235410404,Zone_11,Zone_15,32
I_09_1204235410404,Zone_11,Zone_6,32
I_09_1204235410404,Zone_9,Zone_15,32
I_09_1204235410404,Zone_13,Zone_5,31
I_09_1204235410404,Zone_10,Zone_5,29
I_09_1204235410404,Zone_15,Zone_6,29
I_09_1204235410404,Zone_6,Zone_14,29
I_09_1204235410404,Zone_8,Zone_2,29
