x1_s,x2_s,x3_s
0.0,48.0,42.0
0.0,48.0,43.2
0.0,48.0,44.4
0.0,48.0,45.6
0.0,48.0,46.8
0.0,48.0,48.0
0.0,48.0,49.2
0.0,48.0,50.4
0.0,48.0,51.6
0.0,48.0,52.8
0.0,48.0,54.0
0.0,48.0,55.2
0.0,48.0,56.4
0.0,48.0,57.6
0.0,48.0,58.8
0.0,48.0,60.0
0.0,48.0,61.2
0.0,48.0,62.4
0.0,48.0,63.6
0.0,48.0,64.8
0.0,48.0,66.0
0.0,48.0,67.2
0.0,48.0,68.4
0.0,48.0,69.6
0.0,48.0,70.8
0.0,48.0,72.0
0.0,48.0,73.2
0.0,48.0,74.4
0.0,48.0,75.6
0.0,48.0,76.8
0.0,48.0,78.0
0.0,49.2,43.2
0.0,49.2,44.4
0.0,49.2,45.6
0.0,49.2,46.8
0.0,49.2,48.0
0.0,49.2,49.2
0.0,49.2,50.4
0.0,49.2,51.6
0.0,49.2,52.8
0.0,49.2,54.0
0.0,49.2,55.2
0.0,49.2,56.4
0.0,49.2,57.6
0.0,49.2,58.8
0.0,49.2,60.0
0.0,49.2,61.2
0.0,49.2,62.4
0.0,49.2,63.6
0.0,49.2,64.8
0.0,49.2,66.0
0.0,49.2,67.2
0.0,49.2,68.4
0.0,49.2,69.6
0.0,49.2,70.8
0.0,49.2,72.0
0.0,49.2,73.2
0.0,49.2,74.4
0.0,49.2,75.6
0.0,49.2,76.8
0.0,49.2,78.0
0.0,49.2,79.2
0.0,50.4,44.4
0.0,50.4,45.6
0.0,50.4,46.8
0.0,50.4,48.0
0.0,50.4,49.2
0.0,50.4,50.4
0.0,50.4,51.6
0.0,50.4,52.8
0.0,50.4,54.0
0.0,50.4,55.2
0.0,50.4,56.4
0.0,50.4,57.6
0.0,50.4,58.8
0.0,50.4,60.0
0.0,50.4,61.2
0.0,50.4,62.4
0.0,50.4,63.6
0.0,50.4,64.8
0.0,50.4,66.0
0.0,50.4,67.2
0.0,50.4,68.4
0.0,50.4,69.6
0.0,50.4,70.8
0.0,50.4,72.0
0.0,50.4,73.2
0.0,50.4,74.4
0.0,50.4,75.6
0.0,50.4,76.8
0.0,50.4,78.0
0.0,50.4,79.2
0.0,50.4,80.4
0.0,51.6,45.6
0.0,51.6,46.8
0.0,51.6,48.0
0.0,51.6,49.2
0.0,51.6,50.4
0.0,51.6,51.6
0.0,51.6,52.8
0.0,51.6,54.0
0.0,51.6,55.2
0.0,51.6,56.4
0.0,51.6,57.6
0.0,51.6,58.8
0.0,51.6,60.0
0.0,51.6,61.2
0.0,51.6,62.4
0.0,51.6,63.6
0.0,51.6,64.8
0.0,51.6,66.0
0.0,51.6,67.2
0.0,51.6,68.4
0.0,51.6,69.6
0.0,51.6,70.8
0.0,51.6,72.0
0.0,51.6,73.2
0.0,51.6,74.4
0.0,51.6,75.6
0.0,51.6,76.8
0.0,51.6,78.0
0.0,51.6,79.2
0.0,51.6,80.4
0.0,51.6,81.6
0.0,52.8,46.8
0.0,52.8,48.0
0.0,52.8,49.2
0.0,52.8,50.4
0.0,52.8,51.6
0.0,52.8,52.8
0.0,52.8,54.0
0.0,52.8,55.2
0.0,52.8,56.4
0.0,52.8,57.6
0.0,52.8,58.8
0.0,52.8,60.0
0.0,52.8,61.2
0.0,52.8,62.4
0.0,52.8,63.6
