x1_s,x2_s,delay_s_per_veh
0.0,0.0,66.0
0.0,1.2,64.8
0.0,2.4,63.6
0.0,3.5999999999999996,62.4
0.0,4.8,61.2
0.0,6.0,60.0
0.0,7.199999999999999,60.0
0.0,8.4,60.0
0.0,9.6,60.0
0.0,10.799999999999999,60.0
0.0,12.0,60.0
0.0,13.2,60.0
0.0,14.399999999999999,60.0
0.0,15.6,60.0
0.0,16.8,60.0
0.0,18.0,60.0
0.0,19.2,60.0
0.0,20.4,60.0
0.0,21.599999999999998,60.0
0.0,22.8,60.0
0.0,24.0,60.0
0.0,25.2,60.0
0.0,26.4,60.0
0.0,27.599999999999998,60.0
0.0,28.799999999999997,60.0
0.0,30.0,60.0
0.0,31.2,60.0
0.0,32.4,60.0
0.0,33.6,60.0
0.0,34.8,60.0
0.0,36.0,60.0
0.0,37.199999999999996,58.8
0.0,38.4,57.6
0.0,39.6,56.4
0.0,40.8,55.2
0.0,42.0,54.0
0.0,43.199999999999996,52.8
0.0,44.4,51.6
0.0,45.6,50.4
0.0,46.8,49.2
0.0,48.0,48.0
0.0,49.199999999999996,49.2
0.0,50.4,50.4
0.0,51.6,51.6
0.0,52.8,52.8
0.0,54.0,54.0
0.0,55.199999999999996,55.2
0.0,56.4,56.4
0.0,57.599999999999994,57.6
0.0,58.8,58.8
0.0,60.0,60.0
0.0,61.199999999999996,61.2
0.0,62.4,62.4
0.0,63.599999999999994,63.6
0.0,64.8,64.8
0.0,66.0,66.0
0.0,67.2,67.2
0.0,68.39999999999999,68.4
0.0,69.6,69.6
0.0,70.8,70.8
0.0,72.0,72.0
0.0,73.2,70.8
0.0,74.39999999999999,69.6
0.0,75.6,68.4
0.0,76.8,67.2
0.0,78.0,66.0
0.0,79.2,64.8
0.0,80.39999999999999,63.6
0.0,81.6,62.4
0.0,82.8,61.2
0.0,84.0,60.0
0.0,85.2,60.0
0.0,86.39999999999999,60.0
0.0,87.6,60.0
0.0,88.8,60.0
0.0,90.0,60.0
0.0,91.2,61.2
0.0,92.39999999999999,62.4
0.0,93.6,63.6
0.0,94.8,64.8
0.0,96.0,66.0
0.0,97.2,67.2
0.0,98.39999999999999,68.4
0.0,99.6,69.6
0.0,100.8,70.8
0.0,102.0,72.0
0.0,103.2,72.0
0.0,104.39999999999999,72.0
0.0,105.6,72.0
0.0,106.8,72.0
0.0,108.0,72.0
0.0,109.2,72.0
0.0,110.39999999999999,72.0
0.0,111.6,72.0
0.0,112.8,72.0
0.0,114.0,72.0
0.0,115.19999999999999,70.8
0.0,116.39999999999999,69.6
0.0,117.6,68.4
0.0,118.8,67.2
1.2,0.0,66.0
1.2,1.2,64.8
1.2,2.4,63.6
1.2,3.5999999999999996,62.4
1.2,4.8,61.2
1.2,6.0,60.0
1.2,7.199999999999999,60.0
1.2,8.4,60.0
1.2,9.6,60.0
1.2,10.799999999999999,60.0
1.2,12.0,60.0
1.2,13.2,60.0
1.2,14.399999999999999,60.0
1.2,15.6,60.0
1.2,16.8,60.0
1.2,18.0,60.0
1.2,19.2,60.0
1.2,20.4,60.0
1.2,21.599999999999998,60.0
1.2,22.8,60.0
1.2,24.0,60.0
1.2,25.2,60.0
1.2,26.4,60.0
1.2,27.599999999999998,60.0
1.2,28.799999999999997,60.0
1.2,30.0,60.0
1.2,31.2,60.0
1.2,32.4,60.0
1.2,33.6,60.0
1.2,34.8,60.0
1.2,36.0,60.0
1.2,37.199999999999996,60.0
1.2,38.4,58.8
1.2,39.6,57.6
1.2,40.8,56.4
1.2,42.0,55.2
1.2,43.199999999999996,54.0
1.2,44.4,52.8
1.2,45.6,51.6
1.2,46.8,50.4
1.2,48.0,49.2
1.2,49.199999999999996,49.2
1.2,50.4,50.4
1.2,51.6,51.6
1.2,52.8,52.8
1.2,54.0,54.0
1.2,55.199999999999996,55.2
1.2,56.4,56.4
1.2,57.599999999999994,57.6
1.2,58.8,58.8
1.2,60.0,60.0
1.2,61.199999999999996,61.2
1.2,62.4,62.4
1.2,63.599999999999994,63.6
1.2,64.8,64.8
1.2,66.0,66.0
1.2,67.2,67.2
1.2,68.39999999999999,68.4
1.2,69.6,69.6
1.2,70.8,70.8
1.2,72.0,72.0
1.2,73.2,72.0
1.2,74.39999999999999,70.8
1.2,75.6,69.6
1.2,76.8,68.4
1.2,78.0,67.2
1.2,79.2,66.0
1.2,80.39999999999999,64.8
1.2,81.6,63.6
1.2,82.8,62.4
1.2,84.0,61.2
1.2,85.2,60.0
1.2,86.39999999999999,60.0
1.2,87.6,60.0
1.2,88.8,60.0
1.2,90.0,60.0
1.2,91.2,61.2
1.2,92.39999999999999,62.4
1.2,93.6,63.6
1.2,94.8,64.8
1.2,96.0,66.0
1.2,97.2,67.2
1.2,98.39999999999999,68.4
1.2,99.6,69.6
1.2,100.8,70.8
1.2,102.0,72.0
1.2,103.2,72.0
1.2,104.39999999999999,72.0
1.2,105.6,72.0
1.2,106.8,72.0
1.2,108.0,72.0
1.2,109.2,72.0
1.2,110.39999999999999,72.0
1.2,111.6,72.0
1.2,112.8,72.0
1.2,114.0,72.0
1.2,115.19999999999999,70.8
1.2,116.39999999999999,69.6
1.2,117.6,68.4
1.2,118.8,67.2
2.4,0.0,66.0
2.4,1.2,64.8
2.4,2.4,63.6
2.4,3.5999999999999996,62.4
2.4,4.8,61.2
2.4,6.0,60.0
2.4,7.199999999999999,60.0
2.4,8.4,60.0
2.4,9.6,60.0
2.4,10.799999999999999,60.0
2.4,12.0,60.0
2.4,13.2,60.0
2.4,14.399999999999999,60.0
2.4,15.6,60.0
2.4,16.8,60.0
2.4,18.0,60.0
2.4,19.2,60.0
2.4,20.4,60.0
2.4,21.599999999999998,60.0
2.4,22.8,60.0
2.4,24.0,60.0
2.4,25.2,60.0
2.4,26.4,60.0
2.4,27.599999999999998,60.0
2.4,28.799999999999997,60.0
2.4,30.0,60.0
2.4,31.2,60.0
2.4,32.4,60.0
2.4,33.6,60.0
2.4,34.8,60.0
2.4,36.0,60.0
2.4,37.199999999999996,60.0
2.4,38.4,60.0
2.4,39.6,58.8
2.4,40.8,57.6
2.4,42.0,56.4
2.4,43.199999999999996,55.2
2.4,44.4,54.0
2.4,45.6,52.8
2.4,46.8,51.6
2.4,48.0,50.4
2.4,49.199999999999996,50.4
2.4,50.4,50.4
2.4,51.6,51.6
2.4,52.8,52.8
2.4,54.0,54.0
2.4,55.199999999999996,55.2
2.4,56.4,56.4
2.4,57.599999999999994,57.6
2.4,58.8,58.8
2.4,60.0,60.0
2.4,61.199999999999996,61.2
2.4,62.4,62.4
2.4,63.599999999999994,63.6
2.4,64.8,64.8
2.4,66.0,66.0
2.4,67.2,67.2
2.4,68.39999999999999,68.4
2.4,69.6,69.6
2.4,70.8,70.8
2.4,72.0,72.0
2.4,73.2,72.0
2.4,74.39999999999999,72.0
2.4,75.6,70.8
2.4,76.8,69.6
2.4,78.0,68.4
2.4,79.2,67.2
2.4,80.39999999999999,66.0
2.4,81.6,64.8
2.4,82.8,63.6
2.4,84.0,62.4
2.4,85.2,61.2
2.4,86.39999999999999,60.0
2.4,87.6,60.0
2.4,88.8,60.0
2.4,90.0,60.0
2.4,91.2,61.2
2.4,92.39999999999999,62.4
2.4,93.6,63.6
2.4,94.8,64.8
2.4,96.0,66.0
2.4,97.2,67.2
2.4,98.39999999999999,68.4
2.4,99.6,69.6
2.4,100.8,70.8
2.4,102.0,72.0
2.4,103.2,72.0
2.4,104.39999999999999,72.0
2.4,105.6,72.0
2.4,106.8,72.0
2.4,108.0,72.0
2.4,109.2,72.0
2.4,110.39999999999999,72.0
2.4,111.6,72.0
2.4,112.8,72.0
2.4,114.0,72.0
2.4,115.19999999999999,70.8
2.4,116.39999999999999,69.6
2.4,117.6,68.4
2.4,118.8,67.2
3.5999999999999996,0.0,66.0
3.5999999999999996,1.2,64.8
3.5999999999999996,2.4,63.6
3.5999999999999996,3.5999999999999996,62.4
3.5999999999999996,4.8,61.2
3.5999999999999996,6.0,60.0
3.5999999999999996,7.199999999999999,60.0
3.5999999999999996,8.4,60.0
3.5999999999999996,9.6,60.0
3.5999999999999996,10.799999999999999,60.0
3.5999999999999996,12.0,60.0
3.5999999999999996,13.2,60.0
3.5999999999999996,14.399999999999999,60.0
3.5999999999999996,15.6,60.0
3.5999999999999996,16.8,60.0
3.5999999999999996,18.0,60.0
3.5999999999999996,19.2,60.0
3.5999999999999996,20.4,60.0
3.5999999999999996,21.599999999999998,60.0
3.5999999999999996,22.8,60.0
3.5999999999999996,24.0,60.0
3.5999999999999996,25.2,60.0
3.5999999999999996,26.4,60.0
3.5999999999999996,27.599999999999998,60.0
3.5999999999999996,28.799999999999997,60.0
3.5999999999999996,30.0,60.0
3.5999999999999996,31.2,60.0
3.5999999999999996,32.4,60.0
3.5999999999999996,33.6,60.0
3.5999999999999996,34.8,60.0
3.5999999999999996,36.0,60.0
3.5999999999999996,37.199999999999996,60.0
3.5999999999999996,38.4,60.0
3.5999999999999996,39.6,60.0
