route_id,start_speed,end_speed,n_speeds,all_common_count,exists_common,observed_n_speeds_in_results_final,TTT_min_in_interval,TTT_max_in_interval,TTT_range,ttt_const_threshold,ttt_const_flag,common_flag,both_flag
311.0,20.0,20.0,1.0,3075.0,1.0,1,263.9999999999935,263.9999999999935,0.0,0.0,1,1,1
311.0,20.0,22.5,2.0,0.0,0.0,2,240.0,263.9999999999935,23.99999999999352,0.0,0,0,0
311.0,20.0,25.0,3.0,0.0,0.0,3,203.9999999999945,263.9999999999935,59.999999999999034,0.0,0,0,0
311.0,20.0,27.5,4.0,0.0,0.0,4,179.9999999999967,263.9999999999935,83.99999999999682,0.0,0,0,0
311.0,20.0,30.0,5.0,0.0,0.0,5,179.9999999999967,263.9999999999935,83.99999999999682,0.0,0,0,0
311.0,20.0,32.5,6.0,0.0,0.0,6,179.9999999999967,263.9999999999935,83.99999999999682,0.0,0,0,0
311.0,20.0,35.0,7.0,0.0,0.0,7,179.9999999999967,263.9999999999935,83.99999999999682,0.0,0,0,0
311.0,20.0,37.5,8.0,0.0,0.0,8,175.9999999999997,263.9999999999935,87.99999999999383,0.0,0,0,0
311.0,20.0,40.0,9.0,0.0,0.0,9,170.9999999999995,263.9999999999935,92.99999999999403,0.0,0,0,0
311.0,20.0,42.5,10.0,0.0,0.0,10,165.1764705882349,263.9999999999935,98.82352941175861,0.0,0,0,0
311.0,20.0,45.0,11.0,0.0,0.0,11,157.3333333333327,263.9999999999935,106.66666666666083,0.0,0,0,0
311.0,20.0,47.5,12.0,0.0,0.0,12,150.3157894736835,263.9999999999935,113.68421052631001,0.0,0,0,0
311.0,20.0,50.0,13.0,0.0,0.0,13,143.9999999999995,263.9999999999935,119.99999999999403,0.0,0,0,0
311.0,22.5,22.5,1.0,2640.0,1.0,1,240.0,240.0,0.0,0.0,1,1,1
311.0,22.5,25.0,2.0,0.0,0.0,2,203.9999999999945,240.0,36.000000000005514,0.0,0,0,0
311.0,22.5,27.5,3.0,0.0,0.0,3,179.9999999999967,240.0,60.0000000000033,0.0,0,0,0
311.0,22.5,30.0,4.0,0.0,0.0,4,179.9999999999967,240.0,60.0000000000033,0.0,0,0,0
311.0,22.5,32.5,5.0,0.0,0.0,5,179.9999999999967,240.0,60.0000000000033,0.0,0,0,0
311.0,22.5,35.0,6.0,0.0,0.0,6,179.9999999999967,240.0,60.0000000000033,0.0,0,0,0
311.0,22.5,37.5,7.0,0.0,0.0,7,175.9999999999997,240.0,64.00000000000031,0.0,0,0,0
311.0,22.5,40.0,8.0,0.0,0.0,8,170.9999999999995,240.0,69.00000000000051,0.0,0,0,0
311.0,22.5,42.5,9.0,0.0,0.0,9,165.1764705882349,240.0,74.8235294117651,0.0,0,0,0
311.0,22.5,45.0,10.0,0.0,0.0,10,157.3333333333327,240.0,82.66666666666731,0.0,0,0,0
311.0,22.5,47.5,11.0,0.0,0.0,11,150.3157894736835,240.0,89.68421052631649,0.0,0,0,0
311.0,22.5,50.0,12.0,0.0,0.0,12,143.9999999999995,240.0,96.00000000000051,0.0,0,0,0
311.0,25.0,25.0,1.0,4851.0,1.0,1,203.9999999999945,203.9999999999945,0.0,0.0,1,1,1
311.0,25.0,27.5,2.0,1389.0,1.0,2,179.9999999999967,203.9999999999945,23.999999999997783,0.0,0,1,0
311.0,25.0,30.0,3.0,1389.0,1.0,3,179.9999999999967,203.9999999999945,23.999999999997783,0.0,0,1,0
311.0,25.0,32.5,4.0,1389.0,1.0,4,179.9999999999967,203.9999999999945,23.999999999997783,0.0,0,1,0
311.0,25.0,35.0,5.0,1389.0,1.0,5,179.9999999999967,203.9999999999945,23.999999999997783,0.0,0,1,0
311.0,25.0,37.5,6.0,0.0,0.0,6,175.9999999999997,203.9999999999945,27.9999999999948,0.0,0,0,0
311.0,25.0,40.0,7.0,0.0,0.0,7,170.9999999999995,203.9999999999945,32.999999999995,0.0,0,0,0
311.0,25.0,42.5,8.0,0.0,0.0,8,165.1764705882349,203.9999999999945,38.82352941175958,0.0,0,0,0
311.0,25.0,45.0,9.0,0.0,0.0,9,157.3333333333327,203.9999999999945,46.6666666666618,0.0,0,0,0
311.0,25.0,47.5,10.0,0.0,0.0,10,150.3157894736835,203.9999999999945,53.68421052631098,0.0,0,0,0
311.0,25.0,50.0,11.0,0.0,0.0,11,143.9999999999995,203.9999999999945,59.999999999995,0.0,0,0,0
311.0,27.5,27.5,1.0,1749.0,1.0,1,179.9999999999967,179.9999999999967,0.0,0.0,1,1,1
311.0,27.5,30.0,2.0,1749.0,1.0,2,179.9999999999967,180.0,3.296918293926865e-12,0.0,0,1,0
311.0,27.5,32.5,3.0,1749.0,1.0,3,179.9999999999967,180.0,3.296918293926865e-12,0.0,0,1,0
311.0,27.5,35.0,4.0,1749.0,1.0,4,179.9999999999967,180.0,3.296918293926865e-12,0.0,0,1,0
311.0,27.5,37.5,5.0,0.0,0.0,5,175.9999999999997,180.0,4.000000000000313,0.0,0,0,0
311.0,27.5,40.0,6.0,0.0,0.0,6,170.9999999999995,180.0,9.000000000000512,0.0,0,0,0
311.0,27.5,42.5,7.0,0.0,0.0,7,165.1764705882349,180.0,14.823529411765094,0.0,0,0,0
311.0,27.5,45.0,8.0,0.0,0.0,8,157.3333333333327,180.0,22.66666666666731,0.0,0,0,0
311.0,27.5,47.5,9.0,0.0,0.0,9,150.3157894736835,180.0,29.68421052631649,0.0,0,0,0
311.0,27.5,50.0,10.0,0.0,0.0,10,143.9999999999995,180.0,36.00000000000051,0.0,0,0,0
311.0,30.0,30.0,1.0,15559.0,1.0,1,180.0,180.0,0.0,0.0,1,1,1
311.0,30.0,32.5,2.0,15559.0,1.0,2,180.0,180.0,0.0,0.0,1,1,1
311.0,30.0,35.0,3.0,15559.0,1.0,3,180.0,180.0,0.0,0.0,1,1,1
311.0,30.0,37.5,4.0,0.0,0.0,4,175.9999999999997,180.0,4.000000000000313,0.0,0,0,0
311.0,30.0,40.0,5.0,0.0,0.0,5,170.9999999999995,180.0,9.000000000000512,0.0,0,0,0
311.0,30.0,42.5,6.0,0.0,0.0,6,165.1764705882349,180.0,14.823529411765094,0.0,0,0,0
311.0,30.0,45.0,7.0,0.0,0.0,7,157.3333333333327,180.0,22.66666666666731,0.0,0,0,0
311.0,30.0,47.5,8.0,0.0,0.0,8,150.3157894736835,180.0,29.68421052631649,0.0,0,0,0
311.0,30.0,50.0,9.0,0.0,0.0,9,143.9999999999995,180.0,36.00000000000051,0.0,0,0,0
311.0,32.5,32.5,1.0,35693.0,1.0,1,180.0,180.0,0.0,0.0,1,1,1
311.0,32.5,35.0,2.0,35693.0,1.0,2,180.0,180.0,0.0,0.0,1,1,1
311.0,32.5,37.5,3.0,0.0,0.0,3,175.9999999999997,180.0,4.000000000000313,0.0,0,0,0
311.0,32.5,40.0,4.0,0.0,0.0,4,170.9999999999995,180.0,9.000000000000512,0.0,0,0,0
311.0,32.5,42.5,5.0,0.0,0.0,5,165.1764705882349,180.0,14.823529411765094,0.0,0,0,0
311.0,32.5,45.0,6.0,0.0,0.0,6,157.3333333333327,180.0,22.66666666666731,0.0,0,0,0
311.0,32.5,47.5,7.0,0.0,0.0,7,150.3157894736835,180.0,29.68421052631649,0.0,0,0,0
311.0,32.5,50.0,8.0,0.0,0.0,8,143.9999999999995,180.0,36.00000000000051,0.0,0,0,0
311.0,35.0,35.0,1.0,64225.0,1.0,1,180.0,180.0,0.0,0.0,1,1,1
311.0,35.0,37.5,2.0,0.0,0.0,2,175.9999999999997,180.0,4.000000000000313,0.0,0,0,0
311.0,35.0,40.0,3.0,0.0,0.0,3,170.9999999999995,180.0,9.000000000000512,0.0,0,0,0
311.0,35.0,42.5,4.0,0.0,0.0,4,165.1764705882349,180.0,14.823529411765094,0.0,0,0,0
311.0,35.0,45.0,5.0,0.0,0.0,5,157.3333333333327,180.0,22.66666666666731,0.0,0,0,0
311.0,35.0,47.5,6.0,0.0,0.0,6,150.3157894736835,180.0,29.68421052631649,0.0,0,0,0
311.0,35.0,50.0,7.0,0.0,0.0,7,143.9999999999995,180.0,36.00000000000051,0.0,0,0,0
311.0,37.5,37.5,1.0,17061.0,1.0,1,175.9999999999997,175.9999999999997,0.0,0.0,1,1,1
311.0,37.5,40.0,2.0,15609.0,1.0,2,170.9999999999995,175.9999999999997,5.000000000000199,0.0,0,1,0
311.0,37.5,42.5,3.0,0.0,0.0,3,165.1764705882349,175.9999999999997,10.823529411764781,0.0,0,0,0
311.0,37.5,45.0,4.0,0.0,0.0,4,157.3333333333327,175.9999999999997,18.666666666667,0.0,0,0,0
311.0,37.5,47.5,5.0,0.0,0.0,5,150.3157894736835,175.9999999999997,25.68421052631618,0.0,0,0,0
