route_id,start_speed,end_speed,n_speeds,all_common_count,exists_common,observed_n_speeds_in_results_final,TTT_min_in_interval,TTT_max_in_interval,TTT_range,ttt_const_threshold,ttt_const_flag,common_flag,both_flag,interval_type
311,20,20,1,3075,1,1,263.9999999999935,263.9999999999935,0,0,1,1,1,both
311,22.5,22.5,1,2640,1,1,240,240,0,0,1,1,1,both
311,25,25,1,4851,1,1,203.9999999999945,203.9999999999945,0,0,1,1,1,both
311,27.5,27.5,1,1749,1,1,179.9999999999967,179.9999999999967,0,0,1,1,1,both
311,30,35,3,15559,1,3,180,180,0,0,1,1,1,both
311,37.5,37.5,1,17061,1,1,175.9999999999997,175.9999999999997,0,0,1,1,1,both
311,40,40,1,26445,1,1,170.9999999999995,170.9999999999995,0,0,1,1,1,both
311,42.5,42.5,1,12654,1,1,165.1764705882349,165.1764705882349,0,0,1,1,1,both
311,45,45,1,14025,1,1,157.3333333333327,157.3333333333327,0,0,1,1,1,both
311,47.5,47.5,1,16433,1,1,150.3157894736835,150.3157894736835,0,0,1,1,1,both
311,50,50,1,21681,1,1,143.9999999999995,143.9999999999995,0,0,1,1,1,both
311,20,20,1,3075,1,1,263.9999999999935,263.9999999999935,0,0,1,1,1,common_optimal
311,22.5,22.5,1,2640,1,1,240,240,0,0,1,1,1,common_optimal
311,25,35,5,1389,1,5,179.9999999999967,203.9999999999945,23.999999999997783,0,0,1,0,common_optimal
311,37.5,40,2,15609,1,2,170.9999999999995,175.9999999999997,5.000000000000199,0,0,1,0,common_optimal
311,42.5,50,4,5226,1,4,143.9999999999995,165.1764705882349,21.176470588235418,0,0,1,0,common_optimal
311,20,20,1,3075,1,1,263.9999999999935,263.9999999999935,0,0,1,1,1,ttt_constant
311,22.5,22.5,1,2640,1,1,240,240,0,0,1,1,1,ttt_constant
311,25,25,1,4851,1,1,203.9999999999945,203.9999999999945,0,0,1,1,1,ttt_constant
311,27.5,27.5,1,1749,1,1,179.9999999999967,179.9999999999967,0,0,1,1,1,ttt_constant
311,30,35,3,15559,1,3,180,180,0,0,1,1,1,ttt_constant
311,37.5,37.5,1,17061,1,1,175.9999999999997,175.9999999999997,0,0,1,1,1,ttt_constant
311,40,40,1,26445,1,1,170.9999999999995,170.9999999999995,0,0,1,1,1,ttt_constant
311,42.5,42.5,1,12654,1,1,165.1764705882349,165.1764705882349,0,0,1,1,1,ttt_constant
311,45,45,1,14025,1,1,157.3333333333327,157.3333333333327,0,0,1,1,1,ttt_constant
311,47.5,47.5,1,16433,1,1,150.3157894736835,150.3157894736835,0,0,1,1,1,ttt_constant
311,50,50,1,21681,1,1,143.9999999999995,143.9999999999995,0,0,1,1,1,ttt_constant
312,20,20,1,1575,1,1,323.9999999999997,323.9999999999997,0,0,1,1,1,both
312,22.5,22.5,1,2625,1,1,303.9999999999997,303.9999999999997,0,0,1,1,1,both
