route_id,start_speed,end_speed,n_speeds,all_common_count,exists_common
332,27.5,37.5,5,235,1
332,40.0,50.0,5,189,1
332,42.5,50.0,4,441,1
332,27.5,35.0,4,235,1
332,30.0,37.5,4,235,1
332,40.0,47.5,4,207,1
332,45.0,50.0,3,819,1
332,42.5,47.5,3,483,1
332,32.5,37.5,3,273,1
332,27.5,32.5,3,235,1
332,30.0,35.0,3,235,1
332,40.0,45.0,3,225,1
332,35.0,37.5,2,6699,1
332,47.5,50.0,2,2499,1
332,27.5,30.0,2,2101,1
332,45.0,47.5,2,897,1
332,25.0,27.5,2,882,1
332,42.5,45.0,2,525,1
332,40.0,42.5,2,279,1
332,32.5,35.0,2,273,1
332,30.0,32.5,2,235,1
332,37.5,37.5,1,20699,1
332,27.5,27.5,1,18237,1
332,25.0,25.0,1,16212,1
332,35.0,35.0,1,6699,1
332,50.0,50.0,1,4851,1
332,47.5,47.5,1,2737,1
332,30.0,30.0,1,2101,1
332,20.0,20.0,1,1085,1
332,45.0,45.0,1,975,1
