路線番号,pattern_id,n_speeds,max_run
311,3428,1,1
311,3429,1,1
311,3430,1,1
311,3529,1,1
311,3530,1,1
311,3531,1,1
311,3628,1,1
311,3629,1,1
311,3630,2,2
311,3631,2,2
311,3632,2,2
311,3633,1,1
311,3634,1,1
311,3635,1,1
311,3729,1,1
311,3730,1,1
311,3731,2,2
311,3732,2,2
311,3733,2,2
311,3734,1,1
311,3735,1,1
311,3736,1,1
311,3830,1,1
311,3831,1,1
311,3832,2,2
311,3833,2,2
311,3834,2,2
311,3835,1,1
311,3836,1,1
311,3837,1,1
311,3931,1,1
311,3932,1,1
311,3933,2,2
311,3934,2,2
311,3935,2,2
311,3936,1,1
311,3937,1,1
311,3938,1,1
311,4032,1,1
311,4033,1,1
311,4034,2,2
311,4035,2,2
311,4036,3,2
311,4037,2,1
311,4038,2,1
311,4039,2,1
311,4040,1,1
311,4041,1,1
311,4042,1,1
311,4043,1,1
311,4044,1,1
311,4045,1,1
311,4046,1,1
311,4047,1,1
311,4048,1,1
311,4049,1,1
311,4050,1,1
311,4051,1,1
311,4052,1,1
311,4053,1,1
311,4054,1,1
311,4055,1,1
311,4056,1,1
311,4057,1,1
311,4058,1,1
311,4059,1,1
311,4060,1,1
311,4061,1,1
311,4062,1,1
311,4063,1,1
311,4064,1,1
311,4065,1,1
311,4066,1,1
311,4133,1,1
311,4134,1,1
311,4135,2,2
311,4136,2,2
311,4137,3,2
311,4138,2,1
311,4139,2,1
311,4140,2,1
311,4141,1,1
311,4142,1,1
311,4143,1,1
311,4144,1,1
311,4145,1,1
311,4146,1,1
311,4147,1,1
311,4148,1,1
311,4149,1,1
311,4150,1,1
311,4151,1,1
311,4152,1,1
311,4153,1,1
311,4154,1,1
311,4155,1,1
311,4156,1,1
311,4157,1,1
311,4158,1,1
311,4159,1,1
311,4160,1,1
311,4161,1,1
311,4162,1,1
311,4163,1,1
311,4164,1,1
311,4165,1,1
311,4166,1,1
311,4167,1,1
311,4234,1,1
311,4235,1,1
311,4236,2,2
311,4237,3,3
311,4238,4,4
311,4239,3,2
311,4240,3,2
311,4241,3,2
311,4242,2,2
311,4243,2,2
311,4244,2,2
311,4245,2,2
311,4246,2,2
311,4247,2,2
311,4248,2,2
311,4249,2,2
311,4250,2,2
311,4251,2,2
311,4252,2,2
311,4253,2,2
311,4254,2,2
311,4255,2,2
311,4256,2,2
311,4257,2,2
311,4258,2,2
311,4259,2,2
311,4260,2,2
311,4261,2,2
311,4262,2,2
311,4263,2,2
311,4264,2,2
311,4265,2,2
311,4266,2,2
311,4267,2,2
311,4268,2,2
311,4269,1,1
311,4335,1,1
311,4336,1,1
311,4337,2,2
311,4338,3,3
311,4339,4,4
311,4340,3,2
311,4341,3,2
311,4342,3,2
311,4343,2,2
311,4344,2,2
311,4345,2,2
311,4346,2,2
311,4347,2,2
311,4348,2,2
311,4349,2,2
311,4350,2,2
311,4351,2,2
311,4352,2,2
311,4353,2,2
311,4354,2,2
311,4355,2,2
311,4356,2,2
311,4357,2,2
311,4358,2,2
311,4359,2,2
311,4360,2,2
311,4361,2,2
311,4362,2,2
311,4363,2,2
311,4364,2,2
311,4365,2,2
311,4366,2,2
311,4367,2,2
311,4368,2,2
311,4369,2,2
311,4370,1,1
311,4436,1,1
311,4437,1,1
311,4438,2,2
311,4439,3,3
311,4440,4,4
311,4441,4,4
311,4442,4,4
311,4443,4,4
311,4444,3,3
311,4445,3,3
311,4446,3,3
311,4447,3,3
311,4448,3,3
311,4449,3,3
311,4450,3,3
311,4451,3,3
311,4452,3,3
311,4453,3,3
311,4454,3,3
311,4455,3,3
311,4456,3,3
311,4457,3,3
311,4458,3,3
311,4459,3,3
311,4460,3,3
311,4461,3,3
311,4462,3,3
311,4463,3,3
311,4464,3,3
311,4465,3,3
311,4466,3,3
311,4467,3,3
311,4468,3,3
311,4469,3,3
311,4470,3,3
311,4471,2,2
311,4472,1,1
311,4539,1,1
311,4540,2,2
311,4541,3,3
311,4542,3,3
311,4543,3,3
311,4544,3,3
311,4545,3,3
311,4546,3,3
311,4547,3,3
311,4548,3,3
311,4549,3,3
311,4550,3,3
311,4551,3,3
311,4552,3,3
311,4553,3,3
311,4554,3,3
311,4555,3,3
311,4556,3,3
311,4557,3,3
311,4558,3,3
311,4559,3,3
311,4560,3,3
311,4561,3,3
311,4562,3,3
311,4563,3,3
311,4564,3,3
311,4565,3,3
311,4566,3,3
311,4567,3,3
311,4568,3,3
311,4569,3,3
311,4570,3,3
311,4571,3,3
311,4572,2,2
311,4573,1,1
311,4640,1,1
311,4641,2,2
311,4642,3,3
311,4643,3,3
311,4644,3,3
311,4645,3,3
311,4646,3,3
311,4647,3,3
311,4648,3,3
311,4649,3,3
311,4650,3,3
311,4651,3,3
311,4652,3,3
311,4653,3,3
311,4654,3,3
311,4655,3,3
311,4656,3,3
311,4657,3,3
311,4658,3,3
311,4659,4,4
311,4660,4,4
311,4661,4,4
311,4662,4,4
311,4663,4,4
311,4664,4,4
311,4665,4,4
311,4666,4,4
311,4667,4,4
311,4668,4,4
311,4669,4,4
311,4670,4,4
311,4671,4,4
311,4672,4,4
311,4673,3,3
311,4674,2,2
311,4675,1,1
311,4676,1,1
311,4742,1,1
311,4743,2,2
311,4744,2,2
311,4745,2,2
311,4746,2,2
311,4747,2,2
311,4748,2,2
311,4749,2,2
311,4750,2,2
311,4751,2,2
311,4752,2,2
311,4753,2,2
311,4754,2,2
311,4755,2,2
311,4756,2,2
311,4757,2,2
311,4758,2,2
311,4759,2,2
311,4760,3,2
311,4761,3,2
311,4762,3,2
311,4763,4,4
311,4764,4,4
311,4765,4,4
311,4766,4,4
311,4767,4,4
311,4768,4,4
311,4769,4,4
311,4770,4,4
311,4771,4,4
311,4772,4,4
311,4773,4,4
311,4774,3,3
311,4775,2,2
311,4776,1,1
311,4777,1,1
311,4843,1,1
311,4844,2,2
311,4845,2,2
311,4846,2,2
311,4847,2,2
311,4848,2,2
311,4849,2,2
311,4850,2,2
311,4851,2,2
311,4852,2,2
311,4853,2,2
311,4854,2,2
311,4855,2,2
311,4856,2,2
