route_id,speed_a,speed_b,ties_a,ties_b,common_count,union_count,overlap_ratio_vs_smaller,jaccard
324,20.0,20.0,3075,3075,3075,3075,1.0,1.0
324,20.0,22.5,3075,12243,0,15318,0.0,0.0
324,20.0,25.0,3075,4851,0,7926,0.0,0.0
324,20.0,27.5,3075,2709,0,5784,0.0,0.0
324,20.0,30.0,3075,16461,0,19536,0.0,0.0
324,20.0,32.5,3075,8788,0,11863,0.0,0.0
324,20.0,35.0,3075,11424,0,14499,0.0,0.0
324,20.0,37.5,3075,30889,0,33964,0.0,0.0
324,20.0,40.0,3075,19845,0,22920,0.0,0.0
324,20.0,42.5,3075,9145,0,12220,0.0,0.0
324,20.0,45.0,3075,735,0,3810,0.0,0.0
324,20.0,47.5,3075,12475,0,15550,0.0,0.0
324,20.0,50.0,3075,451,0,3526,0.0,0.0
324,22.5,22.5,12243,12243,12243,12243,1.0,1.0
324,22.5,25.0,12243,4851,3641,13453,0.7505668934240363,0.2706459525756337
324,22.5,27.5,12243,2709,0,14952,0.0,0.0
324,22.5,30.0,12243,16461,0,28704,0.0,0.0
324,22.5,32.5,12243,8788,0,21031,0.0,0.0
324,22.5,35.0,12243,11424,0,23667,0.0,0.0
324,22.5,37.5,12243,30889,0,43132,0.0,0.0
324,22.5,40.0,12243,19845,0,32088,0.0,0.0
324,22.5,42.5,12243,9145,0,21388,0.0,0.0
324,22.5,45.0,12243,735,0,12978,0.0,0.0
324,22.5,47.5,12243,12475,0,24718,0.0,0.0
324,22.5,50.0,12243,451,0,12694,0.0,0.0
324,25.0,25.0,4851,4851,4851,4851,1.0,1.0
324,25.0,27.5,4851,2709,0,7560,0.0,0.0
324,25.0,30.0,4851,16461,0,21312,0.0,0.0
324,25.0,32.5,4851,8788,0,13639,0.0,0.0
324,25.0,35.0,4851,11424,0,16275,0.0,0.0
324,25.0,37.5,4851,30889,0,35740,0.0,0.0
324,25.0,40.0,4851,19845,0,24696,0.0,0.0
324,25.0,42.5,4851,9145,0,13996,0.0,0.0
324,25.0,45.0,4851,735,0,5586,0.0,0.0
324,25.0,47.5,4851,12475,0,17326,0.0,0.0
324,25.0,50.0,4851,451,0,5302,0.0,0.0
324,27.5,27.5,2709,2709,2709,2709,1.0,1.0
324,27.5,30.0,2709,16461,1953,17217,0.7209302325581395,0.1134343962362781
324,27.5,32.5,2709,8788,0,11497,0.0,0.0
324,27.5,35.0,2709,11424,0,14133,0.0,0.0
324,27.5,37.5,2709,30889,0,33598,0.0,0.0
324,27.5,40.0,2709,19845,0,22554,0.0,0.0
324,27.5,42.5,2709,9145,0,11854,0.0,0.0
324,27.5,45.0,2709,735,0,3444,0.0,0.0
324,27.5,47.5,2709,12475,0,15184,0.0,0.0
324,27.5,50.0,2709,451,0,3160,0.0,0.0
324,30.0,30.0,16461,16461,16461,16461,1.0,1.0
324,30.0,32.5,16461,8788,0,25249,0.0,0.0
324,30.0,35.0,16461,11424,0,27885,0.0,0.0
324,30.0,37.5,16461,30889,0,47350,0.0,0.0
324,30.0,40.0,16461,19845,0,36306,0.0,0.0
324,30.0,42.5,16461,9145,0,25606,0.0,0.0
324,30.0,45.0,16461,735,0,17196,0.0,0.0
324,30.0,47.5,16461,12475,0,28936,0.0,0.0
324,30.0,50.0,16461,451,0,16912,0.0,0.0
324,32.5,32.5,8788,8788,8788,8788,1.0,1.0
324,32.5,35.0,8788,11424,5304,14908,0.6035502958579881,0.35578213039978535
324,32.5,37.5,8788,30889,0,39677,0.0,0.0
324,32.5,40.0,8788,19845,0,28633,0.0,0.0
324,32.5,42.5,8788,9145,0,17933,0.0,0.0
324,32.5,45.0,8788,735,0,9523,0.0,0.0
324,32.5,47.5,8788,12475,0,21263,0.0,0.0
324,32.5,50.0,8788,451,0,9239,0.0,0.0
324,35.0,35.0,11424,11424,11424,11424,1.0,1.0
324,35.0,37.5,11424,30889,0,42313,0.0,0.0
324,35.0,40.0,11424,19845,0,31269,0.0,0.0
324,35.0,42.5,11424,9145,0,20569,0.0,0.0
324,35.0,45.0,11424,735,0,12159,0.0,0.0
