路線番号,dist_km,系統速度,Lambda,xopt,FTT(s/veh),dopt(s/veh),TTT(s/veh)
500,0.5,20.0,0.75,0.65,90.0,19.19999999999999,109.19999999999999
500,0.5,22.5,0.6666666666666666,0.33333333333333337,80.0,11.199999999999996,91.19999999999999
500,0.5,25.0,0.6,0.4,72.0,4.799999999999997,76.8
500,0.5,27.5,0.5454545454545455,0.44545454545454555,65.45454545454545,0.0,65.45454545454545
500,0.5,30.0,0.49999999999999994,0.4000000000000001,59.99999999999999,0.0,59.99999999999999
500,0.5,32.5,0.46153846153846156,0.43846153846153846,55.384615384615394,0.0,55.384615384615394
500,0.5,35.0,0.4285714285714286,0.4285714285714286,51.42857142857143,2.571428571428569,54.0
500,0.5,37.5,0.4,0.4,48.0,5.999999999999998,54.0
500,0.5,40.0,0.375,0.375,45.0,9.000000000000002,54.0
500,0.5,42.5,0.3529411764705882,0.3529411764705882,42.35294117647059,11.647058823529417,54.0
500,0.5,45.0,0.3333333333333333,0.3333333333333333,40.0,14.000000000000004,54.0
500,0.5,47.5,0.31578947368421056,0.3157894736842106,37.89473684210526,16.105263157894726,53.999999999999986
500,0.5,50.0,0.3,0.30000000000000004,36.0,17.999999999999996,54.0
800,0.8,20.0,1.2000000000000002,0.10000000000000009,144.0,14.400000000000015,158.4
800,0.8,22.5,1.0666666666666667,0.9666666666666667,128.0,1.5999999999999939,129.6
800,0.8,25.0,0.96,0.96,115.2,0.0,115.2
800,0.8,27.5,0.8727272727272728,0.0,104.72727272727273,9.272727272727266,114.0
800,0.8,30.0,0.7999999999999999,0.0,96.0,18.00000000000001,114.00000000000001
800,0.8,32.5,0.7384615384615385,0.6384615384615385,88.61538461538463,18.09230769230769,106.70769230769231
800,0.8,35.0,0.6857142857142858,0.31428571428571417,82.28571428571429,13.02857142857144,95.31428571428573
800,0.8,37.5,0.64,0.36,76.80000000000001,8.64,85.44000000000001
800,0.8,40.0,0.6000000000000001,0.5000000000000001,72.0,4.800000000000003,76.8
800,0.8,42.5,0.5647058823529412,0.4647058823529412,67.76470588235294,1.4117647058823475,69.17647058823529
800,0.8,45.0,0.5333333333333333,0.43333333333333335,64.0,0.0,64.0
800,0.8,47.5,0.5052631578947369,0.4052631578947369,60.63157894736842,0.0,60.63157894736842
800,0.8,50.0,0.48,0.42000000000000004,57.6,0.0,57.6
