route_id,x,y,n,pearson_r,spearman_r
311,S(Λ),dopt_sec_per_km,13,0.685323702375985,0.8131868131868131
311,S(Λclose),dopt_sec_per_km,13,0.7686539883576796,0.6868131868131868
311,S(Λfar),dopt_sec_per_km,13,0.0948454594268413,0.14835164835164835
312,S(Λ),dopt_sec_per_km,13,0.6968109121202805,0.6593406593406593
312,S(Λclose),dopt_sec_per_km,13,0.7649863528597074,0.8296703296703297
312,S(Λfar),dopt_sec_per_km,13,0.0536748222892616,0.10989010989010989
313,S(Λ),dopt_sec_per_km,13,0.8872743885262576,0.8791208791208791
313,S(Λclose),dopt_sec_per_km,13,0.9315580885171959,0.9725274725274725
313,S(Λfar),dopt_sec_per_km,13,0.38276713040418003,0.20329670329670327
314,S(Λ),dopt_sec_per_km,13,0.6853237023760024,0.8131868131868131
314,S(Λclose),dopt_sec_per_km,13,0.7686539883576945,0.6868131868131868
314,S(Λfar),dopt_sec_per_km,13,0.0948454594268537,0.14835164835164835
321,S(Λ),dopt_sec_per_km,13,0.32497213608925946,0.6217337381052243
321,S(Λclose),dopt_sec_per_km,13,0.9363966751135421,0.9766171549882948
321,S(Λfar),dopt_sec_per_km,13,0.5700158175496877,0.7977999294270577
322,S(Λ),dopt_sec_per_km,13,0.6788323577341744,0.1868131868131868
322,S(Λclose),dopt_sec_per_km,13,0.8738448986284963,0.6538461538461539
322,S(Λfar),dopt_sec_per_km,13,0.6818142286553083,0.39560439560439564
323,S(Λ),dopt_sec_per_km,13,0.4612065798341133,0.19780219780219782
323,S(Λclose),dopt_sec_per_km,13,0.7932807009670906,0.6409909777810497
323,S(Λfar),dopt_sec_per_km,13,0.26149200898492364,-0.15934065934065936
324,S(Λ),dopt_sec_per_km,13,0.32497213608925946,0.6217337381052243
324,S(Λclose),dopt_sec_per_km,13,0.9363966751135421,0.9766171549882948
324,S(Λfar),dopt_sec_per_km,13,0.5700158175496877,0.7977999294270577
331,S(Λ),dopt_sec_per_km,13,0.7441932303929705,0.8296703296703297
331,S(Λclose),dopt_sec_per_km,13,0.7228248548791857,0.6098901098901099
331,S(Λfar),dopt_sec_per_km,13,-0.07227753373097125,-0.03296703296703297
332,S(Λ),dopt_sec_per_km,13,0.8465539805127189,0.8516483516483516
332,S(Λclose),dopt_sec_per_km,13,0.8964722192263531,0.8846153846153846
332,S(Λfar),dopt_sec_per_km,13,0.05285057858652717,0.22527472527472525
333,S(Λ),dopt_sec_per_km,13,0.8850043822457478,0.7857142857142857
333,S(Λclose),dopt_sec_per_km,13,0.9382983974568304,0.9285714285714285
333,S(Λfar),dopt_sec_per_km,13,0.3128847090876081,0.34615384615384615
334,S(Λ),dopt_sec_per_km,13,0.09278038812596588,-0.1868131868131868
334,S(Λclose),dopt_sec_per_km,13,0.30289590898632895,-0.1043956043956044
334,S(Λfar),dopt_sec_per_km,13,-0.06501952910587308,-0.17032967032967034
