路線番号,系統速度,dist_km,dopt(s/veh),dopt_sec_per_km,dopt_min_per_km,S(Λ),S(Λclose),S(Λfar)
311,50.0,0.6666666666666669,29.99999999999959,44.999999999999375,0.7499999999999896,0.125,0.07905694150420958,0.23717082451262836
311,47.5,0.6666666666666667,29.05263157894691,43.578947368420366,0.7263157894736728,0.11352449794801577,0.08783325930672974,0.2102794605365575
311,45.0,0.6666666666666665,27.99999999999916,41.99999999999875,0.6999999999999792,0.10482201257840656,0.09844469525927405,0.18130187635645245
311,42.5,0.6666666666666665,26.82352941176406,40.2352941176461,0.6705882352941016,0.1014172920562743,0.11106592699117161,0.1506904524405824
311,40.0,0.6666666666666665,25.49999999999981,38.24999999999972,0.6374999999999954,0.1062499999999998,0.12593401049756167,0.12022115038544592
311,37.5,0.666666666666666,27.99999999999957,41.999999999999396,0.69999999999999,0.12133516482134118,0.14337208778404328,0.09574271077563377
311,35.0,0.666666666666666,32.57142857142809,48.85714285714219,0.8142857142857032,0.14708043058552758,0.16381921344542394,0.09175166127617901
311,32.5,0.666666666666666,37.84615384615353,56.76923076923035,0.9461538461538391,0.18320777482791528,0.1878719191049197,0.1184840138519176
311,30.0,0.6666666666666655,42.19999999999917,63.29999999999887,1.054999999999981,0.2298852370688936,0.21634591642911857,0.16666666666666552
311,27.5,0.6666666666666655,39.59999999999927,59.399999999999004,0.9899999999999834,0.2882334338634107,0.23150602869539613,0.22727272727272607
311,25.0,0.6666666666666655,47.99999999999686,71.99999999999541,1.1999999999999236,0.2828427124746189,0.25495097567963787,0.2000000000000014
311,22.5,0.6666666666666651,50.66666666666577,75.99999999999883,1.2666666666666473,0.204954074952189,0.21184084405486434,0.12729376930433067
311,20.0,0.6666666666666651,50.9999999999998,76.49999999999989,1.2749999999999981,0.13750000000000273,0.16298006013006838,0.16298006013006494
312,50.0,0.8333333333333335,29.99999999999975,35.999999999999694,0.5999999999999949,0.12499999999999999,0.1457737973711325,0.1457737973711326
312,47.5,0.8333333333333335,29.05263157894677,34.86315789473612,0.5810526315789353,0.1367661732651188,0.15863859866422672,0.12524214772937672
312,45.0,0.8333333333333335,30.66666666666658,36.79999999999989,0.6133333333333315,0.15475986974649017,0.17338318371474698,0.11180339887498952
312,42.5,0.8333333333333335,34.5882352941175,41.50588235294099,0.6917647058823498,0.17912223504217775,0.19029207199555073,0.11257446593532136
312,40.0,0.8333333333333335,38.99999999999976,46.7999999999997,0.779999999999995,0.21000372020514305,0.20972452169453148,0.13243512562760681
312,37.5,0.8333333333333335,43.99999999999975,52.79999999999969,0.8799999999999949,0.24776781245530846,0.2321398046197353,0.16749792701868157
312,35.0,0.8333333333333335,46.28571428571404,55.54285714285684,0.9257142857142806,0.2931183504097599,0.25813301427989505,0.2142857142857143
312,32.5,0.8333333333333335,44.39999999999979,53.27999999999974,0.8879999999999957,0.29314152326601883,0.23727995100287969,0.23076923076923073
312,30.0,0.8333333333333335,43.99999999999963,52.79999999999955,0.8799999999999925,0.22988523706889524,0.2163459164291195,0.16666666666666652
312,27.5,0.8333333333333335,40.36363636363588,48.43636363636304,0.8072727272727174,0.16012649958007752,0.1733243269539783,0.09968960090664218
312,25.0,0.8333333333333335,35.99999999999959,43.1999999999995,0.7199999999999916,0.10000000000000003,0.12247448713915894,0.11180339887498934
312,22.5,0.8333333333333335,30.66666666666622,36.79999999999946,0.6133333333333243,0.1268079134501479,0.06431020501550126,0.23863035105460578
312,20.0,0.8333333333333335,30.0,35.99999999999999,0.5999999999999999,0.25031230493125983,0.0124999999999999,0.29843340965783294
313,50.0,1.0,35.99999999999968,35.99999999999968,0.5999999999999946,0.20155644370746373,0.21505813167606566,0.1274754878398196
313,47.5,1.0,39.78947368421031,39.78947368421031,0.6631578947368385,0.228523503582784,0.2317284206605402,0.14281014264436978
313,45.0,1.0,43.99999999999959,43.99999999999959,0.7333333333333265,0.2603416558635551,0.2505549396395485,0.16996731711975946
313,42.5,1.0,41.64705882352889,41.64705882352889,0.6941176470588147,0.2769863774397528,0.23095259328706566,0.2060713418306277
313,40.0,1.0,38.99999999999963,38.99999999999963,0.6499999999999938,0.3016232128003413,0.20972452169453148,0.25
313,37.5,1.0,35.99999999999963,35.99999999999963,0.5999999999999939,0.24999999999999997,0.1870828693386971,0.19999999999999996
313,35.0,1.0,32.57142857142795,32.57142857142795,0.5428571428571325,0.1921946292439102,0.16381921344542455,0.1428571428571429
313,32.5,1.0,28.61538461538434,28.61538461538434,0.47692307692307234,0.12923305858778028,0.14215168163520253,0.081498538847758
313,30.0,1.0,23.99999999999967,23.99999999999967,0.39999999999999447,0.07500000000000001,0.1274754878398196,0.07905694150420946
313,27.5,1.0,20.72727272727262,20.72727272727262,0.3454545454545437,0.09968960090664244,0.08743356391668781,0.17981854949865905
313,25.0,1.0,23.99999999999991,23.99999999999991,0.3999999999999985,0.19999999999999996,0.04999999999999999,0.3201562118716424
313,22.5,1.0,19.9999999999998,19.9999999999998,0.33333333333333004,0.16666666666666696,0.016666666666666663,0.21408720964441907
313,20.0,1.0,2.999999999999801,2.999999999999801,0.049999999999996686,0.012499999999999956,0.012499999999999956,0.012499999999999956
314,50.0,0.6666666666666667,29.99999999999964,44.99999999999946,0.749999999999991,0.12499999999999997,0.07905694150420949,0.23717082451262844
314,47.5,0.6666666666666667,29.05263157894691,43.578947368420366,0.7263157894736728,0.11352449794801577,0.08783325930672974,0.2102794605365575
314,45.0,0.6666666666666667,27.99999999999934,41.999999999999005,0.6999999999999834,0.10482201257840669,0.09844469525927418,0.18130187635645242
314,42.5,0.6666666666666667,26.82352941176426,40.23529411764638,0.6705882352941064,0.10141729205627456,0.11106592699117183,0.15069045244058232
314,40.0,0.6666666666666667,25.49999999999984,38.24999999999976,0.637499999999996,0.10625,0.12593401049756178,0.12022115038544592
314,37.5,0.6666666666666667,27.9999999999998,41.999999999999694,0.699999999999995,0.12133516482134205,0.14337208778404384,0.09574271077563383
314,35.0,0.6666666666666667,32.5714285714283,48.85714285714244,0.8142857142857074,0.1470804305855286,0.16381921344542455,0.09175166127617944
314,32.5,0.6666666666666667,37.84615384615375,56.76923076923062,0.9461538461538436,0.18320777482791623,0.1878719191049202,0.1184840138519182
314,30.0,0.6666666666666667,42.19999999999988,63.29999999999982,1.054999999999997,0.22988523706889538,0.2163459164291194,0.16666666666666674
314,27.5,0.6666666666666667,39.59999999999992,59.39999999999988,0.989999999999998,0.28823343386341255,0.23150602869539716,0.2272727272727273
314,25.0,0.6666666666666667,47.99999999999947,71.99999999999919,1.1999999999999864,0.282842712474619,0.25495097567963926,0.19999999999999996
314,22.5,0.6666666666666667,50.6666666666664,75.99999999999959,1.2666666666666597,0.2049540749521857,0.21184084405486242,0.12729376930432884
314,20.0,0.6666666666666667,50.99999999999967,76.4999999999995,1.2749999999999917,0.1374999999999999,0.16298006013006608,0.16298006013006636
321,50.0,0.8333333333333334,23.99999999999959,28.799999999999507,0.47999999999999177,0.075,0.1274754878398196,0.0790569415042095
321,47.5,0.8333333333333334,23.99999999999952,28.79999999999942,0.4799999999999904,0.08571840776264392,0.1232635624066355,0.06143482910488821
321,45.0,0.8333333333333334,23.99999999999947,28.799999999999365,0.47999999999998944,0.10482201257840673,0.12095300587265133,0.06478835438717002
321,42.5,0.8333333333333334,23.9999999999995,28.799999999999397,0.47999999999998993,0.13117119482928097,0.1214816260474317,0.08867537312753729
321,40.0,0.8333333333333334,23.99999999999959,28.799999999999507,0.47999999999999177,0.16405505935508366,0.12593401049756173,0.1250000000000001
321,37.5,0.8333333333333334,23.99999999999962,28.799999999999542,0.4799999999999924,0.2034425935955618,0.13540064007726604,0.16666666666666674
321,35.0,0.8333333333333334,25.71428571428565,30.85714285714278,0.514285714285713,0.2498979383505129,0.15067873649806424,0.2142857142857143
321,32.5,0.8333333333333334,27.69230769230767,33.2307692307692,0.5538461538461533,0.27111974690118623,0.1696236697784611,0.23233443554675312
321,30.0,0.8333333333333334,27.99999999999984,33.59999999999981,0.5599999999999968,0.2298852370688953,0.1918477405536889,0.1844661968431554
321,27.5,0.8333333333333334,37.09090909090862,44.50909090909034,0.7418181818181723,0.19922370000737386,0.2182291615301419,0.17981854949865894
321,25.0,0.8333333333333334,47.99999999999952,57.59999999999942,0.9599999999999903,0.2,0.25,0.24999999999999997
321,22.5,0.8333333333333334,41.33333333333316,49.59999999999979,0.8266666666666631,0.20495407495218565,0.21118419787498013,0.17435949807194667
321,20.0,0.8333333333333334,30.0,36.0,0.6,0.2853178052628331,0.16298006013006608,0.25031230493125983
322,50.0,1.0,35.99999999999952,35.99999999999952,0.599999999999992,0.16007810593582128,0.17677669529663687,0.1030776406404416
322,47.5,1.0,36.63157894736779,36.63157894736779,0.6105263157894633,0.18795075090178,0.18068046203970395,0.13160526052684204
322,45.0,1.0,37.33333333333297,37.33333333333297,0.6222222222222162,0.22054925823643556,0.18708286933869697,0.16666666666666663
322,42.5,1.0,37.2,37.2,0.62,0.25823797399118636,0.19655334643063085,0.2058823529411764
322,40.0,1.0,38.99999999999959,38.99999999999959,0.6499999999999931,0.30162321280034127,0.20972452169453146,0.2499999999999999
322,37.5,1.0,39.9999999999995,39.9999999999995,0.6666666666666584,0.2713136766016617,0.22730302828309754,0.20069324297987154
322,35.0,1.0,41.1428571428567,41.1428571428567,0.6857142857142783,0.2457807219155036,0.25,0.15402756180605584
322,32.5,1.0,42.46153846153781,42.46153846153781,0.7076923076922969,0.19645527367880197,0.22311007711189498,0.14000211325539447
322,30.0,1.0,45.99999999999972,45.99999999999972,0.7666666666666621,0.15833333333333333,0.19184774055368897,0.191847740553689
322,27.5,1.0,42.54545454545405,42.54545454545405,0.7090909090909008,0.1601264995800777,0.15514589241705468,0.23640733861719723
322,25.0,1.0,35.9999999999998,35.9999999999998,0.5999999999999966,0.22360679774997894,0.11180339887498954,0.22912878474779194
322,22.5,1.0,20.0,20.0,0.3333333333333333,0.1775171700963387,0.06211299937499417,0.16675923355337402
322,20.0,1.0,2.999999999999716,2.999999999999716,0.049999999999995264,0.0124999999999999,0.0124999999999999,0.01250000000000022
323,50.0,1.166666666666667,42.59999999999964,36.51428571428539,0.6085714285714232,0.2657536453183662,0.23717082451262844,0.19999999999999996
323,47.5,1.166666666666667,40.79999999999986,34.97142857142845,0.5828571428571407,0.3016689495534033,0.24734042394756173,0.23684210526315796
323,45.0,1.166666666666667,45.33333333333324,38.85714285714277,0.6476190476190461,0.29896942326830467,0.260223076191786,0.2222222222222222
323,42.5,1.166666666666667,50.82352941176426,43.563025210083644,0.7260504201680608,0.2558823529411765,0.23613819190198881,0.17669103877500697
323,40.0,1.166666666666667,53.99999999999952,46.28571428571386,0.7714285714285644,0.21000372020514305,0.20972452169453146,0.13243512562760684
