route_id,file,x_axis,y_axis,curve_type,overlap_candidates
D10_311,D10_311/D10_311_pillar_vs_Ds_continuous_10to50.png,10–50 km/h,0.00–44.00 s/veh,continuous,"D1, D2a"
D10_312,D10_312/D10_312_pillar_vs_Ds_continuous_10to50.png,10–50 km/h,0.00–44.00 s/veh,continuous,"D1, D2a"
D10_313,D10_313/D10_313_pillar_vs_Ds_continuous_10to50.png,10–50 km/h,0.00–44.00 s/veh,continuous,"D1, D2a, D3"
D10_314,D10_314/D10_314_pillar_vs_Ds_continuous_10to50.png,10–50 km/h,0.00–44.00 s/veh,continuous,"D1, D2a, D2b"
D10_321,D10_321/D10_321_pillar_vs_Ds_continuous_10to50.png,10–50 km/h,0.00–44.00 s/veh,continuous,"D1, D2a"
D10_322,D10_322/D10_322_pillar_vs_Ds_continuous_10to50.png,10–50 km/h,0.00–44.00 s/veh,continuous,"D1, D2a, D3"
D10_323,D10_323/D10_323_pillar_vs_Ds_continuous_10to50.png,10–50 km/h,0.00–44.00 s/veh,continuous,"D1, D2a, D3"
D10_324,D10_324/D10_324_pillar_vs_Ds_continuous_10to50.png,10–50 km/h,0.00–44.00 s/veh,continuous,"D1, D2a, D2b, D3"
D10_331,D10_331/D10_331_pillar_vs_Ds_continuous_10to50.png,10–50 km/h,0.00–44.00 s/veh,continuous,"D1, D2a"
D10_332,D10_332/D10_332_pillar_vs_Ds_continuous_10to50.png,10–50 km/h,0.00–44.00 s/veh,continuous,"D1, D2a"
D10_333,D10_333/D10_333_pillar_vs_Ds_continuous_10to50.png,10–50 km/h,0.00–44.00 s/veh,continuous,"D1, D2a"
D10_334,D10_334/D10_334_pillar_vs_Ds_continuous_10to50.png,10–50 km/h,0.00–44.00 s/veh,continuous,"D1, D2a, D2b"
D10_H01,D10_H01/D10_H01_pillar_vs_Ds_continuous_10to50.png,10–50 km/h,0.00–44.00 s/veh,continuous,"D1, D2a, D3"
D10_H02,D10_H02/D10_H02_pillar_vs_Ds_continuous_10to50.png,10–50 km/h,0.00–44.00 s/veh,continuous,"D1, D2a, D3"
D10_H03,D10_H03/D10_H03_pillar_vs_Ds_continuous_10to50.png,10–50 km/h,0.00–44.00 s/veh,continuous,"D1, D2a, D3"
D10_H04,D10_H04/D10_H04_pillar_vs_Ds_continuous_10to50.png,10–50 km/h,0.00–44.00 s/veh,continuous,"D1, D2a, D3"
D10_H05,D10_H05/D10_H05_pillar_vs_Ds_continuous_10to50.png,10–50 km/h,0.00–44.00 s/veh,continuous,"D1, D2a, D3"
D10_H06,D10_H06/D10_H06_pillar_vs_Ds_continuous_10to50.png,10–50 km/h,0.00–44.00 s/veh,continuous,"D1, D2a, D3"
D10_H07,D10_H07/D10_H07_pillar_vs_Ds_continuous_10to50.png,10–50 km/h,0.00–44.00 s/veh,continuous,"D1, D2a, D3"
D30_311,D30_311/D30_311_pillar_vs_Ds_continuous_10to50.png,10–50 km/h,0.00–44.00 s/veh,continuous,"D1, D2a, D3"
D30_312,D30_312/D30_312_pillar_vs_Ds_continuous_10to50.png,10–50 km/h,0.00–44.00 s/veh,continuous,"D1, D2a, D2b, D3"
D30_313,D30_313/D30_313_pillar_vs_Ds_continuous_10to50.png,10–50 km/h,0.00–44.00 s/veh,continuous,"D1, D2a, D3"
D30_314,D30_314/D30_314_pillar_vs_Ds_continuous_10to50.png,10–50 km/h,0.00–44.00 s/veh,continuous,"D1, D2a, D3"
D30_321,D30_321/D30_321_pillar_vs_Ds_continuous_10to50.png,10–50 km/h,0.00–44.00 s/veh,continuous,"D1, D2a, D3"
D30_322,D30_322/D30_322_pillar_vs_Ds_continuous_10to50.png,10–50 km/h,0.00–44.00 s/veh,continuous,"D1, D2a, D3"
D30_323,D30_323/D30_323_pillar_vs_Ds_continuous_10to50.png,10–50 km/h,0.00–44.00 s/veh,continuous,"D1, D2a, D3"
D30_324,D30_324/D30_324_pillar_vs_Ds_continuous_10to50.png,10–50 km/h,0.00–44.00 s/veh,continuous,"D1, D2a, D2b, D3"
D30_331,D30_331/D30_331_pillar_vs_Ds_continuous_10to50.png,10–50 km/h,0.00–44.00 s/veh,continuous,"D1, D2a, D3"
D30_332,D30_332/D30_332_pillar_vs_Ds_continuous_10to50.png,10–50 km/h,0.00–44.00 s/veh,continuous,"D1, D2a, D3"
D30_333,D30_333/D30_333_pillar_vs_Ds_continuous_10to50.png,10–50 km/h,0.00–44.00 s/veh,continuous,"D1, D2a, D3"
D30_334,D30_334/D30_334_pillar_vs_Ds_continuous_10to50.png,10–50 km/h,0.00–44.00 s/veh,continuous,"D1, D2a, D2b, D3"
D30_H01,D30_H01/D30_H01_pillar_vs_Ds_continuous_10to50.png,10–50 km/h,0.00–44.00 s/veh,continuous,"D1, D2a, D2b, D3"
D30_H02,D30_H02/D30_H02_pillar_vs_Ds_continuous_10to50.png,10–50 km/h,0.00–44.00 s/veh,continuous,"D1, D2a, D2b, D3"
D30_H03,D30_H03/D30_H03_pillar_vs_Ds_continuous_10to50.png,10–50 km/h,0.00–44.00 s/veh,continuous,"D1, D2a, D2b, D3"
D30_H04,D30_H04/D30_H04_pillar_vs_Ds_continuous_10to50.png,10–50 km/h,0.00–44.00 s/veh,continuous,"D1, D2a, D2b, D3"
D30_H05,D30_H05/D30_H05_pillar_vs_Ds_continuous_10to50.png,10–50 km/h,0.00–44.00 s/veh,continuous,"D1, D2a, D2b, D3"
D30_H06,D30_H06/D30_H06_pillar_vs_Ds_continuous_10to50.png,10–50 km/h,0.00–44.00 s/veh,continuous,"D1, D2a, D2b, D3"
D30_H07,D30_H07/D30_H07_pillar_vs_Ds_continuous_10to50.png,10–50 km/h,0.00–44.00 s/veh,continuous,"D1, D2a, D2b, D3"
D50_311,D50_311/D50_311_pillar_vs_Ds_continuous_10to50.png,10–50 km/h,0.00–44.00 s/veh,continuous,"D1, D2a, D3"
D50_312,D50_312/D50_312_pillar_vs_Ds_continuous_10to50.png,10–50 km/h,0.00–44.00 s/veh,continuous,"D1, D2a, D3"
D50_313,D50_313/D50_313_pillar_vs_Ds_continuous_10to50.png,10–50 km/h,0.00–44.00 s/veh,continuous,"D1, D2a, D2b, D3"
D50_314,D50_314/D50_314_pillar_vs_Ds_continuous_10to50.png,10–50 km/h,0.00–44.00 s/veh,continuous,"D1, D2a, D2b, D3"
D50_321,D50_321/D50_321_pillar_vs_Ds_continuous_10to50.png,10–50 km/h,0.00–44.00 s/veh,continuous,"D1, D2a, D2b, D3"
D50_322,D50_322/D50_322_pillar_vs_Ds_continuous_10to50.png,10–50 km/h,0.00–44.00 s/veh,continuous,"D1, D2a, D3"
D50_323,D50_323/D50_323_pillar_vs_Ds_continuous_10to50.png,10–50 km/h,0.00–44.00 s/veh,continuous,"D1, D2a, D3"
D50_324,D50_324/D50_324_pillar_vs_Ds_continuous_10to50.png,10–50 km/h,0.00–44.00 s/veh,continuous,"D1, D2a, D2b, D3"
D50_331,D50_331/D50_331_pillar_vs_Ds_continuous_10to50.png,10–50 km/h,0.00–44.00 s/veh,continuous,"D1, D2a, D2b, D3"
D50_332,D50_332/D50_332_pillar_vs_Ds_continuous_10to50.png,10–50 km/h,0.00–44.00 s/veh,continuous,"D1, D2a, D3"
D50_333,D50_333/D50_333_pillar_vs_Ds_continuous_10to50.png,10–50 km/h,0.00–44.00 s/veh,continuous,"D1, D2a, D3"
D50_334,D50_334/D50_334_pillar_vs_Ds_continuous_10to50.png,10–50 km/h,0.00–44.00 s/veh,continuous,"D1, D2a, D2b, D3"
D50_H01,D50_H01/D50_H01_pillar_vs_Ds_continuous_10to50.png,10–50 km/h,0.00–44.00 s/veh,continuous,"D1, D2a, D2b, D3"
D50_H02,D50_H02/D50_H02_pillar_vs_Ds_continuous_10to50.png,10–50 km/h,0.00–44.00 s/veh,continuous,"D1, D2a, D2b, D3"
D50_H03,D50_H03/D50_H03_pillar_vs_Ds_continuous_10to50.png,10–50 km/h,0.00–44.00 s/veh,continuous,"D1, D2a, D2b, D3"
D50_H04,D50_H04/D50_H04_pillar_vs_Ds_continuous_10to50.png,10–50 km/h,0.00–44.00 s/veh,continuous,"D1, D2a, D2b, D3"
D50_H05,D50_H05/D50_H05_pillar_vs_Ds_continuous_10to50.png,10–50 km/h,0.00–44.00 s/veh,continuous,"D1, D2a, D2b, D3"
D50_H06,D50_H06/D50_H06_pillar_vs_Ds_continuous_10to50.png,10–50 km/h,0.00–44.00 s/veh,continuous,"D1, D2a, D2b, D3"
D50_H07,D50_H07/D50_H07_pillar_vs_Ds_continuous_10to50.png,10–50 km/h,0.00–44.00 s/veh,continuous,"D1, D2a, D2b, D3"
