route_id,file,x_axis,x_ticks,y_axis
D10_311,D10_311/D10_311_sim_vs_pillar_10to50_ticks10.png,10–50 km/h,"10, 20, 30, 40, 50",0.00–56.70 s/veh
D10_312,D10_312/D10_312_sim_vs_pillar_10to50_ticks10.png,10–50 km/h,"10, 20, 30, 40, 50",0.00–56.70 s/veh
D10_313,D10_313/D10_313_sim_vs_pillar_10to50_ticks10.png,10–50 km/h,"10, 20, 30, 40, 50",0.00–56.70 s/veh
D10_314,D10_314/D10_314_sim_vs_pillar_10to50_ticks10.png,10–50 km/h,"10, 20, 30, 40, 50",0.00–56.70 s/veh
D10_321,D10_321/D10_321_sim_vs_pillar_10to50_ticks10.png,10–50 km/h,"10, 20, 30, 40, 50",0.00–56.70 s/veh
D10_322,D10_322/D10_322_sim_vs_pillar_10to50_ticks10.png,10–50 km/h,"10, 20, 30, 40, 50",0.00–56.70 s/veh
D10_323,D10_323/D10_323_sim_vs_pillar_10to50_ticks10.png,10–50 km/h,"10, 20, 30, 40, 50",0.00–56.70 s/veh
D10_324,D10_324/D10_324_sim_vs_pillar_10to50_ticks10.png,10–50 km/h,"10, 20, 30, 40, 50",0.00–56.70 s/veh
D10_331,D10_331/D10_331_sim_vs_pillar_10to50_ticks10.png,10–50 km/h,"10, 20, 30, 40, 50",0.00–56.70 s/veh
D10_332,D10_332/D10_332_sim_vs_pillar_10to50_ticks10.png,10–50 km/h,"10, 20, 30, 40, 50",0.00–56.70 s/veh
D10_333,D10_333/D10_333_sim_vs_pillar_10to50_ticks10.png,10–50 km/h,"10, 20, 30, 40, 50",0.00–56.70 s/veh
D10_334,D10_334/D10_334_sim_vs_pillar_10to50_ticks10.png,10–50 km/h,"10, 20, 30, 40, 50",0.00–56.70 s/veh
D10_H01,D10_H01/D10_H01_sim_vs_pillar_10to50_ticks10.png,10–50 km/h,"10, 20, 30, 40, 50",0.00–56.70 s/veh
D10_H02,D10_H02/D10_H02_sim_vs_pillar_10to50_ticks10.png,10–50 km/h,"10, 20, 30, 40, 50",0.00–56.70 s/veh
D10_H03,D10_H03/D10_H03_sim_vs_pillar_10to50_ticks10.png,10–50 km/h,"10, 20, 30, 40, 50",0.00–56.70 s/veh
D10_H04,D10_H04/D10_H04_sim_vs_pillar_10to50_ticks10.png,10–50 km/h,"10, 20, 30, 40, 50",0.00–56.70 s/veh
D10_H05,D10_H05/D10_H05_sim_vs_pillar_10to50_ticks10.png,10–50 km/h,"10, 20, 30, 40, 50",0.00–56.70 s/veh
D10_H06,D10_H06/D10_H06_sim_vs_pillar_10to50_ticks10.png,10–50 km/h,"10, 20, 30, 40, 50",0.00–56.70 s/veh
D10_H07,D10_H07/D10_H07_sim_vs_pillar_10to50_ticks10.png,10–50 km/h,"10, 20, 30, 40, 50",0.00–56.70 s/veh
D30_311,D30_311/D30_311_sim_vs_pillar_10to50_ticks10.png,10–50 km/h,"10, 20, 30, 40, 50",0.00–56.70 s/veh
D30_312,D30_312/D30_312_sim_vs_pillar_10to50_ticks10.png,10–50 km/h,"10, 20, 30, 40, 50",0.00–56.70 s/veh
D30_313,D30_313/D30_313_sim_vs_pillar_10to50_ticks10.png,10–50 km/h,"10, 20, 30, 40, 50",0.00–56.70 s/veh
D30_314,D30_314/D30_314_sim_vs_pillar_10to50_ticks10.png,10–50 km/h,"10, 20, 30, 40, 50",0.00–56.70 s/veh
D30_321,D30_321/D30_321_sim_vs_pillar_10to50_ticks10.png,10–50 km/h,"10, 20, 30, 40, 50",0.00–56.70 s/veh
D30_322,D30_322/D30_322_sim_vs_pillar_10to50_ticks10.png,10–50 km/h,"10, 20, 30, 40, 50",0.00–56.70 s/veh
D30_323,D30_323/D30_323_sim_vs_pillar_10to50_ticks10.png,10–50 km/h,"10, 20, 30, 40, 50",0.00–56.70 s/veh
D30_324,D30_324/D30_324_sim_vs_pillar_10to50_ticks10.png,10–50 km/h,"10, 20, 30, 40, 50",0.00–56.70 s/veh
D30_331,D30_331/D30_331_sim_vs_pillar_10to50_ticks10.png,10–50 km/h,"10, 20, 30, 40, 50",0.00–56.70 s/veh
D30_332,D30_332/D30_332_sim_vs_pillar_10to50_ticks10.png,10–50 km/h,"10, 20, 30, 40, 50",0.00–56.70 s/veh
D30_333,D30_333/D30_333_sim_vs_pillar_10to50_ticks10.png,10–50 km/h,"10, 20, 30, 40, 50",0.00–56.70 s/veh
D30_334,D30_334/D30_334_sim_vs_pillar_10to50_ticks10.png,10–50 km/h,"10, 20, 30, 40, 50",0.00–56.70 s/veh
D30_H01,D30_H01/D30_H01_sim_vs_pillar_10to50_ticks10.png,10–50 km/h,"10, 20, 30, 40, 50",0.00–56.70 s/veh
D30_H02,D30_H02/D30_H02_sim_vs_pillar_10to50_ticks10.png,10–50 km/h,"10, 20, 30, 40, 50",0.00–56.70 s/veh
D30_H03,D30_H03/D30_H03_sim_vs_pillar_10to50_ticks10.png,10–50 km/h,"10, 20, 30, 40, 50",0.00–56.70 s/veh
D30_H04,D30_H04/D30_H04_sim_vs_pillar_10to50_ticks10.png,10–50 km/h,"10, 20, 30, 40, 50",0.00–56.70 s/veh
D30_H05,D30_H05/D30_H05_sim_vs_pillar_10to50_ticks10.png,10–50 km/h,"10, 20, 30, 40, 50",0.00–56.70 s/veh
D30_H06,D30_H06/D30_H06_sim_vs_pillar_10to50_ticks10.png,10–50 km/h,"10, 20, 30, 40, 50",0.00–56.70 s/veh
D30_H07,D30_H07/D30_H07_sim_vs_pillar_10to50_ticks10.png,10–50 km/h,"10, 20, 30, 40, 50",0.00–56.70 s/veh
D50_311,D50_311/D50_311_sim_vs_pillar_10to50_ticks10.png,10–50 km/h,"10, 20, 30, 40, 50",0.00–56.70 s/veh
D50_312,D50_312/D50_312_sim_vs_pillar_10to50_ticks10.png,10–50 km/h,"10, 20, 30, 40, 50",0.00–56.70 s/veh
D50_313,D50_313/D50_313_sim_vs_pillar_10to50_ticks10.png,10–50 km/h,"10, 20, 30, 40, 50",0.00–56.70 s/veh
D50_314,D50_314/D50_314_sim_vs_pillar_10to50_ticks10.png,10–50 km/h,"10, 20, 30, 40, 50",0.00–56.70 s/veh
D50_321,D50_321/D50_321_sim_vs_pillar_10to50_ticks10.png,10–50 km/h,"10, 20, 30, 40, 50",0.00–56.70 s/veh
D50_322,D50_322/D50_322_sim_vs_pillar_10to50_ticks10.png,10–50 km/h,"10, 20, 30, 40, 50",0.00–56.70 s/veh
D50_323,D50_323/D50_323_sim_vs_pillar_10to50_ticks10.png,10–50 km/h,"10, 20, 30, 40, 50",0.00–56.70 s/veh
D50_324,D50_324/D50_324_sim_vs_pillar_10to50_ticks10.png,10–50 km/h,"10, 20, 30, 40, 50",0.00–56.70 s/veh
D50_331,D50_331/D50_331_sim_vs_pillar_10to50_ticks10.png,10–50 km/h,"10, 20, 30, 40, 50",0.00–56.70 s/veh
D50_332,D50_332/D50_332_sim_vs_pillar_10to50_ticks10.png,10–50 km/h,"10, 20, 30, 40, 50",0.00–56.70 s/veh
D50_333,D50_333/D50_333_sim_vs_pillar_10to50_ticks10.png,10–50 km/h,"10, 20, 30, 40, 50",0.00–56.70 s/veh
D50_334,D50_334/D50_334_sim_vs_pillar_10to50_ticks10.png,10–50 km/h,"10, 20, 30, 40, 50",0.00–56.70 s/veh
D50_H01,D50_H01/D50_H01_sim_vs_pillar_10to50_ticks10.png,10–50 km/h,"10, 20, 30, 40, 50",0.00–56.70 s/veh
D50_H02,D50_H02/D50_H02_sim_vs_pillar_10to50_ticks10.png,10–50 km/h,"10, 20, 30, 40, 50",0.00–56.70 s/veh
D50_H03,D50_H03/D50_H03_sim_vs_pillar_10to50_ticks10.png,10–50 km/h,"10, 20, 30, 40, 50",0.00–56.70 s/veh
D50_H04,D50_H04/D50_H04_sim_vs_pillar_10to50_ticks10.png,10–50 km/h,"10, 20, 30, 40, 50",0.00–56.70 s/veh
D50_H05,D50_H05/D50_H05_sim_vs_pillar_10to50_ticks10.png,10–50 km/h,"10, 20, 30, 40, 50",0.00–56.70 s/veh
