route_id,V_kmh,FTT_s_per_veh,TT_s_per_veh
D10_311,10.0,96.0,
D10_311,12.5,76.79999999999998,
D10_311,15.0,63.99999999999999,
D10_311,17.5,54.85714285714285,
D10_311,20.0,47.99999999999999,78.0
D10_311,22.5,42.66666666666666,73.3333333333333
D10_311,25.0,38.39999999999999,64.80000152587887
D10_311,27.5,34.90909090909091,60.0
D10_311,30.0,32.0,60.0
D10_311,32.5,29.538461538461537,59.07692307692309
D10_311,35.0,27.428571428571427,54.85714285714283
D10_311,37.5,25.6,51.2
D10_311,40.0,24.0,48.0
D10_311,42.5,22.588235294117645,45.17647058823495
D10_311,45.0,21.33333333333333,42.66666666666642
D10_311,47.5,20.21052631578947,40.42105263157856
D10_311,50.0,19.2,38.4
D10_312,10.0,120.0,
D10_312,12.5,96.0,
D10_312,15.0,79.99999999999999,
D10_312,17.5,68.57142857142857,
D10_312,20.0,60.0,90.0
D10_312,22.5,53.33333333333333,85.33333333333321
D10_312,25.0,47.99999999999999,81.59999999999984
D10_312,27.5,43.63636363636364,75.27272727272728
D10_312,30.0,39.99999999999999,68.0
D10_312,32.5,36.92307692307693,61.84615384615383
D10_312,35.0,34.285714285714285,60.0
D10_312,37.5,32.0,60.0
D10_312,40.0,30.0,60.0
D10_312,42.5,28.23529411764705,56.47058823529417
D10_312,45.0,26.666666666666664,53.333333333333336
D10_312,47.5,25.26315789473684,50.52631578947363
D10_312,50.0,24.0,48.0
D10_313,10.0,144.0,
D10_313,12.5,115.2,
D10_313,15.0,96.0,
D10_313,17.5,82.28571428571429,
D10_313,20.0,72.0,108.0
D10_313,22.5,64.0,96.0
D10_313,25.0,57.6,91.20000000000005
D10_313,27.5,52.36363636363637,87.27272727272728
D10_313,30.0,48.0,84.0
D10_313,32.5,44.30769230769232,76.6153846153846
D10_313,35.0,41.142857142857146,70.28571428571429
D10_313,37.5,38.400000000000006,64.80000152587891
D10_313,40.0,36.0,60.0
D10_313,42.5,33.88235294117647,60.0
D10_313,45.0,32.0,60.0
D10_313,47.5,30.31578947368421,60.0
D10_313,50.0,28.8,57.59999999999984
D10_314,10.0,120.0,
D10_314,12.5,96.0,
D10_314,15.0,79.99999999999999,
D10_314,17.5,68.57142857142857,
D10_314,20.0,60.0,90.0
D10_314,22.5,53.33333333333333,82.66666666666663
D10_314,25.0,47.99999999999999,72.0
D10_314,27.5,43.63636363636364,69.81818181818178
D10_314,30.0,39.99999999999999,68.0
D10_314,32.5,36.92307692307693,61.84615384615383
D10_314,35.0,34.285714285714285,60.0
D10_314,37.5,32.0,60.0
D10_314,40.0,30.0,60.0
D10_314,42.5,28.23529411764705,56.47058823529417
D10_314,45.0,26.666666666666664,53.333333333333336
D10_314,47.5,25.26315789473684,50.526315789473465
D10_314,50.0,24.0,48.0
D10_321,10.0,120.0,
D10_321,12.5,96.0,
D10_321,15.0,79.99999999999999,
D10_321,17.5,68.57142857142857,
D10_321,20.0,60.0,84.0
D10_321,22.5,53.33333333333333,74.6666666666667
D10_321,25.0,47.99999999999999,72.0
D10_321,27.5,43.63636363636364,69.81818181818174
D10_321,30.0,39.99999999999999,68.0
D10_321,32.5,36.92307692307693,61.84615384615387
D10_321,35.0,34.285714285714285,60.0
D10_321,37.5,32.0,60.0
D10_321,40.0,30.0,60.0
D10_321,42.5,28.23529411764705,56.47058823529377
D10_321,45.0,26.666666666666664,53.333333333333336
D10_321,47.5,25.26315789473684,50.526315789473465
D10_321,50.0,24.0,48.0
D10_322,10.0,144.0,
D10_322,12.5,115.2,
D10_322,15.0,96.0,
D10_322,17.5,82.28571428571429,
D10_322,20.0,72.0,108.0
D10_322,22.5,64.0,91.99999999999956
D10_322,25.0,57.6,81.60000076293917
D10_322,27.5,52.36363636363637,78.54545454545453
D10_322,30.0,48.0,76.0
D10_322,32.5,44.30769230769232,73.84615384615383
D10_322,35.0,41.142857142857146,70.28571428571425
D10_322,37.5,38.400000000000006,64.80000152587891
D10_322,40.0,36.0,60.0
D10_322,42.5,33.88235294117647,60.0
D10_322,45.0,32.0,60.0
D10_322,47.5,30.31578947368421,60.0
D10_322,50.0,28.8,57.59999999999984
D10_323,10.0,168.0,
D10_323,12.5,134.39999999999998,
D10_323,15.0,112.0,
D10_323,17.5,96.0,
D10_323,20.0,84.0,126.60000038146973
D10_323,22.5,74.66666666666666,113.33333333333329
D10_323,25.0,67.19999999999999,98.40000038146977
D10_323,27.5,61.090909090909086,87.27272727272725
D10_323,30.0,55.99999999999999,84.00000190734863
D10_323,32.5,51.69230769230769,81.23076923076927
D10_323,35.0,48.0,78.85714285714283
D10_323,37.5,44.8,76.79999999999993
D10_323,40.0,42.0,72.0
D10_323,42.5,39.52941176470588,67.05882352941173
D10_323,45.0,37.33333333333333,62.66666666666667
D10_323,47.5,35.368421052631575,60.0
D10_323,50.0,33.599999999999994,60.0000015258787
D10_324,10.0,144.0,
D10_324,12.5,115.2,
D10_324,15.0,96.0,
D10_324,17.5,82.28571428571429,
D10_324,20.0,72.0,108.0
D10_324,22.5,64.0,92.0
D10_324,25.0,57.6,79.20000000000005
D10_324,27.5,52.36363636363637,75.27272727272728
D10_324,30.0,48.0,72.0
D10_324,32.5,44.30769230769232,66.46153846153845
D10_324,35.0,41.142857142857146,65.14285714285717
D10_324,37.5,38.400000000000006,64.0
D10_324,40.0,36.0,60.0
D10_324,42.5,33.88235294117647,60.0
