route_id,file,x_axis,x_ticks,y_axis,FTT_available,TT_available
D10_311,D10_311/D10_311_FTT_TT_10to50_clean.png,10-50 km/h,"10, 20, 30, 40, 50",0-120 s/veh,10-50 km/h,20-50 km/h
D10_312,D10_312/D10_312_FTT_TT_10to50_clean.png,10-50 km/h,"10, 20, 30, 40, 50",0-140 s/veh,10-50 km/h,20-50 km/h
D10_313,D10_313/D10_313_FTT_TT_10to50_clean.png,10-50 km/h,"10, 20, 30, 40, 50",0-160 s/veh,10-50 km/h,20-50 km/h
D10_314,D10_314/D10_314_FTT_TT_10to50_clean.png,10-50 km/h,"10, 20, 30, 40, 50",0-140 s/veh,10-50 km/h,20-50 km/h
D10_321,D10_321/D10_321_FTT_TT_10to50_clean.png,10-50 km/h,"10, 20, 30, 40, 50",0-140 s/veh,10-50 km/h,20-50 km/h
D10_322,D10_322/D10_322_FTT_TT_10to50_clean.png,10-50 km/h,"10, 20, 30, 40, 50",0-160 s/veh,10-50 km/h,20-50 km/h
D10_323,D10_323/D10_323_FTT_TT_10to50_clean.png,10-50 km/h,"10, 20, 30, 40, 50",0-200 s/veh,10-50 km/h,20-50 km/h
D10_324,D10_324/D10_324_FTT_TT_10to50_clean.png,10-50 km/h,"10, 20, 30, 40, 50",0-160 s/veh,10-50 km/h,20-50 km/h
D10_331,D10_331/D10_331_FTT_TT_10to50_clean.png,10-50 km/h,"10, 20, 30, 40, 50",0-100 s/veh,10-50 km/h,20-50 km/h
D10_332,D10_332/D10_332_FTT_TT_10to50_clean.png,10-50 km/h,"10, 20, 30, 40, 50",0-140 s/veh,10-50 km/h,20-50 km/h
D10_333,D10_333/D10_333_FTT_TT_10to50_clean.png,10-50 km/h,"10, 20, 30, 40, 50",0-160 s/veh,10-50 km/h,20-50 km/h
D10_334,D10_334/D10_334_FTT_TT_10to50_clean.png,10-50 km/h,"10, 20, 30, 40, 50",0-140 s/veh,10-50 km/h,20-50 km/h
D10_H01,D10_H01/D10_H01_FTT_TT_10to50_clean.png,10-50 km/h,"10, 20, 30, 40, 50",0-200 s/veh,10-50 km/h,20-50 km/h
D10_H02,D10_H02/D10_H02_FTT_TT_10to50_clean.png,10-50 km/h,"10, 20, 30, 40, 50",0-180 s/veh,10-50 km/h,20-50 km/h
D10_H03,D10_H03/D10_H03_FTT_TT_10to50_clean.png,10-50 km/h,"10, 20, 30, 40, 50",0-250 s/veh,10-50 km/h,20-50 km/h
D10_H04,D10_H04/D10_H04_FTT_TT_10to50_clean.png,10-50 km/h,"10, 20, 30, 40, 50",0-200 s/veh,10-50 km/h,20-50 km/h
D10_H05,D10_H05/D10_H05_FTT_TT_10to50_clean.png,10-50 km/h,"10, 20, 30, 40, 50",0-200 s/veh,10-50 km/h,20-50 km/h
D10_H06,D10_H06/D10_H06_FTT_TT_10to50_clean.png,10-50 km/h,"10, 20, 30, 40, 50",0-200 s/veh,10-50 km/h,20-50 km/h
D10_H07,D10_H07/D10_H07_FTT_TT_10to50_clean.png,10-50 km/h,"10, 20, 30, 40, 50",0-200 s/veh,10-50 km/h,20-50 km/h
D30_311,D30_311/D30_311_FTT_TT_10to50_clean.png,10-50 km/h,"10, 20, 30, 40, 50",0-350 s/veh,10-50 km/h,20-50 km/h
D30_312,D30_312/D30_312_FTT_TT_10to50_clean.png,10-50 km/h,"10, 20, 30, 40, 50",0-400 s/veh,10-50 km/h,20-50 km/h
D30_313,D30_313/D30_313_FTT_TT_10to50_clean.png,10-50 km/h,"10, 20, 30, 40, 50",0-500 s/veh,10-50 km/h,20-50 km/h
D30_314,D30_314/D30_314_FTT_TT_10to50_clean.png,10-50 km/h,"10, 20, 30, 40, 50",0-400 s/veh,10-50 km/h,20-50 km/h
D30_321,D30_321/D30_321_FTT_TT_10to50_clean.png,10-50 km/h,"10, 20, 30, 40, 50",0-400 s/veh,10-50 km/h,20-50 km/h
D30_322,D30_322/D30_322_FTT_TT_10to50_clean.png,10-50 km/h,"10, 20, 30, 40, 50",0-500 s/veh,10-50 km/h,20-50 km/h
D30_323,D30_323/D30_323_FTT_TT_10to50_clean.png,10-50 km/h,"10, 20, 30, 40, 50",0-550 s/veh,10-50 km/h,20-50 km/h
D30_324,D30_324/D30_324_FTT_TT_10to50_clean.png,10-50 km/h,"10, 20, 30, 40, 50",0-500 s/veh,10-50 km/h,20-50 km/h
D30_331,D30_331/D30_331_FTT_TT_10to50_clean.png,10-50 km/h,"10, 20, 30, 40, 50",0-300 s/veh,10-50 km/h,20-50 km/h
D30_332,D30_332/D30_332_FTT_TT_10to50_clean.png,10-50 km/h,"10, 20, 30, 40, 50",0-400 s/veh,10-50 km/h,20-50 km/h
D30_333,D30_333/D30_333_FTT_TT_10to50_clean.png,10-50 km/h,"10, 20, 30, 40, 50",0-450 s/veh,10-50 km/h,20-50 km/h
D30_334,D30_334/D30_334_FTT_TT_10to50_clean.png,10-50 km/h,"10, 20, 30, 40, 50",0-400 s/veh,10-50 km/h,20-50 km/h
D30_H01,D30_H01/D30_H01_FTT_TT_10to50_clean.png,10-50 km/h,"10, 20, 30, 40, 50",0-600 s/veh,10-50 km/h,20-50 km/h
D30_H02,D30_H02/D30_H02_FTT_TT_10to50_clean.png,10-50 km/h,"10, 20, 30, 40, 50",0-550 s/veh,10-50 km/h,20-50 km/h
D30_H03,D30_H03/D30_H03_FTT_TT_10to50_clean.png,10-50 km/h,"10, 20, 30, 40, 50",0-700 s/veh,10-50 km/h,20-50 km/h
D30_H04,D30_H04/D30_H04_FTT_TT_10to50_clean.png,10-50 km/h,"10, 20, 30, 40, 50",0-600 s/veh,10-50 km/h,20-50 km/h
D30_H05,D30_H05/D30_H05_FTT_TT_10to50_clean.png,10-50 km/h,"10, 20, 30, 40, 50",0-600 s/veh,10-50 km/h,20-50 km/h
D30_H06,D30_H06/D30_H06_FTT_TT_10to50_clean.png,10-50 km/h,"10, 20, 30, 40, 50",0-600 s/veh,10-50 km/h,20-50 km/h
D30_H07,D30_H07/D30_H07_FTT_TT_10to50_clean.png,10-50 km/h,"10, 20, 30, 40, 50",0-600 s/veh,10-50 km/h,20-50 km/h
D50_311,D50_311/D50_311_FTT_TT_10to50_clean.png,10-50 km/h,"10, 20, 30, 40, 50",0-550 s/veh,10-50 km/h,20-50 km/h
D50_312,D50_312/D50_312_FTT_TT_10to50_clean.png,10-50 km/h,"10, 20, 30, 40, 50",0-650 s/veh,10-50 km/h,20-50 km/h
D50_313,D50_313/D50_313_FTT_TT_10to50_clean.png,10-50 km/h,"10, 20, 30, 40, 50",0-800 s/veh,10-50 km/h,20-50 km/h
D50_314,D50_314/D50_314_FTT_TT_10to50_clean.png,10-50 km/h,"10, 20, 30, 40, 50",0-650 s/veh,10-50 km/h,20-50 km/h
D50_321,D50_321/D50_321_FTT_TT_10to50_clean.png,10-50 km/h,"10, 20, 30, 40, 50",0-650 s/veh,10-50 km/h,20-50 km/h
D50_322,D50_322/D50_322_FTT_TT_10to50_clean.png,10-50 km/h,"10, 20, 30, 40, 50",0-800 s/veh,10-50 km/h,20-50 km/h
D50_323,D50_323/D50_323_FTT_TT_10to50_clean.png,10-50 km/h,"10, 20, 30, 40, 50",0-950 s/veh,10-50 km/h,20-50 km/h
D50_324,D50_324/D50_324_FTT_TT_10to50_clean.png,10-50 km/h,"10, 20, 30, 40, 50",0-800 s/veh,10-50 km/h,20-50 km/h
D50_331,D50_331/D50_331_FTT_TT_10to50_clean.png,10-50 km/h,"10, 20, 30, 40, 50",0-500 s/veh,10-50 km/h,20-50 km/h
D50_332,D50_332/D50_332_FTT_TT_10to50_clean.png,10-50 km/h,"10, 20, 30, 40, 50",0-650 s/veh,10-50 km/h,20-50 km/h
D50_333,D50_333/D50_333_FTT_TT_10to50_clean.png,10-50 km/h,"10, 20, 30, 40, 50",0-750 s/veh,10-50 km/h,20-50 km/h
D50_334,D50_334/D50_334_FTT_TT_10to50_clean.png,10-50 km/h,"10, 20, 30, 40, 50",0-650 s/veh,10-50 km/h,20-50 km/h
D50_H01,D50_H01/D50_H01_FTT_TT_10to50_clean.png,10-50 km/h,"10, 20, 30, 40, 50",0-1000 s/veh,10-50 km/h,20-50 km/h
D50_H02,D50_H02/D50_H02_FTT_TT_10to50_clean.png,10-50 km/h,"10, 20, 30, 40, 50",0-850 s/veh,10-50 km/h,20-50 km/h
D50_H03,D50_H03/D50_H03_FTT_TT_10to50_clean.png,10-50 km/h,"10, 20, 30, 40, 50",0-1150 s/veh,10-50 km/h,20-50 km/h
D50_H04,D50_H04/D50_H04_FTT_TT_10to50_clean.png,10-50 km/h,"10, 20, 30, 40, 50",0-1000 s/veh,10-50 km/h,20-50 km/h
D50_H05,D50_H05/D50_H05_FTT_TT_10to50_clean.png,10-50 km/h,"10, 20, 30, 40, 50",0-950 s/veh,10-50 km/h,20-50 km/h
D50_H06,D50_H06/D50_H06_FTT_TT_10to50_clean.png,10-50 km/h,"10, 20, 30, 40, 50",0-1000 s/veh,10-50 km/h,20-50 km/h
D50_H07,D50_H07/D50_H07_FTT_TT_10to50_clean.png,10-50 km/h,"10, 20, 30, 40, 50",0-1000 s/veh,10-50 km/h,20-50 km/h
