route_id,figure,file,main_delay,components
D10_311,D1,D10_311/D10_311_D1_final_10to80.png,D1(V),"d_{0,3}(V,x*)"
D10_311,D2a,D10_311/D10_311_D2a_final_10to80.png,D2a(V),"d_{0,1}(V,x*), d_{1,3}(V,x*)"
D10_311,D2b,D10_311/D10_311_D2b_final_10to80.png,D2b(V),"d_{0,2}(V,x*), d_{2,3}(V,x*)"
D10_311,D3,D10_311/D10_311_D3_final_10to80.png,D3(V),"d_{0,1}(V,x*), d_{1,2}(V,x*), d_{2,3}(V,x*)"
D10_312,D1,D10_312/D10_312_D1_final_10to80.png,D1(V),"d_{0,3}(V,x*)"
D10_312,D2a,D10_312/D10_312_D2a_final_10to80.png,D2a(V),"d_{0,1}(V,x*), d_{1,3}(V,x*)"
D10_312,D2b,D10_312/D10_312_D2b_final_10to80.png,D2b(V),"d_{0,2}(V,x*), d_{2,3}(V,x*)"
D10_312,D3,D10_312/D10_312_D3_final_10to80.png,D3(V),"d_{0,1}(V,x*), d_{1,2}(V,x*), d_{2,3}(V,x*)"
D10_313,D1,D10_313/D10_313_D1_final_10to80.png,D1(V),"d_{0,3}(V,x*)"
D10_313,D2a,D10_313/D10_313_D2a_final_10to80.png,D2a(V),"d_{0,1}(V,x*), d_{1,3}(V,x*)"
D10_313,D2b,D10_313/D10_313_D2b_final_10to80.png,D2b(V),"d_{0,2}(V,x*), d_{2,3}(V,x*)"
D10_313,D3,D10_313/D10_313_D3_final_10to80.png,D3(V),"d_{0,1}(V,x*), d_{1,2}(V,x*), d_{2,3}(V,x*)"
D10_314,D1,D10_314/D10_314_D1_final_10to80.png,D1(V),"d_{0,3}(V,x*)"
D10_314,D2a,D10_314/D10_314_D2a_final_10to80.png,D2a(V),"d_{0,1}(V,x*), d_{1,3}(V,x*)"
D10_314,D2b,D10_314/D10_314_D2b_final_10to80.png,D2b(V),"d_{0,2}(V,x*), d_{2,3}(V,x*)"
D10_314,D3,D10_314/D10_314_D3_final_10to80.png,D3(V),"d_{0,1}(V,x*), d_{1,2}(V,x*), d_{2,3}(V,x*)"
D10_321,D1,D10_321/D10_321_D1_final_10to80.png,D1(V),"d_{0,3}(V,x*)"
D10_321,D2a,D10_321/D10_321_D2a_final_10to80.png,D2a(V),"d_{0,1}(V,x*), d_{1,3}(V,x*)"
D10_321,D2b,D10_321/D10_321_D2b_final_10to80.png,D2b(V),"d_{0,2}(V,x*), d_{2,3}(V,x*)"
D10_321,D3,D10_321/D10_321_D3_final_10to80.png,D3(V),"d_{0,1}(V,x*), d_{1,2}(V,x*), d_{2,3}(V,x*)"
D10_322,D1,D10_322/D10_322_D1_final_10to80.png,D1(V),"d_{0,3}(V,x*)"
D10_322,D2a,D10_322/D10_322_D2a_final_10to80.png,D2a(V),"d_{0,1}(V,x*), d_{1,3}(V,x*)"
D10_322,D2b,D10_322/D10_322_D2b_final_10to80.png,D2b(V),"d_{0,2}(V,x*), d_{2,3}(V,x*)"
D10_322,D3,D10_322/D10_322_D3_final_10to80.png,D3(V),"d_{0,1}(V,x*), d_{1,2}(V,x*), d_{2,3}(V,x*)"
D10_323,D1,D10_323/D10_323_D1_final_10to80.png,D1(V),"d_{0,3}(V,x*)"
D10_323,D2a,D10_323/D10_323_D2a_final_10to80.png,D2a(V),"d_{0,1}(V,x*), d_{1,3}(V,x*)"
D10_323,D2b,D10_323/D10_323_D2b_final_10to80.png,D2b(V),"d_{0,2}(V,x*), d_{2,3}(V,x*)"
D10_323,D3,D10_323/D10_323_D3_final_10to80.png,D3(V),"d_{0,1}(V,x*), d_{1,2}(V,x*), d_{2,3}(V,x*)"
D10_324,D1,D10_324/D10_324_D1_final_10to80.png,D1(V),"d_{0,3}(V,x*)"
D10_324,D2a,D10_324/D10_324_D2a_final_10to80.png,D2a(V),"d_{0,1}(V,x*), d_{1,3}(V,x*)"
D10_324,D2b,D10_324/D10_324_D2b_final_10to80.png,D2b(V),"d_{0,2}(V,x*), d_{2,3}(V,x*)"
D10_324,D3,D10_324/D10_324_D3_final_10to80.png,D3(V),"d_{0,1}(V,x*), d_{1,2}(V,x*), d_{2,3}(V,x*)"
D10_331,D1,D10_331/D10_331_D1_final_10to80.png,D1(V),"d_{0,3}(V,x*)"
D10_331,D2a,D10_331/D10_331_D2a_final_10to80.png,D2a(V),"d_{0,1}(V,x*), d_{1,3}(V,x*)"
D10_331,D2b,D10_331/D10_331_D2b_final_10to80.png,D2b(V),"d_{0,2}(V,x*), d_{2,3}(V,x*)"
D10_331,D3,D10_331/D10_331_D3_final_10to80.png,D3(V),"d_{0,1}(V,x*), d_{1,2}(V,x*), d_{2,3}(V,x*)"
D10_332,D1,D10_332/D10_332_D1_final_10to80.png,D1(V),"d_{0,3}(V,x*)"
D10_332,D2a,D10_332/D10_332_D2a_final_10to80.png,D2a(V),"d_{0,1}(V,x*), d_{1,3}(V,x*)"
D10_332,D2b,D10_332/D10_332_D2b_final_10to80.png,D2b(V),"d_{0,2}(V,x*), d_{2,3}(V,x*)"
D10_332,D3,D10_332/D10_332_D3_final_10to80.png,D3(V),"d_{0,1}(V,x*), d_{1,2}(V,x*), d_{2,3}(V,x*)"
D10_333,D1,D10_333/D10_333_D1_final_10to80.png,D1(V),"d_{0,3}(V,x*)"
D10_333,D2a,D10_333/D10_333_D2a_final_10to80.png,D2a(V),"d_{0,1}(V,x*), d_{1,3}(V,x*)"
D10_333,D2b,D10_333/D10_333_D2b_final_10to80.png,D2b(V),"d_{0,2}(V,x*), d_{2,3}(V,x*)"
D10_333,D3,D10_333/D10_333_D3_final_10to80.png,D3(V),"d_{0,1}(V,x*), d_{1,2}(V,x*), d_{2,3}(V,x*)"
D10_334,D1,D10_334/D10_334_D1_final_10to80.png,D1(V),"d_{0,3}(V,x*)"
D10_334,D2a,D10_334/D10_334_D2a_final_10to80.png,D2a(V),"d_{0,1}(V,x*), d_{1,3}(V,x*)"
D10_334,D2b,D10_334/D10_334_D2b_final_10to80.png,D2b(V),"d_{0,2}(V,x*), d_{2,3}(V,x*)"
D10_334,D3,D10_334/D10_334_D3_final_10to80.png,D3(V),"d_{0,1}(V,x*), d_{1,2}(V,x*), d_{2,3}(V,x*)"
D10_H01,D1,D10_H01/D10_H01_D1_final_10to80.png,D1(V),"d_{0,3}(V,x*)"
D10_H01,D2a,D10_H01/D10_H01_D2a_final_10to80.png,D2a(V),"d_{0,1}(V,x*), d_{1,3}(V,x*)"
D10_H01,D2b,D10_H01/D10_H01_D2b_final_10to80.png,D2b(V),"d_{0,2}(V,x*), d_{2,3}(V,x*)"
D10_H01,D3,D10_H01/D10_H01_D3_final_10to80.png,D3(V),"d_{0,1}(V,x*), d_{1,2}(V,x*), d_{2,3}(V,x*)"
D10_H02,D1,D10_H02/D10_H02_D1_final_10to80.png,D1(V),"d_{0,3}(V,x*)"
D10_H02,D2a,D10_H02/D10_H02_D2a_final_10to80.png,D2a(V),"d_{0,1}(V,x*), d_{1,3}(V,x*)"
D10_H02,D2b,D10_H02/D10_H02_D2b_final_10to80.png,D2b(V),"d_{0,2}(V,x*), d_{2,3}(V,x*)"
