case_index,route_id,pattern_group,pattern_id,design_speed_kmh,evaluation_speed_kmh,cycle_length_s,offset_step_s,grid_size_each_axis,number_of_offset_patterns,lambda01_design,lambda12_design,lambda23_design,L01_m,L12_m,L23_m,d_min_s_per_veh,representative_x1_s,representative_x2_s,representative_x3_s,number_of_exact_optima,number_within_0p1s,number_within_0p5s,number_within_1p0s,FTT_s_per_veh,TTT_s_per_veh,runtime_sec,hostname,delay_file,optima_file,array_definition,TTT_ratio_to_route_min,TTT_excess_pct_from_route_min
0,D10_311,basic,311,10.0,20.0,120.0,1.2,100,1000000,0.25,0.3,0.25,83.33333333333333,100.0,83.33333333333333,30.0,0.0,6.0,45.59999847412109,4550,4550,4550,7102,48.0,78.0,509.6965684890747,BuiltPC01,results\full_delay\case_0000__D10_311__v20p0_delays.npy,results\optima\case_0000__D10_311__v20p0_optima.npy,"delays[i,j,k] corresponds to x1=grid[i], x2=grid[j], x3=grid[k]",2.03125,103.125
1,D10_311,basic,311,10.0,22.5,120.0,1.2,100,1000000,0.25,0.3,0.25,83.33333333333333,100.0,83.33333333333333,30.66666603088379,0.0,0.0,30.0,8932,8932,8932,11484,42.66666666666666,73.3333333333333,507.13977336883545,BuiltPC01,results\full_delay\case_0001__D10_311__v22p5_delays.npy,results\optima\case_0001__D10_311__v22p5_optima.npy,"delays[i,j,k] corresponds to x1=grid[i], x2=grid[j], x3=grid[k]",1.9097222222222214,90.97222222222214
2,D10_311,basic,311,10.0,25.0,120.0,1.2,100,1000000,0.25,0.3,0.25,83.33333333333333,100.0,83.33333333333333,26.399999618530277,0.0,0.0,33.599998474121094,2970,2970,2970,2970,38.39999999999999,64.80000152587887,505.4030952453613,BuiltPC01,results\full_delay\case_0002__D10_311__v25p0_delays.npy,results\optima\case_0002__D10_311__v25p0_optima.npy,"delays[i,j,k] corresponds to x1=grid[i], x2=grid[j], x3=grid[k]",1.687500039736429,68.7500039736429
3,D10_311,basic,311,10.0,27.5,120.0,1.2,100,1000000,0.25,0.3,0.25,83.33333333333333,100.0,83.33333333333333,25.090909957885746,0.0,0.0,36.0,460,460,1580,1580,34.90909090909091,60.0,516.3224530220032,BuiltPC01,results\full_delay\case_0003__D10_311__v27p5_delays.npy,results\optima\case_0003__D10_311__v27p5_optima.npy,"delays[i,j,k] corresponds to x1=grid[i], x2=grid[j], x3=grid[k]",1.5625,56.25
4,D10_311,basic,311,10.0,30.0,120.0,1.2,100,1000000,0.25,0.3,0.25,83.33333333333333,100.0,83.33333333333333,28.0,0.0,0.0,32.400001525878906,4172,4172,5124,6476,31.999999999999996,60.0,505.2179608345032,BuiltPC01,results\full_delay\case_0004__D10_311__v30p0_delays.npy,results\optima\case_0004__D10_311__v30p0_optima.npy,"delays[i,j,k] corresponds to x1=grid[i], x2=grid[j], x3=grid[k]",1.5625,56.25
5,D10_311,basic,311,10.0,32.5,120.0,1.2,100,1000000,0.25,0.3,0.25,83.33333333333333,100.0,83.33333333333333,29.538461685180664,0.0,0.0,0.0,28925,29825,33465,42331,29.53846153846154,59.07692307692309,510.0203731060028,BuiltPC01,results\full_delay\case_0005__D10_311__v32p5_delays.npy,results\optima\case_0005__D10_311__v32p5_optima.npy,"delays[i,j,k] corresponds to x1=grid[i], x2=grid[j], x3=grid[k]",1.5384615384615388,53.846153846153875
6,D10_311,basic,311,10.0,35.0,120.0,1.2,100,1000000,0.25,0.3,0.25,83.33333333333333,100.0,83.33333333333333,27.428571701049805,0.0,0.0,0.0,26775,26775,28075,28525,27.428571428571423,54.85714285714283,504.3363904953003,BuiltPC01,results\full_delay\case_0006__D10_311__v35p0_delays.npy,results\optima\case_0006__D10_311__v35p0_optima.npy,"delays[i,j,k] corresponds to x1=grid[i], x2=grid[j], x3=grid[k]",1.428571428571428,42.85714285714279
7,D10_311,basic,311,10.0,37.5,120.0,1.2,100,1000000,0.25,0.3,0.25,83.33333333333333,100.0,83.33333333333333,25.600000381469727,0.0,0.0,0.0,22783,22783,26187,26775,25.6,51.2,512.4745142459869,BuiltPC01,results\full_delay\case_0007__D10_311__v37p5_delays.npy,results\optima\case_0007__D10_311__v37p5_optima.npy,"delays[i,j,k] corresponds to x1=grid[i], x2=grid[j], x3=grid[k]",1.3333333333333335,33.33333333333335
8,D10_311,basic,311,10.0,40.0,120.0,1.2,100,1000000,0.25,0.3,0.25,83.33333333333333,100.0,83.33333333333333,24.0,0.0,0.0,0.0,21265,21265,22045,24783,24.0,48.0,505.4443302154541,BuiltPC01,results\full_delay\case_0008__D10_311__v40p0_delays.npy,results\optima\case_0008__D10_311__v40p0_optima.npy,"delays[i,j,k] corresponds to x1=grid[i], x2=grid[j], x3=grid[k]",1.25,25.0
9,D10_311,basic,311,10.0,42.5,120.0,1.2,100,1000000,0.25,0.3,0.25,83.33333333333333,100.0,83.33333333333333,22.58823585510254,0.0,0.0,0.0,17465,18125,20865,20865,22.588235294117645,45.17647058823495,511.4878644943237,BuiltPC01,results\full_delay\case_0009__D10_311__v42p5_delays.npy,results\optima\case_0009__D10_311__v42p5_optima.npy,"delays[i,j,k] corresponds to x1=grid[i], x2=grid[j], x3=grid[k]",1.1764705882352853,17.64705882352853
