route_id,tolerance,start_speed_kmh,end_speed_kmh,width_kmh,n_points,relative_range,min_ttt,max_ttt
D10_311,0.05,27.5,32.5,5.0,3,0.015624999999999821,59.07692307692309,60.0
D10_312,0.05,22.5,25.0,2.5,2,0.045751633986928726,81.59999999999984,85.33333333333321
D10_312,0.05,32.5,40.0,7.5,4,0.030769230769230542,60.0,61.84615384615383
D10_313,0.05,25.0,27.5,2.5,2,0.04500000000000043,87.27272727272728,91.20000000000005
D10_313,0.05,27.5,30.0,2.5,2,0.03896103896103905,84.0,87.27272727272728
D10_313,0.05,40.0,50.0,10.0,5,0.0416666666666696,57.59999999999984,60.0
D10_314,0.05,25.0,27.5,2.5,2,0.0312500000000005,69.81818181818178,72.0
D10_314,0.05,27.5,30.0,2.5,2,0.02673796791443801,68.0,69.81818181818178
D10_314,0.05,32.5,40.0,7.5,4,0.030769230769230542,60.0,61.84615384615383
D10_321,0.05,22.5,25.0,2.5,2,0.0370370370370375,72.0,74.6666666666667
D10_321,0.05,25.0,27.5,2.5,2,0.031250000000001124,69.81818181818174,72.0
D10_321,0.05,27.5,30.0,2.5,2,0.02673796791443738,68.0,69.81818181818174
D10_321,0.05,32.5,40.0,7.5,4,0.030769230769231135,60.0,61.84615384615387
D10_322,0.05,25.0,27.5,2.5,2,0.03888889860223503,78.54545454545453,81.60000076293917
D10_322,0.05,27.5,30.0,2.5,2,0.033492822966507005,76.0,78.54545454545453
D10_322,0.05,30.0,32.5,2.5,2,0.029166666666666955,73.84615384615383,76.0
D10_322,0.05,40.0,50.0,10.0,5,0.0416666666666696,57.59999999999984,60.0
D10_323,0.05,27.5,30.0,2.5,2,0.038961015369837856,84.00000190734863,87.27272727272725
D10_323,0.05,30.0,32.5,2.5,2,0.03409093257152624,81.23076923076927,84.00000190734863
D10_323,0.05,32.5,35.0,2.5,2,0.030100334448161337,78.85714285714283,81.23076923076927
D10_323,0.05,35.0,37.5,2.5,2,0.026785714285714957,76.79999999999993,78.85714285714283
D10_323,0.05,45.0,50.0,5.0,3,0.04444444444444452,60.0,62.66666666666667
D10_324,0.05,27.5,30.0,2.5,2,0.04545454545454556,72.0,75.27272727272728
D10_324,0.05,32.5,37.5,5.0,3,0.038461538461538325,64.0,66.46153846153845
D10_324,0.05,40.0,50.0,10.0,5,0.0416666666666696,57.59999999999984,60.0
