case_index,route_id,pattern_group,pattern_id,n_links,n_intersections,design_speed_kmh,evaluation_speed_kmh,cycle_length_s,offset_step_s,grid_size_each_axis,number_of_offset_patterns,lengths_m,green_ratios,demand_veh_per_s,d_min_s_per_veh,representative_offsets_s,representative_x1_s,representative_x2_s,representative_x3_s,number_of_exact_optima,number_within_0p1s,number_within_0p5s,number_within_1p0s,FTT_s_per_veh,TTT_s_per_veh,runtime_sec,hostname,delay_file,optima_file,array_definition,lambda01_design,lambda12_design,lambda23_design,L01_m,L12_m,L23_m,g0,g1,g2,g3
0,R2_S01,random_short_2link,2S01,2,3,30,20,120,1.2,100,10000,"[118.0, 109.0]","[0.4, 0.63, 0.4]",0.4,26.79000092,"[0.0, 34.79999923706055]",0,34.79999924,,306,306,318,330,40.86,67.65,3.523818016,BuiltPC01,results_60routes\full_delay\case_0000__R2_S01__v20p0_delays.npy,results_60routes\optima\case_0000__R2_S01__v20p0_optima.npy,"delays[i1,...,iN] corresponds to x1=grid[i1],...,xN=grid[iN]",0.118,0.109,,118,109,,0.4,0.63,0.4,
1,R2_S01,random_short_2link,2S01,2,3,30,22.5,120,1.2,100,10000,"[118.0, 109.0]","[0.4, 0.63, 0.4]",0.4,23.68000031,"[0.0, 37.20000076293945]",0,37.20000076,,98,98,196,202,36.32,60,3.278112888,BuiltPC01,results_60routes\full_delay\case_0001__R2_S01__v22p5_delays.npy,results_60routes\optima\case_0001__R2_S01__v22p5_optima.npy,"delays[i1,...,iN] corresponds to x1=grid[i1],...,xN=grid[iN]",0.118,0.109,,118,109,,0.4,0.63,0.4,
2,R2_S01,random_short_2link,2S01,2,3,30,25,120,1.2,100,10000,"[118.0, 109.0]","[0.4, 0.63, 0.4]",0.4,27.31200027,"[0.0, 33.599998474121094]",0,33.59999847,,424,424,568,570,32.688,60,3.329772711,BuiltPC01,results_60routes\full_delay\case_0002__R2_S01__v25p0_delays.npy,results_60routes\optima\case_0002__R2_S01__v25p0_optima.npy,"delays[i1,...,iN] corresponds to x1=grid[i1],...,xN=grid[iN]",0.118,0.109,,118,109,,0.4,0.63,0.4,
3,R2_S01,random_short_2link,2S01,2,3,30,27.5,120,1.2,100,10000,"[118.0, 109.0]","[0.4, 0.63, 0.4]",0.4,30.28363609,"[0.0, 30.0]",0,30,,854,854,854,854,29.71636364,60,3.478806973,BuiltPC01,results_60routes\full_delay\case_0003__R2_S01__v27p5_delays.npy,results_60routes\optima\case_0003__R2_S01__v27p5_optima.npy,"delays[i1,...,iN] corresponds to x1=grid[i1],...,xN=grid[iN]",0.118,0.109,,118,109,,0.4,0.63,0.4,
4,R2_S01,random_short_2link,2S01,2,3,30,30,120,1.2,100,10000,"[118.0, 109.0]","[0.4, 0.63, 0.4]",0.4,32.75999832,"[0.0, 27.600000381469727]",0,27.60000038,,1208,1208,1208,1208,27.24,60,3.123407364,BuiltPC01,results_60routes\full_delay\case_0004__R2_S01__v30p0_delays.npy,results_60routes\optima\case_0004__R2_S01__v30p0_optima.npy,"delays[i1,...,iN] corresponds to x1=grid[i1],...,xN=grid[iN]",0.118,0.109,,118,109,,0.4,0.63,0.4,
5,R2_S01,random_short_2link,2S01,2,3,30,32.5,120,1.2,100,10000,"[118.0, 109.0]","[0.4, 0.63, 0.4]",0.4,34.85538483,"[0.0, 25.200000762939453]",0,25.20000076,,1534,1608,1608,1608,25.14461538,60,3.456620216,BuiltPC01,results_60routes\full_delay\case_0005__R2_S01__v32p5_delays.npy,results_60routes\optima\case_0005__R2_S01__v32p5_optima.npy,"delays[i1,...,iN] corresponds to x1=grid[i1],...,xN=grid[iN]",0.118,0.109,,118,109,,0.4,0.63,0.4,
6,R2_S01,random_short_2link,2S01,2,3,30,35,120,1.2,100,10000,"[118.0, 109.0]","[0.4, 0.63, 0.4]",0.4,35.02285767,"[0.0, 0.0]",0,0,,1296,1296,1296,1384,23.34857143,58.37142857,3.299140453,BuiltPC01,results_60routes\full_delay\case_0006__R2_S01__v35p0_delays.npy,results_60routes\optima\case_0006__R2_S01__v35p0_optima.npy,"delays[i1,...,iN] corresponds to x1=grid[i1],...,xN=grid[iN]",0.118,0.109,,118,109,,0.4,0.63,0.4,
7,R2_S01,random_short_2link,2S01,2,3,30,37.5,120,1.2,100,10000,"[118.0, 109.0]","[0.4, 0.63, 0.4]",0.4,32.68799973,"[0.0, 0.0]",0,0,,1174,1174,1212,1246,21.792,54.48,3.226234674,BuiltPC01,results_60routes\full_delay\case_0007__R2_S01__v37p5_delays.npy,results_60routes\optima\case_0007__R2_S01__v37p5_optima.npy,"delays[i1,...,iN] corresponds to x1=grid[i1],...,xN=grid[iN]",0.118,0.109,,118,109,,0.4,0.63,0.4,
8,R2_S01,random_short_2link,2S01,2,3,30,40,120,1.2,100,10000,"[118.0, 109.0]","[0.4, 0.63, 0.4]",0.4,30.64500046,"[0.0, 0.0]",0,0,,1094,1094,1128,1128,20.43,51.075,3.409368992,BuiltPC01,results_60routes\full_delay\case_0008__R2_S01__v40p0_delays.npy,results_60routes\optima\case_0008__R2_S01__v40p0_optima.npy,"delays[i1,...,iN] corresponds to x1=grid[i1],...,xN=grid[iN]",0.118,0.109,,118,109,,0.4,0.63,0.4,
9,R2_S01,random_short_2link,2S01,2,3,30,42.5,120,1.2,100,10000,"[118.0, 109.0]","[0.4, 0.63, 0.4]",0.4,28.84235382,"[0.0, 0.0]",0,0,,1014,1014,1048,1048,19.22823529,48.07058824,3.265998602,BuiltPC01,results_60routes\full_delay\case_0009__R2_S01__v42p5_delays.npy,results_60routes\optima\case_0009__R2_S01__v42p5_optima.npy,"delays[i1,...,iN] corresponds to x1=grid[i1],...,xN=grid[iN]",0.118,0.109,,118,109,,0.4,0.63,0.4,
10,R2_S01,random_short_2link,2S01,2,3,30,45,120,1.2,100,10000,"[118.0, 109.0]","[0.4, 0.63, 0.4]",0.4,27.23999977,"[0.0, 0.0]",0,0,,938,938,968,968,18.16,45.4,3.124767542,BuiltPC01,results_60routes\full_delay\case_0010__R2_S01__v45p0_delays.npy,results_60routes\optima\case_0010__R2_S01__v45p0_optima.npy,"delays[i1,...,iN] corresponds to x1=grid[i1],...,xN=grid[iN]",0.118,0.109,,118,109,,0.4,0.63,0.4,
11,R2_S01,random_short_2link,2S01,2,3,30,47.5,120,1.2,100,10000,"[118.0, 109.0]","[0.4, 0.63, 0.4]",0.4,25.80631638,"[0.0, 0.0]",0,0,,862,862,892,968,17.20421053,43.01052632,3.153012276,BuiltPC01,results_60routes\full_delay\case_0011__R2_S01__v47p5_delays.npy,results_60routes\optima\case_0011__R2_S01__v47p5_optima.npy,"delays[i1,...,iN] corresponds to x1=grid[i1],...,xN=grid[iN]",0.118,0.109,,118,109,,0.4,0.63,0.4,
12,R2_S01,random_short_2link,2S01,2,3,30,50,120,1.2,100,10000,"[118.0, 109.0]","[0.4, 0.63, 0.4]",0.4,24.51600075,"[0.0, 0.0]",0,0,,816,816,816,892,16.344,40.86,3.064190865,BuiltPC01,results_60routes\full_delay\case_0012__R2_S01__v50p0_delays.npy,results_60routes\optima\case_0012__R2_S01__v50p0_optima.npy,"delays[i1,...,iN] corresponds to x1=grid[i1],...,xN=grid[iN]",0.118,0.109,,118,109,,0.4,0.63,0.4,
13,R2_S02,random_short_2link,2S02,2,3,30,20,120,1.2,100,10000,"[160.0, 151.0]","[0.4, 0.64, 0.4]",0.4,35.97000122,"[28.799999237060547, 31.200000762939453]",28.79999924,31.20000076,,609,609,609,667,55.98,91.95000095,3.124093056,BuiltPC01,results_60routes\full_delay\case_0013__R2_S02__v20p0_delays.npy,results_60routes\optima\case_0013__R2_S02__v20p0_optima.npy,"delays[i1,...,iN] corresponds to x1=grid[i1],...,xN=grid[iN]",0.16,0.151,,160,151,,0.4,0.64,0.4,
14,R2_S02,random_short_2link,2S02,2,3,30,22.5,120,1.2,100,10000,"[160.0, 151.0]","[0.4, 0.64, 0.4]",0.4,34.63999939,"[26.399999618530273, 31.200000762939453]",26.39999962,31.20000076,,561,561,595,595,49.76,84.4,3.074795723,BuiltPC01,results_60routes\full_delay\case_0014__R2_S02__v22p5_delays.npy,results_60routes\optima\case_0014__R2_S02__v22p5_optima.npy,"delays[i1,...,iN] corresponds to x1=grid[i1],...,xN=grid[iN]",0.16,0.151,,160,151,,0.4,0.64,0.4,
15,R2_S02,random_short_2link,2S02,2,3,30,25,120,1.2,100,10000,"[160.0, 151.0]","[0.4, 0.64, 0.4]",0.4,31.1760006,"[0.0, 32.400001525878906]",0,32.40000153,,660,660,660,660,44.784,75.96,3.15869689,BuiltPC01,results_60routes\full_delay\case_0015__R2_S02__v25p0_delays.npy,results_60routes\optima\case_0015__R2_S02__v25p0_optima.npy,"delays[i1,...,iN] corresponds to x1=grid[i1],...,xN=grid[iN]",0.16,0.151,,160,151,,0.4,0.64,0.4,
16,R2_S02,random_short_2link,2S02,2,3,30,27.5,120,1.2,100,10000,"[160.0, 151.0]","[0.4, 0.64, 0.4]",0.4,25.0690918,"[0.0, 37.20000076293945]",0,37.20000076,,156,156,260,280,40.71272727,65.78181818,3.11038518,BuiltPC01,results_60routes\full_delay\case_0016__R2_S02__v27p5_delays.npy,results_60routes\optima\case_0016__R2_S02__v27p5_optima.npy,"delays[i1,...,iN] corresponds to x1=grid[i1],...,xN=grid[iN]",0.16,0.151,,160,151,,0.4,0.64,0.4,
17,R2_S02,random_short_2link,2S02,2,3,30,30,120,1.2,100,10000,"[160.0, 151.0]","[0.4, 0.64, 0.4]",0.4,22.68000031,"[0.0, 38.400001525878906]",0,38.40000153,,50,50,156,156,37.32,60,3.276534557,BuiltPC01,results_60routes\full_delay\case_0017__R2_S02__v30p0_delays.npy,results_60routes\optima\case_0017__R2_S02__v30p0_optima.npy,"delays[i1,...,iN] corresponds to x1=grid[i1],...,xN=grid[iN]",0.16,0.151,,160,151,,0.4,0.64,0.4,
18,R2_S02,random_short_2link,2S02,2,3,30,32.5,120,1.2,100,10000,"[160.0, 151.0]","[0.4, 0.64, 0.4]",0.4,25.55076981,"[0.0, 34.79999923706055]",0,34.79999924,,392,392,392,392,34.44923077,60,3.016508818,BuiltPC01,results_60routes\full_delay\case_0018__R2_S02__v32p5_delays.npy,results_60routes\optima\case_0018__R2_S02__v32p5_optima.npy,"delays[i1,...,iN] corresponds to x1=grid[i1],...,xN=grid[iN]",0.16,0.151,,160,151,,0.4,0.64,0.4,
19,R2_S02,random_short_2link,2S02,2,3,30,35,120,1.2,100,10000,"[160.0, 151.0]","[0.4, 0.64, 0.4]",0.4,28.01142883,"[0.0, 32.400001525878906]",0,32.40000153,,660,660,660,780,31.98857143,60,3.066624165,BuiltPC01,results_60routes\full_delay\case_0019__R2_S02__v35p0_delays.npy,results_60routes\optima\case_0019__R2_S02__v35p0_optima.npy,"delays[i1,...,iN] corresponds to x1=grid[i1],...,xN=grid[iN]",0.16,0.151,,160,151,,0.4,0.64,0.4,
20,R2_S02,random_short_2link,2S02,2,3,30,37.5,120,1.2,100,10000,"[160.0, 151.0]","[0.4, 0.64, 0.4]",0.4,30.1439991,"[0.0, 30.0]",0,30,,930,930,981,981,29.856,60,3.05673933,BuiltPC01,results_60routes\full_delay\case_0020__R2_S02__v37p5_delays.npy,results_60routes\optima\case_0020__R2_S02__v37p5_optima.npy,"delays[i1,...,iN] corresponds to x1=grid[i1],...,xN=grid[iN]",0.16,0.151,,160,151,,0.4,0.64,0.4,
21,R2_S02,random_short_2link,2S02,2,3,30,40,120,1.2,100,10000,"[160.0, 151.0]","[0.4, 0.64, 0.4]",0.4,32.00999832,"[0.0, 28.799999237060547]",0,28.79999924,,1160,1160,1360,1360,27.99,60,3.088305712,BuiltPC01,results_60routes\full_delay\case_0021__R2_S02__v40p0_delays.npy,results_60routes\optima\case_0021__R2_S02__v40p0_optima.npy,"delays[i1,...,iN] corresponds to x1=grid[i1],...,xN=grid[iN]",0.16,0.151,,160,151,,0.4,0.64,0.4,
22,R2_S02,random_short_2link,2S02,2,3,30,42.5,120,1.2,100,10000,"[160.0, 151.0]","[0.4, 0.64, 0.4]",0.4,33.65647125,"[0.0, 26.399999618530273]",0,26.39999962,,1488,1488,1560,1632,26.34352941,60,3.109070301,BuiltPC01,results_60routes\full_delay\case_0022__R2_S02__v42p5_delays.npy,results_60routes\optima\case_0022__R2_S02__v42p5_optima.npy,"delays[i1,...,iN] corresponds to x1=grid[i1],...,xN=grid[iN]",0.16,0.151,,160,151,,0.4,0.64,0.4,
