scenario,run,V_net,TTT,traffic_total
no01,Case1_no01_r01_volspd.csv,26.77331348053037,11907128.03,502230
no01,Case1_no01_r02_volspd.csv,27.006138654017818,11814488.940000001,502124
no01,Case1_no01_r03_volspd.csv,26.89078592674372,11847141.32,501518
no01,Case1_no01_r04_volspd.csv,26.863597578775874,11868794.670000002,501797
no01,Case1_no01_r05_volspd.csv,27.077689061538724,11781678.68,502043
no01,Case1_no01_r06_volspd.csv,26.892237986536674,11857974.150000002,502208
no01,Case1_no01_r07_volspd.csv,27.086229225264173,11773738.16,501993
no01,Case1_no01_r08_volspd.csv,26.95148710997212,11833760.669999998,501844
no01,Case1_no01_r09_volspd.csv,26.75809179927379,11917194.71,502151
no01,Case1_no01_r10_volspd.csv,27.017955289234123,11800957.77,501746
no01,Case1_no01_r11_volspd.csv,26.962868126638785,11829300.82,502199
no01,Case1_no01_r12_volspd.csv,26.89746788954264,11859784.36,501901
no01,Case1_no01_r13_volspd.csv,27.013707380153555,11804032.440000001,502053
no01,Case1_no01_r14_volspd.csv,26.887867046262276,11856624.620000001,502183
no01,Case1_no01_r15_volspd.csv,26.711378505192656,11933953.16,501812
no01,Case1_no01_r16_volspd.csv,26.84452169456095,11878978.129999999,502050
no01,Case1_no01_r17_volspd.csv,26.86737341919138,11866910.09,502017
no01,Case1_no01_r18_volspd.csv,26.850887461077956,11878712.5,502238
no01,Case1_no01_r19_volspd.csv,26.841955448966747,11879705.170000002,501928
no01,Case1_no01_r20_volspd.csv,26.976813357954228,11819060.71,502074
no02,Case1_no02_r01_volspd.csv,27.12143529592129,11757615.52,502161
no02,Case1_no02_r02_volspd.csv,26.811396949166717,11894730.600000001,502163
no02,Case1_no02_r03_volspd.csv,26.890803648134735,11857075.239999998,502246
no02,Case1_no02_r04_volspd.csv,26.906815660081698,11853078.649999999,502168
no02,Case1_no02_r05_volspd.csv,26.978411771705627,11821855.25,502237
no02,Case1_no02_r06_volspd.csv,27.1339347700981,11747711.06,501938
no02,Case1_no02_r07_volspd.csv,27.026529585511703,11797830.76,502130
no02,Case1_no02_r08_volspd.csv,27.111471204810424,11758630.870000001,501828
no02,Case1_no02_r09_volspd.csv,26.99393198714615,11813839.51,501828
no02,Case1_no02_r10_volspd.csv,26.933775612012564,11846383.09,502261
no02,Case1_no02_r11_volspd.csv,26.985263609173117,11818495.59,502025
no02,Case1_no02_r12_volspd.csv,26.85518326765757,11870337.51,502153
no02,Case1_no02_r13_volspd.csv,26.96092998062587,11831197.870000001,502231
no02,Case1_no02_r14_volspd.csv,27.13130192720971,11749483.14,501930
no02,Case1_no02_r15_volspd.csv,26.962876249236174,11828448.93,502270
no02,Case1_no02_r16_volspd.csv,26.947576895245952,11837557.559999999,502217
