slot_code,scenario,V_net_mean,TTT_mean,bus_mean,HHMM
630,no01,27.978011857287424,168852.069,251.15,06:30
645,no01,25.99424472165102,214480.038,272.25,06:45
700,no01,27.89119639404724,200800.0315,275.45,07:00
715,no01,27.497713071947786,243437.7635,352.15,07:15
730,no01,25.828390742851745,277381.7155,323.75,07:30
745,no01,26.148481538648436,269443.58650000003,418.75,07:45
800,no01,24.67050042723493,310987.311,460.2,08:00
815,no01,25.026142986986308,308618.06950000004,427.6,08:15
830,no01,24.715964289684795,321089.284,396.7,08:30
845,no01,24.97395473782364,299283.983,305.25,08:45
900,no01,26.299431847963,260033.3605,409.65,09:00
915,no01,27.36946628566052,223776.26,232.35,09:15
930,no01,27.00184659847083,240928.355,344.75,09:30
945,no01,28.087424990816366,223467.984,222.55,09:45
1000,no01,25.938735434408464,255688.5735,312.3,10:00
1015,no01,25.32695510003898,247819.79,201.25,10:15
1030,no01,28.28662792935376,211094.398,320.15,10:30
1045,no01,29.09769392036417,201471.8685,294.2,10:45
1100,no01,27.619376165852053,226894.59500000003,205.7,11:00
1115,no01,27.24474771484271,235523.115,226.4,11:15
1130,no01,28.216307605812297,208181.4105,247.2,11:30
1145,no01,28.66060370695073,212340.2655,249.25,11:45
1200,no01,28.05357371169724,220763.4675,224.65,12:00
1215,no01,28.298903622560957,227282.9295,241.6,12:15
1230,no01,27.954465716092137,213596.1615,276.85,12:30
1245,no01,29.028820441681507,211960.1415,309.1,12:45
1300,no01,28.713451230958555,219159.1355,275.2,13:00
1315,no01,29.01096801033437,206166.423,240.7,13:15
1330,no01,28.38842029180871,205025.75,262.4,13:30
1345,no01,28.552489513127316,185852.605,209.6,13:45
1400,no01,28.540891177641164,201998.01,310.75,14:00
1415,no01,28.40786804505256,216614.808,224.45,14:15
1430,no01,29.16755570956528,210342.5935,288.2,14:30
1445,no01,28.805940066449345,211366.918,355.55,14:45
1500,no01,27.197797519912893,223050.6635,259.9,15:00
1515,no01,27.26184653666478,223832.96,346.45,15:15
1530,no01,27.25591236255978,220658.39900000003,280.8,15:30
1545,no01,27.602255525030245,210441.055,264.6,15:45
1600,no01,24.950414085666708,271318.611,283.1,16:00
1615,no01,24.890087648548185,267933.31350000005,266.8,16:15
1630,no01,24.14458932230688,262686.80350000004,240.25,16:30
1645,no01,25.023535297674737,270133.1285,211.35,16:45
1700,no01,24.39984830973648,290037.8655,365.3,17:00
1715,no01,26.74994658415804,270447.677,295.9,17:15
1730,no01,26.86365444582224,253218.0865,286.25,17:30
1745,no01,26.0076087639696,272493.977,265.05,17:45
1800,no01,26.090567054662813,270643.799,330.9,18:00
1815,no01,27.23166136310672,243195.7055,294.5,18:15
1830,no01,27.964543015627005,215211.5355,239.1,18:30
1845,no01,28.727608374405413,193469.605,300.5,18:45
630,no02,27.978011857287424,168852.069,251.15,06:30
645,no02,25.99424472165102,214480.038,272.25,06:45
700,no02,27.91721279726937,200728.6335,275.45,07:00
715,no02,27.602175726145287,242179.972,352.15,07:15
730,no02,25.9174362439848,276671.487,323.75,07:30
745,no02,26.20073737111424,267441.4115,418.75,07:45
800,no02,24.75273615925857,312091.9875,460.2,08:00
815,no02,25.13461307830173,307323.499,427.6,08:15
830,no02,24.850416288987624,319442.148,396.7,08:30
845,no02,25.27722028882613,295178.8185,305.25,08:45
900,no02,26.66254335144813,257066.0045,409.65,09:00
915,no02,27.243826209079145,223241.7025,232.35,09:15
930,no02,27.2230881276193,239252.66,344.75,09:30
945,no02,28.31070701664326,221462.886,222.55,09:45
1000,no02,26.23363307188588,253384.0905,312.3,10:00
1015,no02,25.93187629425559,241493.6345,201.25,10:15
1030,no02,28.393147965952448,210186.8,320.15,10:30
1045,no02,29.168340866555845,201332.8105,294.2,10:45
1100,no02,27.6380632648667,226215.109,205.7,11:00
1115,no02,27.32573706872744,236106.9,226.4,11:15
1130,no02,28.21840737758915,207988.623,247.2,11:30
1145,no02,28.60809640275074,212858.81,249.25,11:45
1200,no02,28.064960625752008,219940.261,224.65,12:00
1215,no02,28.2739140859423,228763.963,241.6,12:15
1230,no02,28.046707172050134,213439.739,276.85,12:30
1245,no02,29.09141887090373,211483.192,309.1,12:45
1300,no02,28.842376375810808,217683.91,275.2,13:00
1315,no02,29.035874624482496,206203.6065,240.7,13:15
1330,no02,28.47155931496628,203720.556,262.4,13:30
1345,no02,28.62464292084358,185441.2085,209.6,13:45
1400,no02,28.55991086096141,202535.2255,310.75,14:00
1415,no02,28.5007232883266,215812.5255,224.45,14:15
1430,no02,29.155747451828933,210577.9965,288.2,14:30
1445,no02,28.93429450147413,209867.151,355.55,14:45
1500,no02,27.21765248705495,222756.9175,259.9,15:00
1515,no02,27.13833940598221,226140.794,346.45,15:15
1530,no02,27.276469489590465,219591.85,280.8,15:30
1545,no02,27.483551353549508,212009.654,264.6,15:45
1600,no02,24.85589908869496,270707.012,283.1,16:00
1615,no02,24.858007466892037,268265.5425,266.8,16:15
1630,no02,24.157844687676025,263462.0715,240.25,16:30
1645,no02,25.021966211902253,270280.57050000003,211.35,16:45
1700,no02,24.142794090963044,292085.125,365.3,17:00
1715,no02,26.90003920437525,269271.736,295.9,17:15
1730,no02,26.850890775299536,252694.596,286.25,17:30
1745,no02,25.942395339194928,271750.9765,265.05,17:45
1800,no02,25.919856571467683,273414.33,330.9,18:00
1815,no02,27.24122429146997,243729.992,294.5,18:15
1830,no02,27.847867482145347,214897.1185,239.1,18:30
1845,no02,28.68174581605768,194435.3635,300.5,18:45
630,no03,27.81107792298412,169358.565,251.15,06:30
645,no03,25.479233301086342,218067.98850000004,272.25,06:45
700,no03,26.84050228951194,208465.993,275.45,07:00
715,no03,26.28831055919997,253235.053,352.15,07:15
730,no03,24.676335405753708,291593.5965,323.75,07:30
745,no03,24.88574788228328,282896.2465,418.75,07:45
800,no03,23.72377061362987,322427.8335,460.2,08:00
815,no03,24.651706250388173,314766.664,427.6,08:15
830,no03,24.3000661665472,326491.124,396.7,08:30
845,no03,24.628677061178653,303976.87450000003,305.25,08:45
900,no03,25.95722880010743,263566.6485,409.65,09:00
915,no03,27.07900638119803,226916.792,232.35,09:15
930,no03,26.664776035563243,243409.771,344.75,09:30
945,no03,27.908913528737635,225532.661,222.55,09:45
1000,no03,25.922409976272924,255725.895,312.3,10:00
1015,no03,25.115951750572897,249669.3075,201.25,10:15
1030,no03,28.089641382117584,212919.5385,320.15,10:30
1045,no03,28.969347049079197,202760.5625,294.2,10:45
1100,no03,27.46257045773707,227571.8895,205.7,11:00
1115,no03,26.98667943404937,238114.54100000003,226.4,11:15
1130,no03,28.0715853078212,209272.9195,247.2,11:30
1145,no03,28.556680500024772,213015.6955,249.25,11:45
1200,no03,27.8555864474116,221723.89700000003,224.65,12:00
1215,no03,28.121139956097704,228873.243,241.6,12:15
1230,no03,27.87845490736216,214250.027,276.85,12:30
1245,no03,28.89165620881557,212546.5785,309.1,12:45
1300,no03,28.65505712668143,219550.2635,275.2,13:00
1315,no03,28.82355442747504,207596.292,240.7,13:15
1330,no03,28.294835625549347,205591.902,262.4,13:30
1345,no03,28.45900868895161,186446.5725,209.6,13:45
1400,no03,28.385603522082768,203308.1575,310.75,14:00
1415,no03,28.248766325004983,217862.2465,224.45,14:15
1430,no03,29.04156239116253,211183.7255,288.2,14:30
1445,no03,28.60595244378048,212382.4425,355.55,14:45
1500,no03,27.028815641242467,223949.158,259.9,15:00
1515,no03,26.80316750911584,228074.0465,346.45,15:15
1530,no03,27.11041163467153,221846.8235,280.8,15:30
1545,no03,27.31346305619229,212866.5475,264.6,15:45
1600,no03,24.686035281908733,273391.495,283.1,16:00
1615,no03,24.613472281992,270838.3825,266.8,16:15
1630,no03,23.874245768924983,266132.939,240.25,16:30
1645,no03,24.890691088492503,271693.8635,211.35,16:45
1700,no03,23.91844742010695,294336.06,365.3,17:00
1715,no03,26.200149923147485,276605.16000000003,295.9,17:15
1730,no03,26.31686033236381,258153.8725,286.25,17:30
1745,no03,25.242959772057908,279334.073,265.05,17:45
1800,no03,25.249655397130933,278721.9925,330.9,18:00
1815,no03,25.89753155929847,255093.255,294.5,18:15
1830,no03,27.26611630943537,223919.162,239.1,18:30
1845,no03,28.38836979608829,196131.12,300.5,18:45
630,no04,27.81107792298412,169358.565,251.15,06:30
645,no04,25.479233301086342,218067.98850000004,272.25,06:45
700,no04,26.85679279466885,208315.248,275.45,07:00
715,no04,26.40098783854246,252533.3935,352.15,07:15
730,no04,24.868262579089752,288975.6475,323.75,07:30
745,no04,24.939203302888902,281603.6665,418.75,07:45
800,no04,23.7915388939819,322397.2065,460.2,08:00
815,no04,24.513061266132823,317255.9925,427.6,08:15
830,no04,24.56213180252533,323181.1585,396.7,08:30
845,no04,24.87221154034335,300614.365,305.25,08:45
900,no04,26.29290521956413,260300.9165,409.65,09:00
915,no04,26.94836185548982,226456.9125,232.35,09:15
930,no04,26.953870738029508,241121.6355,344.75,09:30
945,no04,28.2050283994159,222942.232,222.55,09:45
1000,no04,25.82265919249172,256242.58,312.3,10:00
1015,no04,25.522587330231104,245666.35350000003,201.25,10:15
1030,no04,28.17106912746285,211945.2355,320.15,10:30
1045,no04,29.043583290922363,202264.5115,294.2,10:45
1100,no04,27.44629305275758,227835.7925,205.7,11:00
1115,no04,27.099928358325588,237974.101,226.4,11:15
1130,no04,28.06905465360207,209151.969,247.2,11:30
1145,no04,28.50955987023242,213475.964,249.25,11:45
1200,no04,27.901941253729508,220976.6815,224.65,12:00
1215,no04,27.954046037608908,231638.4165,241.6,12:15
1230,no04,27.890390254095376,214522.974,276.85,12:30
1245,no04,28.930501202574373,212871.4245,309.1,12:45
1300,no04,28.6852679677728,218823.33650000003,275.2,13:00
1315,no04,28.88876776606365,207353.4265,240.7,13:15
1330,no04,28.37826710378561,204161.324,262.4,13:30
1345,no04,28.49969511216194,185834.77,209.6,13:45
1400,no04,28.41982086252268,203732.0565,310.75,14:00
1415,no04,28.40293630133521,216784.2065,224.45,14:15
1430,no04,29.060664156296365,211038.5045,288.2,14:30
1445,no04,28.700424197356256,211241.8015,355.55,14:45
