scenario,link_id,slot_code,HHMM,V_scen,TTT_scen,flow_scen,V_base,TTT_base,flow_base,V_diff,TTT_diff,flow_diff
no03,533967_00280_11490_0,630,06:30,52.21858683319713,1127.9705,139.6,52.234724456509454,1127.621,139.6,-0.016137623312324934,0.3494999999998072,0.0
no03,533967_00280_11490_0,645,06:45,52.52684557985265,940.2125,117.05,52.53664043512322,940.0355,117.05,-0.009794855270570224,0.17700000000002092,0.0
no03,533967_00280_11490_0,700,07:00,52.26658843424053,1012.7685,125.45,52.27631852283254,1012.581,125.45,-0.009730088592007746,0.1875,0.0
no03,533967_00280_11490_0,715,07:15,52.35782404533028,1091.131,135.4,52.36759490560877,1090.9245,135.4,-0.009770860278486282,0.20650000000000546,0.0
no03,533967_00280_11490_0,730,07:30,52.50409384107875,969.96,120.7,52.510604711046525,969.839,120.7,-0.0065108699677765,0.1209999999999809,0.0
no03,533967_00280_11490_0,745,07:45,52.35790489450248,1244.2585,154.4,52.36115628546777,1244.181,154.4,-0.003251390965289147,0.07749999999987267,0.0
no03,533967_00280_11490_0,800,08:00,52.29604739870025,973.8155,120.7,52.29283599987849,973.8745,120.7,0.0032113988217616907,-0.05899999999996908,0.0
no03,533967_00280_11490_0,815,08:15,52.37700409802774,1148.7225,142.6,52.393236998914105,1148.3635,142.6,-0.016232900886365087,0.359000000000151,0.0
no03,533967_00280_11490_0,830,08:30,52.32664375335471,1074.1075,133.2,52.32080598261422,1074.2515,133.2,0.005837770740491521,-0.14400000000000546,0.0
no03,533967_00280_11490_0,845,08:45,51.73985450740565,1297.657,159.1,51.565411374875126,1302.2365,159.05,0.17444313253052712,-4.579500000000053,0.04999999999998295
no03,533967_00280_11490_0,900,09:00,52.47161159397895,816.968,101.6,52.36190991837883,819.174,101.65,0.109701675600121,-2.2060000000000173,-0.05000000000001137
no03,533967_00280_11490_0,915,09:15,52.0748266563099,1067.404,131.7,52.09553942580931,1066.9435,131.7,-0.02071276949940426,0.46049999999991087,0.0
no03,533967_00280_11490_0,930,09:30,51.76495730303505,1254.4025,153.9,51.782901851009,1253.9555,153.9,-0.017944547973954172,0.44699999999988904,0.0
