scenario,link_id,slot_code,HHMM,TTT_base,TTT_scen,TTT_diff
no08,533967_00280_11490_0,630,06:30,1127.621,1127.9478947368425,0.3268947368424051
no08,533967_00280_11490_0,645,06:45,940.0355,940.2494736842104,0.21397368421048668
no08,533967_00280_11490_0,700,07:00,1012.581,1012.6215789473684,0.04057894736843082
no08,533967_00280_11490_0,715,07:15,1090.9245,1092.9836842105262,2.059184210526155
no08,533967_00280_11490_0,730,07:30,969.839,967.4757894736842,-2.363210526315811
no08,533967_00280_11490_0,745,07:45,1244.181,1244.8263157894737,0.6453157894736705
no08,533967_00280_11490_0,800,08:00,973.8745,976.4057894736842,2.5312894736841827
no08,533967_00280_11490_0,815,08:15,1148.3635,1146.1536842105263,-2.2098157894736232
no08,533967_00280_11490_0,830,08:30,1074.2515,1077.1842105263158,2.932710526315759
no08,533967_00280_11490_0,845,08:45,1302.2365,1316.8484210526317,14.611921052631715
no08,533967_00280_11490_0,900,09:00,819.174,828.7521052631579,9.578105263157909
no08,533967_00280_11490_0,915,09:15,1066.9435,1069.5826315789473,2.639131578947172
no08,533967_00280_11490_0,930,09:30,1253.9555,1256.935789473684,2.9802894736840244
no08,533967_00280_11490_0,945,09:45,898.9055000000001,893.5468421052632,-5.3586578947368935
no08,533967_00280_11490_0,1000,10:00,754.9905,760.9768421052632,5.9863421052632475
no08,533967_00280_11490_0,1015,10:15,735.5135,735.1042105263158,-0.4092894736842254
no08,533967_00280_11490_0,1030,10:30,731.9285,731.3236842105263,-0.6048157894737187
no08,533967_00280_11490_0,1045,10:45,783.6195,787.1042105263158,3.48471052631578
no08,533967_00280_11490_0,1100,11:00,853.9675,857.1836842105263,3.2161842105263077
no08,533967_00280_11490_0,1115,11:15,849.458,846.1068421052631,-3.3511578947368434
no08,533967_00280_11490_0,1130,11:30,893.6360000000001,896.7036842105263,3.0676842105261812
no08,533967_00280_11490_0,1145,11:45,813.6115,811.2068421052631,-2.404657894736829
no08,533967_00280_11490_0,1200,12:00,733.121,737.9968421052632,4.875842105263246
no08,533967_00280_11490_0,1215,12:15,797.3575,794.8615789473683,-2.4959210526316156
no08,533967_00280_11490_0,1230,12:30,889.6015,890.4752631578947,0.8737631578947003
no08,533967_00280_11490_0,1245,12:45,865.025,867.2757894736841,2.250789473684108
