link_id,TTT_mean,TTT_std,V_mean
I_11_533967_13845533967_01485,463065.0265,2777.5473748942422,30.893726535303493
533967_00535_00609_1,448518.8275,9508.217799498689,17.4673601431666
533967_00538_00539_1,314148.033,11703.72463911702,15.189373008890428
533967_00766_11513_1,304807.221,7797.482659075146,21.542562205614637
533967_00538_11513_1,300435.60699999996,11292.235240205466,11.473606046239846
533967_00939_01421_1,285773.306,5650.13570359845,15.116319989102951
533967_00535_00609_0,280325.6145,250.21539221184963,29.917551749426707
I_11_533967_00939533967_01485,264271.3905,7579.771088692157,21.138492254304776
I_11_533967_01405533967_00937,246532.58,2976.4149049927805,8.872452818220202
533967_00532_00534_1,217420.823,2381.0640040693524,25.675800644897
533967_00532_11490_1,216357.71099999998,2486.713064062254,26.06781824803067
533967_00532_00534_0,213162.76400000002,3643.400229322225,26.64438586192636
533967_00535_11512_1,193176.437,2261.823784976467,13.792781159689687
533967_00538_00539_0,189343.512,1506.94701230004,23.301849470372126
I_11_533967_00937533967_01657,184397.7555,2614.4189342939053,20.238380180872976
I_11_533967_01485533967_14155,180751.9305,192.01687068081864,48.484808436305066
I_11_533967_13718533967_00977,174549.659,4582.115789686435,12.400116698963393
533967_00319_11518_1,173161.7795,17462.427725473754,23.321982935472885
I_11_533967_00978533967_00977,164947.2885,4698.518597290759,23.586812620192894
533967_00534_00766_1,159932.3885,2313.3566018217716,30.14266009018575
533967_00534_00766_0,158258.6225,1609.5359217909772,32.8989990786403
I_11_533967_01485533967_00940,156521.83500000002,2283.3705228305757,24.836965467841992
I_11_533967_01485533967_01405,153911.966,13263.895837111397,20.452996118860217
533967_00766_11513_0,153058.08500000002,15553.976670949696,33.69441190367082
533967_00535_00538_0,146663.3915,730.5578614663344,14.35984573024476
I_11_0129024146232,145867.671,346.2788841366833,29.964257214109228
533967_00319_00539_0,143497.32,12977.509769580927,16.854631086000104
533967_00938_00939_0,143265.805,4168.5976966758935,12.273603109316236
533967_00535_14018_1,135793.3425,3295.598954605785,10.509959958177976
533967_01420_01654_0,135748.819,4150.385492674026,14.373649999107581
533967_00532_01530_1,134621.05800000002,2379.8433549967326,9.57125962716097
I_11_533967_00977533967_01421,130616.3975,7958.168789540045,33.33941749449474
I_11_533967_14021533967_01485,128453.4685,4374.583102955762,9.21973238426892
533967_00534_11504_1,127151.0495,1546.3394444690293,7.259631971868801
533967_00693_01661_0,125110.9195,1276.6856672546367,26.05862521798652
533967_00532_11490_0,121872.8645,134.92932682177977,48.10771186074146
533967_13844_14155_1,120201.124,91.23162906060924,47.98676563094615
533967_01420_01654_1,119163.20349999999,1698.7364583071285,21.783556608288446
I_11_533967_01555533967_00977,117937.8255,4225.64349755965,20.55017801641824
I_11_533967_-00001533967_00539,115724.1,2214.86345018093,4.435289169834336
533967_00319_11518_0,111585.53400000001,111.563598685142,29.948398157669214
533967_00695_11518_1,106172.70700000001,106.40088504281856,28.871954908369663
533967_00535_00538_1,103248.6885,1753.4721103428653,17.181808067994716
533967_00538_11513_0,101568.074,267.57180801854844,43.54114533551305
533967_00766_14156_0,99469.53,1519.392361300711,45.36662486306485
I_11_533967_01418533967_00977,99332.86899999999,6966.7034407431265,24.356178028238364
533967_01661_13315_1,98147.88100000001,2438.145158659282,5.508054204657123
533967_00940_13718_0,94861.41500000001,2708.0165974293127,37.548438642236626
I_11_533967_01268533967_00937,93000.844,1191.5623236362712,17.043315327452728
533967_01654_01658_1,89534.667,2337.1431211700806,23.632257291759217
533967_01654_01655_0,88942.3535,131.24125728375577,44.72090577773746
533967_00695_11518_0,87217.403,5577.178884020978,46.09044290570168
533967_00766_14156_1,83236.00600000001,1812.358472303568,28.792928017342028
533967_00319_00539_1,83189.84150000001,599.7062719828137,24.151325329797356
533967_01419_01420_0,81886.18100000001,2004.042435113535,14.231696036359105
533967_11501_11504_0,80138.726,2758.956749214418,23.558971599530643
533967_01418_01420_1,78522.719,1014.6408113888349,19.09525179674705
I_11_533967_01644533967_01485,78115.7005,3079.6678954812082,13.048550505441124
I_11_533967_00977533967_00978,75993.9365,127.71524330053988,39.39291584882076
I_11_0129024139429,75187.916,165.27656962608873,29.449088840415435
533967_00536_11512_0,74171.723,2499.717836127449,29.014702689897653
I_11_0129024139444,70310.441,229.93617379612257,49.743554182995936
533967_01419_01425_1,65987.4755,1359.2623676851374,23.033389570340383
I_11_533967_01659533967_01657,65881.5735,1418.4256592889235,21.170669060337673
533967_00533_11503_0,65132.738,201.85463134590242,30.356851857944218
533967_00280_13214_0,63134.5695,58.4866369330376,45.403086985147226
533967_00280_13214_1,62429.342000000004,38.679853670871395,50.72729828678954
533967_00938_00939_1,62010.409,100.20491310047555,44.800465834836956
533967_11501_11504_1,59515.168999999994,189.16152059187803,30.06684225896948
533967_00533_11503_1,59128.61750000001,191.82277502876656,31.58289129049815
I_11_533967_01412533967_01657,52418.091499999995,951.8590205336676,15.647662080571749
533967_14017_14018_0,50240.952000000005,4201.719360802569,43.6376227161774
533967_00535_11512_0,48921.4755,76.2118206382722,44.34985625141796
533967_00280_11490_1,48823.5215,49.74465136813075,49.58147503967541
533967_11501_11503_1,47942.729999999996,422.68784186815355,30.048650749376996
533967_00532_11497_1,47833.8505,1277.304876718636,8.605746206480765
533967_11501_11503_0,46066.168,145.71059967945922,29.703604848407117
I_11_533967_01657533967_01658,45751.8075,1000.367678363546,45.76026614551303
533967_13891_14021_0,44858.5485,2543.502796282647,46.66934806193336
533967_00280_11490_0,44610.5175,46.87104143285136,52.35261566874722
533967_13891_14021_1,42856.726,475.1322309730983,49.99747498257722
533967_00949_14017_0,42642.9775,92.80128962778001,51.003423573190844
I_11_533967_13308533967_00937,42534.3445,993.7338502069374,20.07546648788068
533967_14017_14018_1,41655.432,37.89207966122469,49.79916037612195
533967_00933_14152_1,41449.952000000005,11.608150312784879,51.40214747790189
533967_00949_14017_1,40228.3875,27.57000522593167,46.42454568130596
I_11_0129024146246,36621.616,137.28960291066628,46.07475553438596
533967_01418_01421_0,36308.6445,3990.348329239963,13.96280095438062
533967_00978_12969_0,34778.014,60.33064145977056,39.99911930944628
533967_00933_14152_0,34119.770000000004,26.585068028974952,45.823648836191325
533967_00536_11512_1,33727.3045,25.377143357754733,43.14227071031649
533967_00978_12969_1,33692.826,16.98221434944362,52.34500385519036
I_11_533967_01657533967_13308,32563.003500000003,490.81364604067085,45.44055041103315
533967_01555_14156_1,31940.588,505.390641912404,45.85423253163881
533967_00535_14018_0,31824.5365,74.59582500487485,42.5995562367393
533967_00943_01268_0,31066.285499999998,21.906851721970682,46.97060495990527
533967_00534_11504_0,29779.784499999998,104.4561356679644,29.1879826326878
I_11_533967_00937533967_01406,29712.389000000003,527.0483086806729,40.20526342364493
I_11_533967_00977533967_01425,29571.1515,422.18841702023565,47.58666242603108
533967_01661_13315_0,29567.9955,74.08709017984033,17.940879917579046
533967_00539_11517_1,28119.012,680.2977451443013,12.708072368947487
I_11_533967_00539_533967_-00001,27396.760499999997,36.02123123571582,23.862220522405455
533967_00532_01530_0,27040.862,436.4975807083134,47.168330281632606
533967_00976_12969_0,26885.623499999998,10.016169703350704,53.301670969855614
I_11_533967_00937533967_01269,26141.105499999998,48.25190789519425,46.021665589925234
533967_01659_01661_1,26113.664,356.6196219090116,43.96224014663153
533967_00976_12969_1,26067.276,38.977617382827056,35.5769057657333
533967_01406_01644_0,24958.2705,1057.4346982922243,48.084682212970655
I_11_0804143920985,24889.301,1912.8816857486588,19.067403931138593
I_11_533967_00977533967_01555,24535.769,440.7584241413648,46.39444723713915
533967_00608_00609_1,23797.4305,20.501873463814526,29.84935865953314
I_11_533967_01485533967_14021,21839.8155,247.43309104047154,45.03886497936354
533967_01410_01417_1,21704.3905,20.354002962044756,50.72177607661049
533967_00609_11505_1,21285.7125,311.83566746597035,30.040522451801007
533967_01530_13891_1,21264.8785,252.15910280854584,48.890752256050895
533967_01530_13891_0,20950.508,360.2668897622258,49.26772347799617
533967_01654_01661_1,19656.852,303.12341376861144,27.94944757623341
533967_01269_13715_0,18402.4815,25.64169595240937,49.51347206169956
533967_00533_11502_1,18355.338,42.165484213363406,45.0837657268488
533967_00933_00944_1,18134.4675,24.477844735489477,50.12262832063194
533967_00533_11505_0,17901.669,248.92387688439626,30.0467290054011
533967_00933_00943_0,17363.769,18.237777998314634,54.72788912510312
533967_01555_14156_0,16266.022500000001,289.6606215606374,47.543230929074475
533967_00533_11502_0,14984.035500000002,19.152793523056914,32.678891138728254
533967_00938_01417_0,14844.361499999999,22.9173237794144,49.726132890596986
533967_00539_11517_0,14193.918,40.48282424618345,19.49022636003511
533967_13107_13108_0,14039.6255,9.740738907992302,49.984181915337224
533967_00938_01409_1,13960.445500000002,1231.4125264720874,36.35304066125308
I_11_533967_01657533967_01413,13803.572,82.76346012964677,45.21186454655937
533967_00608_00609_0,13789.276500000002,65.28382432643038,65.45340961179231
533967_01654_01661_0,13329.922,126.23639702016023,30.428886295667677
533967_00285_11497_0,12796.1355,78.15968030930458,51.89128978926775
533967_13107_13108_1,10795.4525,36.73578319711267,45.455648772877154
533967_00285_11497_1,10345.886999999999,38.86751723212378,49.54808236114258
533967_00944_13715_1,9869.011999999999,20.364524262084824,49.897030662277636
533967_00609_11505_0,8630.013,120.35523914863978,29.673930779841008
533967_00533_11505_1,7129.0824999999995,99.79021916395185,30.174454915078314
533967_00532_11497_0,6992.489500000001,28.489203952411685,45.06748304908115
I_11_533967_-00006_533967_-00001,6692.847,1001.9827196802821,13.88158386019301
533967_00285_11494_1,6349.7925000000005,3.839751739507781,44.29713987907668
533967_01409_01410_1,6206.088,291.1968730239859,57.02552331450429
533967_01412_01414_1,5353.3565,171.10177486159955,55.784058162435464
533967_00939_00940_1,4589.211499999999,328.71445426844264,23.81894931070883
533967_00285_11494_0,4385.1855000000005,14.963069089560063,49.62728430847871
533967_10598_11494_0,3814.2385000000004,2.2109970958584957,57.32333569609083
533967_10598_13108_1,3811.8,1.7947291248483692,51.12
533967_10598_11494_1,3073.017,17.194694438753682,48.74546290040878
533967_10598_13108_0,3030.831,12.174252338439514,49.656596729006864
