scenario,slot_code,HHMM,car_mean,car_std,bus_mean,bus_std,other_mean,other_std,n_runs
no01,0630,06:30,7627.1,130.79389169706343,251.15,10.979766079379592,0.0,0.0,20
no01,0645,06:45,8742.1,139.67062758692785,272.25,15.120132970732483,0.0,0.0,20
no01,0700,07:00,8639.1,140.86084959053895,275.45,11.883092810242715,0.0,0.0,20
no01,0715,07:15,10215.5,121.03218362767886,352.15,21.844606705209028,0.0,0.0,20
no01,0730,07:30,11046.2,117.21846450560857,323.75,20.203894882449095,0.0,0.0,20
no01,0745,07:45,11253.75,158.49452090812107,418.75,22.566568192793508,0.0,0.0,20
no01,0800,08:00,11865.3,143.86364157917382,460.2,41.00654633232679,0.0,0.0,20
no01,0815,08:15,11716.5,90.11191871632083,427.6,33.634881643286555,0.0,0.0,20
no01,0830,08:30,12451.6,159.00526307078783,396.7,22.11715219128881,0.0,0.0,20
no01,0845,08:45,11422.1,137.3048471563609,305.25,19.63582922806379,0.0,0.0,20
no01,0900,09:00,10093.4,116.66073167861357,409.65,17.717891641234466,0.0,0.0,20
no01,0915,09:15,9678.7,94.3789115606258,232.35,20.878785506119037,0.0,0.0,20
no01,0930,09:30,10048.0,119.82794683255341,344.75,13.37662926623579,0.0,0.0,20
no01,0945,09:45,9722.6,103.41709112541366,222.55,27.761152334645054,0.0,0.0,20
no01,1000,10:00,10388.8,114.93274921494461,312.3,14.793668631510833,0.0,0.0,20
no01,1015,10:15,9536.8,116.65450563184652,201.25,13.779752499496078,0.0,0.0,20
no01,1030,10:30,9018.95,116.27801303681389,320.15,16.200308639035253,0.0,0.0,20
no01,1045,10:45,8833.4,60.496541875939876,294.2,21.446628983055636,0.0,0.0,20
no01,1100,11:00,9687.8,95.67906882137987,205.7,17.30865314471957,0.0,0.0,20
no01,1115,11:15,10168.3,157.47150118104068,226.4,15.537391232629417,0.0,0.0,20
no01,1130,11:30,9036.25,98.54086782436498,247.2,19.15477128962637,0.0,0.0,20
no01,1145,11:45,9124.25,133.88206711407187,249.25,23.648467180770933,0.0,0.0,20
no01,1200,12:00,9565.8,114.59797003805134,224.65,15.263561700647514,0.0,0.0,20
no01,1215,12:15,9701.85,111.67022644234322,241.6,17.916179103933146,0.0,0.0,20
no01,1230,12:30,9427.1,137.2043807801455,276.85,21.109426679491847,0.0,0.0,20
no01,1245,12:45,9165.2,122.7644728310015,309.1,17.740527494679345,0.0,0.0,20
no01,1300,13:00,9410.45,112.05096349899301,275.2,17.67424531255638,0.0,0.0,20
no01,1315,13:15,8897.6,142.6151981271359,240.7,16.799436080761133,0.0,0.0,20
no01,1330,13:30,8923.9,137.14260729927136,262.4,17.336909212793138,0.0,0.0,20
no01,1345,13:45,7967.8,103.68758744166865,209.6,22.354559172336046,0.0,0.0,20
no01,1400,14:00,8819.3,139.55685504293118,310.75,23.594992778352918,0.0,0.0,20
no01,1415,14:15,9130.85,170.44532230230584,224.45,21.107431966265494,0.0,0.0,20
no01,1430,14:30,9226.85,126.10074293366021,288.2,16.678381847548394,0.0,0.0,20
no01,1445,14:45,9007.6,154.1057053488048,355.55,20.257487244811095,0.0,0.0,20
no01,1500,15:00,9156.8,137.55251628684275,259.9,20.598671393026656,0.0,0.0,20
no01,1515,15:15,9246.25,153.59066412143434,346.45,30.14259968532034,0.0,0.0,20
no01,1530,15:30,8888.25,123.8377015120578,280.8,25.26616210207678,0.0,0.0,20
no01,1545,15:45,8677.75,114.98277903096734,264.6,21.77009053966619,0.0,0.0,20
no01,1600,16:00,10286.55,96.18921867586648,283.1,19.490618526006706,0.0,0.0,20
no01,1615,16:15,10332.6,168.15951074093778,266.8,18.21104349737152,0.0,0.0,20
no01,1630,16:30,9865.9,138.8251076942344,240.25,14.403490074137917,0.0,0.0,20
no01,1645,16:45,10266.2,164.470954082604,211.35,19.529397543730134,0.0,0.0,20
no01,1700,17:00,10719.0,155.9436470415886,365.3,21.054065740624214,0.0,0.0,20
no01,1715,17:15,10819.75,196.0351405125867,295.9,21.420354314235055,0.0,0.0,20
no01,1730,17:30,10304.1,102.49102656484506,286.25,22.456683450121208,0.0,0.0,20
no01,1745,17:45,10737.3,139.90564489570897,265.05,25.64427708804483,0.0,0.0,20
no01,1800,18:00,10881.0,107.05581426723641,330.9,30.726124663584006,0.0,0.0,20
no01,1815,18:15,9999.2,128.28611115701304,294.5,24.468024246479647,0.0,0.0,20
no01,1830,18:30,9237.2,119.8088828971066,239.1,20.08115115173797,0.0,0.0,20
no01,1845,18:45,8528.0,137.71251519780367,300.5,17.21229670598136,0.0,0.0,20
