scenario,timeslot,count_mean,count_std
no01,2022/10/18 06:30:00,6888.35,136.24717283401927
no01,2022/10/18 06:45:00,8056.65,141.88107510758502
no01,2022/10/18 07:00:00,7984.9,137.37152849883145
no01,2022/10/18 07:15:00,9412.05,122.7609894319678
no01,2022/10/18 07:30:00,10206.25,121.77843340306737
no01,2022/10/18 07:45:00,10502.3,154.8636412087133
no01,2022/10/18 08:00:00,11075.05,149.81478916526106
no01,2022/10/18 08:15:00,10912.2,101.5358894288384
no01,2022/10/18 08:30:00,11526.95,161.52512432892178
no01,2022/10/18 08:45:00,10551.95,137.03840222437827
no01,2022/10/18 09:00:00,9476.4,114.62221700690914
no01,2022/10/18 09:15:00,8887.0,93.32681681511536
no01,2022/10/18 09:30:00,9311.85,122.13765960888907
no01,2022/10/18 09:45:00,8903.5,112.01057280923371
no01,2022/10/18 10:00:00,9598.2,112.08577542503586
no01,2022/10/18 10:15:00,8764.55,115.06450136199372
no01,2022/10/18 10:30:00,8384.1,114.27800819884288
no01,2022/10/18 10:45:00,8214.3,62.16539907460783
no01,2022/10/18 11:00:00,8860.85,99.63051477175166
no01,2022/10/18 11:15:00,9364.7,158.04532993982883
no01,2022/10/18 11:30:00,8352.15,109.44706723487732
no01,2022/10/18 11:45:00,8439.6,136.32445816777286
no01,2022/10/18 12:00:00,8787.1,112.54468118555337
no01,2022/10/18 12:15:00,8940.65,116.84009540708553
no01,2022/10/18 12:30:00,8720.9,137.185966752012
no01,2022/10/18 12:45:00,8526.3,128.03950870521874
no01,2022/10/18 13:00:00,8706.9,110.45785097540723
no01,2022/10/18 13:15:00,8222.0,147.02810329285592
no01,2022/10/18 13:30:00,8257.35,142.35880354712353
no01,2022/10/18 13:45:00,7411.55,95.27603940241495
no01,2022/10/18 14:00:00,8199.1,142.60578714174198
no01,2022/10/18 14:15:00,8422.9,176.42231032085292
no01,2022/10/18 14:30:00,8586.4,125.33550763324854
no01,2022/10/18 14:45:00,8425.3,155.45556142816974
no01,2022/10/18 15:00:00,8491.05,135.1153405915031
no01,2022/10/18 15:15:00,8620.15,145.4511221935682
no01,2022/10/18 15:30:00,8248.3,122.08974266152704
no01,2022/10/18 15:45:00,8052.05,116.71263630680365
no01,2022/10/18 16:00:00,9486.9,95.2077506796255
no01,2022/10/18 16:15:00,9591.35,160.88481495843715
no01,2022/10/18 16:30:00,9138.5,137.04916520800307
no01,2022/10/18 16:45:00,9432.2,163.1610763696575
no01,2022/10/18 17:00:00,10023.5,146.78645427250663
no01,2022/10/18 17:15:00,10038.55,187.1102897392757
no01,2022/10/18 17:30:00,9550.2,101.01516300979151
no01,2022/10/18 17:45:00,9915.2,132.58070034987455
no01,2022/10/18 18:00:00,10148.25,89.97419220619824
no01,2022/10/18 18:15:00,9335.5,125.99101889462315
no01,2022/10/18 18:30:00,8535.0,125.07471451307146
no01,2022/10/18 18:45:00,7962.2,144.79226498677346
no02,2022/10/18 06:30:00,6888.35,136.24717283401927
no02,2022/10/18 06:45:00,8056.65,141.88107510758502
no02,2022/10/18 07:00:00,7986.95,136.23063841186848
no02,2022/10/18 07:15:00,9395.05,99.49423416248266
no02,2022/10/18 07:30:00,10225.85,89.19834492210113
no02,2022/10/18 07:45:00,10446.0,143.79627401658456
no02,2022/10/18 08:00:00,11140.85,165.09495672746078
no02,2022/10/18 08:15:00,10920.3,98.97639271962505
no02,2022/10/18 08:30:00,11537.8,165.23718200147843
no02,2022/10/18 08:45:00,10536.4,124.63732650331798
no02,2022/10/18 09:00:00,9501.6,111.45799303112483
no02,2022/10/18 09:15:00,8827.75,118.39935766184219
no02,2022/10/18 09:30:00,9329.15,151.5218500831861
no02,2022/10/18 09:45:00,8888.85,107.63010486701297
no02,2022/10/18 10:00:00,9616.25,136.53142109920492
no02,2022/10/18 10:15:00,8745.2,140.00398490569378
no02,2022/10/18 10:30:00,8347.2,114.96525791001302
no02,2022/10/18 10:45:00,8230.45,110.43763422235922
no02,2022/10/18 11:00:00,8829.8,114.84616713353186
no02,2022/10/18 11:15:00,9407.35,159.6628932272124
no02,2022/10/18 11:30:00,8338.05,135.59982727826278
no02,2022/10/18 11:45:00,8449.65,121.13597188370787
no02,2022/10/18 12:00:00,8767.3,134.72510022849815
no02,2022/10/18 12:15:00,8992.9,107.14766004272624
no02,2022/10/18 12:30:00,8739.35,153.91907477290593
no02,2022/10/18 12:45:00,8533.3,122.58578092181247
no02,2022/10/18 13:00:00,8692.4,98.83127568048286
no02,2022/10/18 13:15:00,8234.4,113.52968542933735
no02,2022/10/18 13:30:00,8243.3,116.81433762036312
no02,2022/10/18 13:45:00,7405.0,92.5765685939566
no02,2022/10/18 14:00:00,8226.9,115.85603589210024
no02,2022/10/18 14:15:00,8434.5,180.96597528410237
no02,2022/10/18 14:30:00,8596.85,127.50326105220712
no02,2022/10/18 14:45:00,8408.25,128.21933305247316
no02,2022/10/18 15:00:00,8510.45,141.36867627441
no02,2022/10/18 15:15:00,8654.3,162.8464242614402
no02,2022/10/18 15:30:00,8209.25,113.13097905106558
no02,2022/10/18 15:45:00,8075.6,134.11715224502706
no02,2022/10/18 16:00:00,9478.8,147.78953741189218
no02,2022/10/18 16:15:00,9592.95,163.90866359042806
no02,2022/10/18 16:30:00,9179.7,166.51761405170862
no02,2022/10/18 16:45:00,9446.9,142.4174368389961
no02,2022/10/18 17:00:00,10009.95,146.147177079891
no02,2022/10/18 17:15:00,10040.0,143.00460058849058
no02,2022/10/18 17:30:00,9525.45,133.59423049313403
no02,2022/10/18 17:45:00,9873.25,106.19935325405164
no02,2022/10/18 18:00:00,10185.95,123.36231404410252
no02,2022/10/18 18:15:00,9339.3,134.13390795454325
no02,2022/10/18 18:30:00,8491.35,167.9342838261757
no02,2022/10/18 18:45:00,7988.75,131.76569116587618
no03,2022/10/18 06:30:00,6871.2,128.87268299004492
no03,2022/10/18 06:45:00,8031.2,125.37715732519769
no03,2022/10/18 07:00:00,7978.5,131.81027034499644
no03,2022/10/18 07:15:00,9372.9,119.59620659359958
no03,2022/10/18 07:30:00,10243.5,122.9683313959972
no03,2022/10/18 07:45:00,10491.45,130.9280537667836
no03,2022/10/18 08:00:00,11044.6,129.35117438890722
no03,2022/10/18 08:15:00,10963.1,103.92046553925117
no03,2022/10/18 08:30:00,11522.25,164.29142111696427
no03,2022/10/18 08:45:00,10585.45,122.73397633649961
no03,2022/10/18 09:00:00,9476.1,114.34891203772108
no03,2022/10/18 09:15:00,8907.95,97.14041654386583
no03,2022/10/18 09:30:00,9292.7,121.85932355319446
no03,2022/10/18 09:45:00,8938.75,115.23791179897992
no03,2022/10/18 10:00:00,9594.7,120.92237614532569
no03,2022/10/18 10:15:00,8764.8,128.31728767313257
no03,2022/10/18 10:30:00,8387.15,112.8055033185315
no03,2022/10/18 10:45:00,8225.9,63.565051635892665
no03,2022/10/18 11:00:00,8832.15,95.55008331264094
no03,2022/10/18 11:15:00,9377.9,143.78306027155165
no03,2022/10/18 11:30:00,8347.65,104.49440931909864
no03,2022/10/18 11:45:00,8437.65,123.09229528242115
no03,2022/10/18 12:00:00,8769.15,111.42392967968422
no03,2022/10/18 12:15:00,8952.35,126.57649029237963
no03,2022/10/18 12:30:00,8719.4,127.23926901293996
no03,2022/10/18 12:45:00,8519.4,125.73882706459027
no03,2022/10/18 13:00:00,8689.95,108.2543180128215
no03,2022/10/18 13:15:00,8221.25,148.65072981214783
no03,2022/10/18 13:30:00,8256.1,145.7654568855482
