Link,Length[m],LaneNum,Ave.SPD,SPD_0630,SPD_0645,SPD_0700,SPD_0715,SPD_0730,SPD_0745,SPD_0800,SPD_0815,SPD_0830,SPD_0845,SPD_0900,SPD_0915,SPD_0930,SPD_0945,SPD_1000,SPD_1015,SPD_1030,SPD_1045,SPD_1100,SPD_1115,SPD_1130,SPD_1145,SPD_1200,SPD_1215,SPD_1230,SPD_1245,SPD_1300,SPD_1315,SPD_1330,SPD_1345,SPD_1400,SPD_1415,SPD_1430,SPD_1445,SPD_1500,SPD_1515,SPD_1530,SPD_1545,SPD_1600,SPD_1615,SPD_1630,SPD_1645,SPD_1700,SPD_1715,SPD_1730,SPD_1745,SPD_1800,SPD_1815,SPD_1830,SPD_1845
533967_00280_11490_0,117.2,1,52.44,52.21,52.64,52.51,52.27,52.43,52.63,52.30,52.44,52.46,51.79,52.63,52.37,52.03,52.40,52.28,52.19,52.54,52.42,52.45,52.14,52.53,52.31,52.40,52.69,52.40,52.64,52.48,52.33,52.37,52.39,52.56,52.37,52.69,52.08,52.60,52.42,52.34,52.63,52.37,52.70,52.76,52.47,52.76,52.76,52.76,52.52,52.58,52.76,52.76,52.37
533967_00280_11490_1,117.3,1,49.56,49.86,49.79,49.14,49.20,49.97,49.26,49.97,49.84,49.71,49.33,49.53,49.71,50.09,49.87,49.34,49.58,49.52,49.47,49.85,49.50,49.31,49.29,49.12,49.53,49.56,49.53,49.31,49.54,49.42,49.66,49.43,49.24,49.81,49.25,49.58,49.33,49.66,49.58,49.99,49.88,49.66,49.42,49.90,49.57,49.76,49.60,49.47,49.39,49.93,49.00
533967_00280_13214_0,138.9,1,45.44,45.45,45.39,45.45,45.45,45.42,45.43,45.38,45.42,45.45,45.45,45.45,45.42,45.45,45.39,45.45,45.45,45.45,45.45,45.38,45.42,45.39,45.45,45.45,45.42,45.38,45.45,45.45,45.45,45.45,45.45,45.41,45.45,45.45,45.45,45.41,45.41,45.45,45.42,45.45,45.45,45.45,45.45,45.43,45.39,45.45,45.41,45.45,45.39,45.45,45.45
533967_00280_13214_1,158.9,1,50.72,50.67,50.59,50.71,50.05,50.95,50.22,50.52,50.85,50.63,49.93,51.34,50.68,50.14,50.53,50.84,51.04,50.96,50.60,50.37,50.51,50.96,50.90,50.56,50.90,50.57,50.84,50.82,50.44,50.58,50.70,50.76,50.32,50.61,50.62,51.38,50.65,50.61,50.49,50.92,50.99,50.64,50.91,51.03,51.01,51.20,51.35,50.91,51.25,51.69,51.11
533967_00285_11494_0,61.6,1,49.70,50.71,49.30,50.32,48.07,49.83,50.00,49.10,48.45,49.30,-1,48.23,46.71,49.95,51.60,50.84,53.06,-1,50.10,47.54,49.88,49.30,48.23,47.85,55.47,50.52,50.97,49.81,51.20,48.81,49.57,49.86,44.37,-1,49.30,51.87,47.06,51.20,49.63,51.60,48.81,49.67,47.97,49.30,50.10,49.85,49.30,51.77,49.81,49.70,49.30
533967_00285_11494_1,61.5,1,44.33,44.31,44.31,44.31,44.31,44.31,44.31,44.31,44.48,44.31,44.61,44.31,44.31,44.31,44.31,44.31,44.31,44.31,44.31,44.31,44.31,44.31,44.78,44.31,44.31,44.31,44.31,44.31,44.31,44.31,44.31,44.31,44.31,44.31,44.31,44.31,44.31,44.31,44.31,44.31,44.31,44.31,44.31,44.31,44.31,44.31,44.31,44.31,44.31,44.31,44.31
533967_00285_11497_0,145.2,1,52.02,52.15,52.28,51.90,52.28,51.95,51.29,52.28,49.56,51.49,51.57,52.12,52.28,52.28,51.96,51.87,51.87,52.28,52.28,52.28,52.28,52.12,51.99,52.28,52.28,52.28,52.28,52.28,52.28,52.28,52.28,52.28,52.28,52.28,52.28,52.28,52.28,52.28,52.28,52.28,52.04,52.28,52.28,52.14,52.28,52.28,52.28,52.28,52.28,52.28,52.28
533967_00285_11497_1,145.1,1,49.55,49.17,49.75,49.22,50.31,49.53,49.38,49.94,49.75,49.75,-1,50.23,50.97,49.37,48.82,49.12,48.29,-1,49.42,50.56,49.51,49.75,50.23,50.41,47.49,49.25,49.07,49.54,48.98,49.97,49.64,49.29,52.24,-1,49.75,48.72,50.79,48.98,49.62,48.82,49.97,49.60,50.35,49.75,49.25,49.43,49.75,48.76,49.54,49.59,49.75
533967_00319_00539_0,145.8,1,18.42,32.76,28.46,30.27,28.15,22.84,5.67,9.74,14.66,5.18,9.58,24.66,6.80,13.11,19.11,25.57,21.80,28.74,30.23,29.19,31.51,31.03,27.22,31.62,23.54,27.76,24.25,30.23,27.64,27.06,23.44,32.43,26.63,27.07,23.26,21.33,26.67,29.06,33.37,27.64,25.20,27.24,25.76,27.11,28.41,21.95,7.95,15.01,28.48,29.23,27.17
533967_00319_00539_1,145.6,1,23.93,25.78,26.65,27.64,29.47,25.80,20.73,26.81,26.91,22.60,26.08,26.02,27.44,27.08,25.68,24.83,23.58,24.25,21.93,20.33,23.75,24.77,25.41,25.57,26.49,22.74,23.57,19.07,25.43,24.22,20.69,21.86,21.69,21.61,24.68,24.21,22.15,20.34,22.39,23.01,21.24,23.13,17.92,19.25,25.70,27.09,27.02,27.38,20.38,26.01,28.87
533967_00319_01435_0,261.1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
533967_00319_01435_1,281.8,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
