,Time,VID,Type,Pos.x,Pos.y
5544265,12:00:00,23625,I_09_1204235410419,139.940995,35.897748
5544266,12:00:00,23590,I_09_1204235410404,139.941125,35.897487
5544267,12:00:00,23555,I_09_1204235410404,139.941245,35.897246
5544268,12:00:00,23619,I_09_1204235410404,139.941368,35.897
5544269,12:00:00,23623,I_09_1204235410404,139.941484,35.896766
5544270,12:00:00,23570,I_09_1204235410404,139.941603,35.896528
5544271,12:00:00,23581,I_09_1204235410404,139.941715,35.896301
5544272,12:00:00,23216,I_09_1204235410404,139.941762,35.896208
5544273,12:00:00,23459,I_09_1204235410404,139.941684,35.896365
5544274,12:00:00,23461,I_09_1204235410404,139.941614,35.896505
5544275,12:00:00,23467,I_09_1204235410404,139.941554,35.896626
5544276,12:00:00,23385,I_09_1204235410404,139.941502,35.89673
5544277,12:00:00,23372,I_09_1204235410404,139.941457,35.89682
5544278,12:00:00,23358,I_09_1204235410404,139.941417,35.8969
5544279,12:00:00,23456,I_09_1204235410404,139.943984,35.897055
5544280,12:00:00,23362,I_09_1204235410404,139.943667,35.896906
5544281,12:00:00,23384,I_09_1204235410404,139.943367,35.896765
5544282,12:00:00,23356,I_09_1204235410404,139.94308,35.89663
5544283,12:00:00,23369,I_09_1204235410404,139.942793,35.896496
5544284,12:00:00,23215,I_09_1204235410404,139.942521,35.896368
5544285,12:00:00,22852,I_09_1204235410419,139.941937,35.896094
5544289,12:00:00,22885,I_09_1204235410404,139.949915,35.894623
5544290,12:00:00,22873,I_09_1204235410404,139.949906,35.894674
5544291,12:00:00,23001,I_09_1204235410404,139.949897,35.894726
5544292,12:00:00,23011,I_09_1204235410404,139.949887,35.894777
5544293,12:00:00,22976,I_09_1204235410404,139.949878,35.894829
5544294,12:00:00,23035,I_09_1204235410404,139.949869,35.89488
5544295,12:00:00,23016,I_09_1204235410404,139.949859,35.894932
5544296,12:00:00,23018,I_09_1204235410404,139.94985,35.894983
5544297,12:00:00,23360,I_09_1204235410404,139.949841,35.895036
5544298,12:00:00,23446,I_09_1204235410404,139.949789,35.895318
5544299,12:00:00,23227,I_09_1204235410404,139.949757,35.895494
