slot_code,scenario,V_net_mean,TTT_mean,bus_mean,HHMM
700,no01,27.855850925268168,201132.72666666668,275.45,07:00
715,no01,27.505986497871923,243434.40777777776,352.15,07:15
730,no01,25.79846702570064,277503.30666666664,323.75,07:30
745,no01,26.17354282788961,269485.9422222222,418.75,07:45
800,no01,24.70265442104959,309974.82,460.2,08:00
815,no01,24.977748620004,309681.6188888889,427.6,08:15
830,no01,24.67842039067982,321080.7077777778,396.7,08:30
845,no01,24.97050284640985,299624.7911111111,305.25,08:45
900,no01,26.254262689641827,260908.42111111112,409.65,09:00
915,no01,27.367964859287795,223658.22944444444,232.35,09:15
930,no01,27.00301820138098,240989.40222222224,344.75,09:30
945,no01,28.093512209960124,223416.9255555556,222.55,09:45
1000,no01,25.950113512465432,255278.71166666664,312.3,10:00
1015,no01,25.34661787469599,247477.97166666668,201.25,10:15
1030,no01,28.23726370186096,211796.6888888889,320.15,10:30
1045,no01,29.09283768869172,201567.32166666663,294.2,10:45
1100,no01,27.61361855312462,226672.3005555556,205.7,11:00
1115,no01,27.222976991880746,235464.63166666668,226.4,11:15
1130,no01,28.18014869193845,208653.2861111111,247.2,11:30
1145,no01,28.63852440916409,212694.0861111111,249.25,11:45
1200,no01,28.07440061238719,220319.28722222225,224.65,12:00
1215,no01,28.288115469358043,227601.46666666667,241.6,12:15
1230,no01,27.905748301847268,214062.35166666668,276.85,12:30
1245,no01,29.000756319168783,212063.78055555557,309.1,12:45
1300,no01,28.697030821857407,219378.44944444444,275.2,13:00
1315,no01,28.99618378988184,206297.11444444445,240.7,13:15
1330,no01,28.37892961747584,205034.58,262.4,13:30
1345,no01,28.554786503982395,185707.9388888889,209.6,13:45
1400,no01,28.52001691587185,202328.55611111116,310.75,14:00
1415,no01,28.380568711501244,216953.3361111111,224.45,14:15
1430,no01,29.181456924030385,210190.28944444444,288.2,14:30
1445,no01,28.783204135178405,211295.64944444445,355.55,14:45
1500,no01,27.173736981178457,223507.81333333332,259.9,15:00
1515,no01,27.25168731150454,223517.97444444444,346.45,15:15
1530,no01,27.193775371700312,221596.8955555556,280.8,15:30
1545,no01,27.60096607777783,209972.165,264.6,15:45
1600,no01,24.94111059646145,271476.4861111111,283.1,16:00
1615,no01,24.89054288522596,267988.2477777778,266.8,16:15
1630,no01,24.103189476651647,262844.09222222224,240.25,16:30
1645,no01,24.96787202213152,271119.0627777778,211.35,16:45
1700,no01,24.35757122027328,290905.8388888889,365.3,17:00
1715,no01,26.810648373248053,269711.62944444444,295.9,17:15
1730,no01,26.861695455520355,253054.9527777778,286.25,17:30
1745,no01,25.987211356772992,272704.0888888889,265.05,17:45
1800,no01,26.044828121741013,271035.43333333335,330.9,18:00
1815,no01,27.22194135496127,243093.8277777778,294.5,18:15
1830,no01,27.967746118828952,215287.72666666668,239.1,18:30
700,no02,27.880403066483808,201048.59888888887,275.45,07:00
715,no02,27.584370449117877,242243.2977777778,352.15,07:15
730,no02,25.883679294695877,277029.80166666664,323.75,07:30
745,no02,26.206306505439844,267691.66833333333,418.75,07:45
800,no02,24.791545160273174,311041.13666666666,460.2,08:00
815,no02,25.13117481362123,307823.15,427.6,08:15
830,no02,24.843391011205306,318984.4711111111,396.7,08:30
845,no02,25.299700723025207,295408.05388888885,305.25,08:45
900,no02,26.640933773249746,257201.2,409.65,09:00
915,no02,27.23722585810683,223021.93,232.35,09:15
930,no02,27.17449666676006,239687.59611111117,344.75,09:30
945,no02,28.247073430604804,221977.59277777775,222.55,09:45
1000,no02,26.241178583755094,253530.11222222223,312.3,10:00
1015,no02,25.996290869265717,240593.85111111111,201.25,10:15
1030,no02,28.43245979708357,210139.27,320.15,10:30
1045,no02,29.186711232277556,201300.0,294.2,10:45
1100,no02,27.64608195391065,225713.79722222223,205.7,11:00
1115,no02,27.318353937366563,235848.1733333333,226.4,11:15
1130,no02,28.17915192607419,208529.2861111111,247.2,11:30
1145,no02,28.607681048735216,213046.4011111111,249.25,11:45
1200,no02,28.08286662006712,219389.86111111112,224.65,12:00
1215,no02,28.24339775686942,229042.7933333333,241.6,12:15
1230,no02,28.002504584734893,213934.995,276.85,12:30
1245,no02,29.066071316320176,211717.29777777777,309.1,12:45
1300,no02,28.84290519066008,218018.35,275.2,13:00
1315,no02,29.03427287009827,206079.6205555556,240.7,13:15
1330,no02,28.46754272167999,203569.295,262.4,13:30
1345,no02,28.62024106480537,185596.835,209.6,13:45
1400,no02,28.537294548331765,202861.5255555556,310.75,14:00
1415,no02,28.510373543747804,215575.20388888888,224.45,14:15
1430,no02,29.143819999512484,210386.7377777778,288.2,14:30
1445,no02,28.926227539894587,210397.0655555556,355.55,14:45
1500,no02,27.222885641772496,222786.48166666663,259.9,15:00
1515,no02,27.120593479270084,225824.75166666665,346.45,15:15
1530,no02,27.248006082079616,220211.0222222222,280.8,15:30
1545,no02,27.50669505667716,211123.46666666667,264.6,15:45
1600,no02,24.86372059961732,271387.4038888889,283.1,16:00
1615,no02,24.886406478460977,267750.81,266.8,16:15
1630,no02,24.16297296339034,263695.555,240.25,16:30
1645,no02,25.099814777068566,269354.29333333333,211.35,16:45
1700,no02,24.17438052306882,291238.1255555556,365.3,17:00
1715,no02,26.89463924787604,269063.59777777776,295.9,17:15
1730,no02,26.855980260699443,252636.81277777776,286.25,17:30
1745,no02,25.935551903166186,271748.34444444446,265.05,17:45
1800,no02,25.928222520464463,273589.9111111111,330.9,18:00
1815,no02,27.283453871743085,243322.38611111112,294.5,18:15
1830,no02,27.896226405438508,214472.84777777776,239.1,18:30
700,no03,26.834518053050527,208589.95277777777,275.45,07:00
715,no03,26.327075288282696,252966.79888888888,352.15,07:15
730,no03,24.66514759742468,291441.5611111111,323.75,07:30
745,no03,24.90841985221944,282915.73333333334,418.75,07:45
800,no03,23.73722469665276,321591.6122222222,460.2,08:00
815,no03,24.617496617417476,315768.4111111111,427.6,08:15
830,no03,24.28112881403972,326427.8755555556,396.7,08:30
845,no03,24.61405174135752,304323.33444444445,305.25,08:45
900,no03,25.925677655699896,264154.04666666663,409.65,09:00
915,no03,27.10345005464464,226531.8383333333,232.35,09:15
930,no03,26.653215961054507,243436.64666666664,344.75,09:30
945,no03,27.87981931484905,225779.09722222225,222.55,09:45
1000,no03,25.916158941732743,255795.06555555557,312.3,10:00
1015,no03,25.10210048658824,249554.19444444444,201.25,10:15
1030,no03,28.049200641211574,213442.34722222225,320.15,10:30
1045,no03,28.96272733058447,202997.2888888889,294.2,10:45
1100,no03,27.48605068702642,227138.22388888887,205.7,11:00
1115,no03,26.958114795763784,238229.05222222224,226.4,11:15
1130,no03,28.046684074129686,209595.4877777778,247.2,11:30
1145,no03,28.53645775609461,213349.84944444444,249.25,11:45
1200,no03,27.89448002185841,221103.65,224.65,12:00
1215,no03,28.107867726790023,229152.36388888888,241.6,12:15
1230,no03,27.853233116788257,214521.26722222223,276.85,12:30
1245,no03,28.85859660840924,212656.4305555556,309.1,12:45
1300,no03,28.622683500204975,219949.03,275.2,13:00
1315,no03,28.813427644835087,207750.4638888889,240.7,13:15
1330,no03,28.30446662086876,205427.7111111111,262.4,13:30
1345,no03,28.444783314242297,186321.8022222222,209.6,13:45
1400,no03,28.358483990084945,203742.9533333333,310.75,14:00
1415,no03,28.199168897297746,218347.0861111111,224.45,14:15
1430,no03,29.03113242679294,211244.6461111111,288.2,14:30
1445,no03,28.57880489583984,212338.41444444444,355.55,14:45
1500,no03,27.02187153875689,224411.1472222222,259.9,15:00
1515,no03,26.78263162186478,227584.2288888889,346.45,15:15
1530,no03,27.03410624182732,223030.3305555556,280.8,15:30
1545,no03,27.29470728747981,212454.115,264.6,15:45
1600,no03,24.70039507185577,273489.705,283.1,16:00
1615,no03,24.634667891277203,270686.03833333333,266.8,16:15
1630,no03,23.850821970071603,265917.70722222223,240.25,16:30
1645,no03,24.810512010914465,272960.4583333333,211.35,16:45
1700,no03,23.941106993413072,294378.0555555556,365.3,17:00
1715,no03,26.25564643074193,275816.84444444446,295.9,17:15
1730,no03,26.34054057612606,257909.4188888889,286.25,17:30
1745,no03,25.265330230389512,279244.2127777778,265.05,17:45
1800,no03,25.264175885855387,278243.68,330.9,18:00
1815,no03,25.89987813148138,254949.22222222225,294.5,18:15
1830,no03,27.236564365406693,224258.2288888889,239.1,18:30
700,no04,26.85313983101108,208412.88333333333,275.45,07:00
715,no04,26.40695596513462,252316.72055555557,352.15,07:15
730,no04,24.79775838549171,289742.9366666667,323.75,07:30
745,no04,24.99205074444747,281375.1061111111,418.75,07:45
800,no04,23.832908206974817,321511.7672222222,460.2,08:00
815,no04,24.52785661226413,317280.79,427.6,08:15
830,no04,24.55972403275817,322792.4505555556,396.7,08:30
845,no04,24.86451453216227,301135.8738888889,305.25,08:45
900,no04,26.25773243545886,260616.07888888888,409.65,09:00
915,no04,26.947359751993744,226196.56944444444,232.35,09:15
930,no04,26.89494794944552,241619.9544444444,344.75,09:30
945,no04,28.1489280097676,223462.25944444444,222.55,09:45
1000,no04,25.830637734749217,256167.75666666668,312.3,10:00
1015,no04,25.4827593404168,245915.99444444448,201.25,10:15
1030,no04,28.123353570501298,212491.23166666663,320.15,10:30
1045,no04,29.0208950544435,202700.29944444445,294.2,10:45
1100,no04,27.4463422384953,227489.52166666667,205.7,11:00
1115,no04,27.116780357509143,237568.3361111111,226.4,11:15
1130,no04,28.02704827146307,209648.15222222224,247.2,11:30
1145,no04,28.48101796398283,213859.885,249.25,11:45
1200,no04,27.9377337883586,220431.3311111111,224.65,12:00
1215,no04,27.928552082687325,231880.36111111112,241.6,12:15
1230,no04,27.85791131651105,214866.29166666663,276.85,12:30
1245,no04,28.91097811531125,213143.44944444444,309.1,12:45
1300,no04,28.684468561452725,219141.83222222223,275.2,13:00
1315,no04,28.89828492265593,207207.57944444445,240.7,13:15
1330,no04,28.35843947852061,204059.67222222223,262.4,13:30
1345,no04,28.49814904398077,186041.87166666667,209.6,13:45
1400,no04,28.39185082790137,204031.9233333333,310.75,14:00
1415,no04,28.39142519348572,216665.66777777777,224.45,14:15
1430,no04,29.03401383888086,211000.0077777778,288.2,14:30
1445,no04,28.684425601815096,211812.48611111112,355.55,14:45
1500,no04,27.07386072352532,224192.98277777777,259.9,15:00
1515,no04,26.806439978955098,227971.875,346.45,15:15
1530,no04,27.108287100918144,221272.14277777777,280.8,15:30
1545,no04,27.26346826505517,213972.81055555557,264.6,15:45
1600,no04,24.693662202241324,273002.82944444445,283.1,16:00
1615,no04,24.640443747300065,270387.9061111111,266.8,16:15
1630,no04,23.99183867388209,266799.6533333333,240.25,16:30
1645,no04,25.090059040605247,269788.3977777778,211.35,16:45
1700,no04,24.07535605753437,291841.32333333336,365.3,17:00
1715,no04,26.5393593444016,272812.01444444444,295.9,17:15
1730,no04,26.603400607903254,254810.88888888888,286.25,17:30
1745,no04,25.379921608105885,276685.53222222225,265.05,17:45
1800,no04,25.233130402033723,280056.12944444444,330.9,18:00
1815,no04,26.144136104797514,253224.24222222224,294.5,18:15
1830,no04,27.312505578840245,221446.76277777777,239.1,18:30
700,no05,26.81696194095544,208618.64222222223,275.45,07:00
715,no05,26.25601453109664,253837.2455555556,352.15,07:15
730,no05,24.53098223893112,292633.84055555554,323.75,07:30
745,no05,24.797137191224763,284216.0805555556,418.75,07:45
800,no05,23.56761578703766,323376.4016666667,460.2,08:00
815,no05,24.390885892988717,319076.11388888885,427.6,08:15
830,no05,24.21867682120629,327241.79833333334,396.7,08:30
845,no05,24.407806928891127,306706.30000000005,305.25,08:45
900,no05,25.81878494578748,265180.70722222223,409.65,09:00
915,no05,27.02201327142033,227373.61277777777,232.35,09:15
930,no05,26.62767509432472,243477.9894444444,344.75,09:30
945,no05,27.768178279977,226664.83222222223,222.55,09:45
1000,no05,25.567997821590406,258565.81777777776,312.3,10:00
1015,no05,24.70723068253396,254456.5194444444,201.25,10:15
1030,no05,27.684676122628648,215703.94222222225,320.15,10:30
1045,no05,28.87902286362269,203961.45722222223,294.2,10:45
1100,no05,27.35956527180744,228507.76666666663,205.7,11:00
1115,no05,26.791142007395678,239538.42388888888,226.4,11:15
1130,no05,27.90512201202313,210360.05,247.2,11:30
1145,no05,28.42769684828823,214483.1305555556,249.25,11:45
1200,no05,27.867107685265363,221793.98611111112,224.65,12:00
