scenario,link_id,slot_code,HHMM,V_base,V_scen,V_diff
no04,533967_00280_11490_0,630,06:30,52.234724456509454,52.21858683319713,-0.016137623312324934
no04,533967_00280_11490_0,645,06:45,52.53664043512322,52.52684557985265,-0.009794855270570224
no04,533967_00280_11490_0,700,07:00,52.27631852283254,52.26658843424053,-0.009730088592007746
no04,533967_00280_11490_0,715,07:15,52.36759490560877,52.35432449248979,-0.01327041311898114
no04,533967_00280_11490_0,730,07:30,52.510604711046525,52.546548886569965,0.03594417552343998
no04,533967_00280_11490_0,745,07:45,52.36115628546777,52.32850616318505,-0.03265012228272468
no04,533967_00280_11490_0,800,08:00,52.29283599987849,52.26023902512857,-0.032596974749921515
no04,533967_00280_11490_0,815,08:15,52.393236998914105,52.41629495215577,0.023057953241668372
no04,533967_00280_11490_0,830,08:30,52.32080598261422,52.24875245218984,-0.07205353042437679
no04,533967_00280_11490_0,845,08:45,51.565411374875126,51.68868856234932,0.12327718747419425
no04,533967_00280_11490_0,900,09:00,52.36190991837883,52.33904270804419,-0.022867210334638344
no04,533967_00280_11490_0,915,09:15,52.09553942580931,52.169974593573045,0.07443516776373826
no04,533967_00280_11490_0,930,09:30,51.782901851009,51.64503453168926,-0.1378673193197386
no04,533967_00280_11490_0,945,09:45,52.33500825933256,52.23934670631125,-0.09566155302130852
no04,533967_00280_11490_0,1000,10:00,52.364238814357485,52.234461385388975,-0.1297774289685094
no04,533967_00280_11490_0,1015,10:15,52.290159819421135,52.234227688847454,-0.05593213057368018
no04,533967_00280_11490_0,1030,10:30,52.42943089455429,52.37390569060821,-0.05552520394607541
no04,533967_00280_11490_0,1045,10:45,52.33608880552534,52.28309616147142,-0.05299264405392279
no04,533967_00280_11490_0,1100,11:00,52.3221230033648,52.315788305452486,-0.006334697912315335
no04,533967_00280_11490_0,1115,11:15,52.45204585102825,52.3940257683637,-0.05802008266455516
no04,533967_00280_11490_0,1130,11:30,52.43244850213912,52.3999005905798,-0.03254791155931969
no04,533967_00280_11490_0,1145,11:45,52.45525712777421,52.40335295918969,-0.05190416858452096
no04,533967_00280_11490_0,1200,12:00,52.51731920893462,52.51063727471789,-0.006681934216736352
no04,533967_00280_11490_0,1215,12:15,52.49099061732468,52.47814648704285,-0.012844130281827404
no04,533967_00280_11490_0,1230,12:30,52.38361149008063,52.35450792118081,-0.029103568899820687
no04,533967_00280_11490_0,1245,12:45,52.45832245723436,52.46814139695948,0.009818939725121822
no04,533967_00280_11490_0,1300,13:00,52.43567412957125,52.429261425191655,-0.006412704379592071
no04,533967_00280_11490_0,1315,13:15,52.28672261077579,52.25071932120724,-0.036003289568547814
no04,533967_00280_11490_0,1330,13:30,52.25828603750987,52.29013661346562,0.031850575955751026
no04,533967_00280_11490_0,1345,13:45,52.419552465721736,52.35137607230125,-0.06817639342048665
no04,533967_00280_11490_0,1400,14:00,52.36114017245494,52.30661037216104,-0.0545298002938992
no04,533967_00280_11490_0,1415,14:15,52.34205734542593,52.412987422308255,0.07093007688232689
no04,533967_00280_11490_0,1430,14:30,52.44204812629094,52.37738090496241,-0.0646672213285342
no04,533967_00280_11490_0,1445,14:45,52.32632384369613,52.35115257687957,0.024828733183440477
no04,533967_00280_11490_0,1500,15:00,52.5367380377372,52.54668735557432,0.009949317837119054
no04,533967_00280_11490_0,1515,15:15,52.33165992890842,52.28320067237737,-0.04845925653105354
