scenario,link_id,slot_code,HHMM,TTT_base,TTT_scen,TTT_diff
no02,533967_00280_11490_0,630,06:30,1127.621,1127.621,0.0
no02,533967_00280_11490_0,645,06:45,940.0355,940.0355,0.0
no02,533967_00280_11490_0,700,07:00,1012.581,1012.581,0.0
no02,533967_00280_11490_0,715,07:15,1090.9245,1092.2,1.2754999999999654
no02,533967_00280_11490_0,730,07:30,969.839,966.64,-3.199000000000069
no02,533967_00280_11490_0,745,07:45,1244.181,1246.8125,2.63149999999996
no02,533967_00280_11490_0,800,08:00,973.8745,976.595,2.7205000000000155
no02,533967_00280_11490_0,815,08:15,1148.3635,1146.161,-2.2024999999998727
no02,533967_00280_11490_0,830,08:30,1074.2515,1074.3005,0.04899999999997817
no02,533967_00280_11490_0,845,08:45,1302.2365,1295.2095,-7.027000000000044
no02,533967_00280_11490_0,900,09:00,819.174,818.9555,-0.21849999999994907
no02,533967_00280_11490_0,915,09:15,1066.9435,1068.4924999999998,1.5489999999997508
no02,533967_00280_11490_0,930,09:30,1253.9555,1254.0635,0.10799999999994725
no02,533967_00280_11490_0,945,09:45,898.9055000000001,894.5780000000001,-4.327499999999986
no02,533967_00280_11490_0,1000,10:00,754.9905,760.407,5.416500000000042
no02,533967_00280_11490_0,1015,10:15,735.5135,734.387,-1.1265000000000782
no02,533967_00280_11490_0,1030,10:30,731.9285,731.8335,-0.09500000000002728
no02,533967_00280_11490_0,1045,10:45,783.6195,786.693,3.0734999999999673
no02,533967_00280_11490_0,1100,11:00,853.9675,857.199,3.2314999999999827
no02,533967_00280_11490_0,1115,11:15,849.458,846.3605,-3.097499999999968
no02,533967_00280_11490_0,1130,11:30,893.6360000000001,896.1985000000001,2.5625
no02,533967_00280_11490_0,1145,11:45,813.6115,810.5939999999999,-3.017500000000041
no02,533967_00280_11490_0,1200,12:00,733.121,737.232,4.11099999999999
no02,533967_00280_11490_0,1215,12:15,797.3575,796.2795,-1.0779999999999745
no02,533967_00280_11490_0,1230,12:30,889.6015,890.3525,0.7509999999999764
no02,533967_00280_11490_0,1245,12:45,865.025,865.615,0.5900000000000318
no02,533967_00280_11490_0,1300,13:00,948.2865,946.991,-1.295500000000061
no02,533967_00280_11490_0,1315,13:15,873.5440000000001,871.7075000000001,-1.836500000000001
no02,533967_00280_11490_0,1330,13:30,963.2245,965.8735,2.649000000000001
no02,533967_00280_11490_0,1345,13:45,870.106,869.5795,-0.5264999999999418
no02,533967_00280_11490_0,1400,14:00,1037.4625,1035.5015,-1.9610000000000127
no02,533967_00280_11490_0,1415,14:15,1213.201,1216.7125,3.511500000000069
no02,533967_00280_11490_0,1430,14:30,778.4219999999999,779.337,0.9150000000000773
no02,533967_00280_11490_0,1445,14:45,926.123,923.4915,-2.6315000000000737
no02,533967_00280_11490_0,1500,15:00,677.4404999999999,682.4765,5.036000000000058
no02,533967_00280_11490_0,1515,15:15,928.7965,923.8985,-4.898000000000025
no02,533967_00280_11490_0,1530,15:30,903.33,907.2165,3.8864999999999554
no02,533967_00280_11490_0,1545,15:45,794.3435,788.9694999999999,-5.374000000000024
no02,533967_00280_11490_0,1600,16:00,815.962,817.9649999999999,2.002999999999929
no02,533967_00280_11490_0,1615,16:15,852.741,844.3059999999999,-8.43500000000006
no02,533967_00280_11490_0,1630,16:30,571.6175000000001,578.986,7.368499999999926
no02,533967_00280_11490_0,1645,16:45,898.6545,899.2180000000001,0.56350000000009
no02,533967_00280_11490_0,1700,17:00,705.4395000000001,702.6265,-2.813000000000102
no02,533967_00280_11490_0,1715,17:15,944.119,951.0225,6.903500000000008
no02,533967_00280_11490_0,1730,17:30,831.6469999999999,832.8515,1.2045000000000528
no02,533967_00280_11490_0,1745,17:45,902.273,896.375,-5.898000000000025
no02,533967_00280_11490_0,1800,18:00,589.002,591.28,2.27800000000002
no02,533967_00280_11490_0,1815,18:15,747.6205,747.08,-0.5404999999999518
