scenario,subset,representative_run,dist,V_net,TTT,dist_kmveh
no01,all,Case1_no01_r06_volspd.csv,0.17152255878948072,26.892237986536674,11857974.150000002,88579.8508
no01,target,Case1_no01_r11_volspd.csv,0.3020202298417485,25.81008619619137,1830728.22,13125.3481
no01,non_target,Case1_no01_r12_volspd.csv,0.3125850927315962,27.0790101118628,10030987.57,75452.55940000001
no02,all,Case1_no02_r18_volspd.csv,0.2222700316488773,26.947985898244383,11832455.8,88572.4589
no02,target,Case1_no02_r06_volspd.csv,0.16735485750910128,26.003503009266787,1807126.25,13053.2258
no02,non_target,Case1_no02_r01_volspd.csv,0.08044957151995548,27.14073252010455,10016382.56,75514.43330000002
no03,all,Case1_no03_r16_volspd.csv,0.3427279497731411,26.47300462855197,12041351.259999998,88547.4299
no03,target,Case1_no03_r13_volspd.csv,0.1940624049239291,24.71665755672953,1908977.68,13106.541
no03,non_target,Case1_no03_r09_volspd.csv,0.7067011680946949,26.810055099659007,10137572.72,75496.912
no04,all,Case1_no04_r13_volspd.csv,0.20688305502140747,26.56112236614056,12005111.98,88574.7912
no04,target,Case1_no04_r06_volspd.csv,0.673929822664532,24.986896419846328,1882934.26,13069.0787
no04,non_target,Case1_no04_r15_volspd.csv,0.3489645516372096,26.87101475767333,10123439.29,75563.0796
no05,all,Case1_no05_r11_volspd.csv,0.26544022033897396,26.34828224172108,12102357.04,88576.75530000002
no05,target,Case1_no05_r11_volspd.csv,0.5572531626038882,24.24435950765984,1935209.17,13032.7519
no05,non_target,Case1_no05_r18_volspd.csv,0.2624876220435042,26.807689508143252,10143941.4,75537.67540000001
no06,all,Case1_no06_r20_volspd.csv,0.29688134571312513,26.36093715438357,12098265.77,88589.3399
no06,target,Case1_no06_r20_volspd.csv,0.16372259094966224,24.296040315071394,1920673.27,12962.432
no06,non_target,Case1_no06_r20_volspd.csv,0.4446853488458532,26.75061596738129,10177592.5,75626.9079
no07,all,Case1_no07_r18_volspd.csv,0.18828069640123152,25.984698842321333,12275656.78,88605.3457
no07,target,Case1_no07_r04_volspd.csv,0.4505249636683594,22.4063640626866,2068065.11,12871.6166
no07,non_target,Case1_no07_r11_volspd.csv,0.3772735075781363,26.67384233243939,10223605.12,75750.78640000001
no08,all,Case1_no08_r04_volspd.csv,0.27115105560335634,26.06774965955636,12237113.89,88609.45039999999
no08,target,Case1_no08_r06_volspd.csv,0.5517936012016714,22.88504972041462,2022766.72,12858.6436
no08,non_target,Case1_no08_r01_volspd.csv,0.5124162516501303,26.772366330419423,10181132.23,75714.7227
