slot_code,HHMM,bus,nonbus,run
0700,07:00,276,8661,rand01
0700,07:00,277,8603,rand02
0700,07:00,269,8631,rand03
0700,07:00,279,8755,rand04
0700,07:00,266,8701,rand05
0700,07:00,271,8692,rand06
0700,07:00,278,8614,rand07
0700,07:00,288,8837,rand08
0700,07:00,282,8568,rand09
0700,07:00,273,8498,rand10
0700,07:00,272,8333,rand11
0700,07:00,286,8635,rand12
0700,07:00,271,8717,rand13
0700,07:00,303,8427,rand14
0700,07:00,256,8641,rand15
0700,07:00,248,8892,rand16
0700,07:00,271,8545,rand17
0700,07:00,284,8473,rand18
0700,07:00,288,8726,rand19
0700,07:00,271,8833,rand20
0715,07:15,348,10226,rand01
0715,07:15,367,10309,rand02
0715,07:15,360,10409,rand03
0715,07:15,391,10154,rand04
0715,07:15,354,10244,rand05
0715,07:15,350,10018,rand06
0715,07:15,342,10108,rand07
0715,07:15,347,10261,rand08
0715,07:15,384,10333,rand09
0715,07:15,361,10107,rand10
0715,07:15,306,10104,rand11
0715,07:15,320,10398,rand12
0715,07:15,323,10372,rand13
0715,07:15,343,10140,rand14
0715,07:15,356,10079,rand15
0715,07:15,363,10411,rand16
0715,07:15,367,10108,rand17
0715,07:15,331,10163,rand18
0715,07:15,385,10186,rand19
0715,07:15,345,10180,rand20
0730,07:30,329,11073,rand01
0730,07:30,312,11110,rand02
0730,07:30,315,10885,rand03
0730,07:30,299,10956,rand04
0730,07:30,331,11178,rand05
0730,07:30,317,11047,rand06
0730,07:30,325,10872,rand07
0730,07:30,343,11189,rand08
0730,07:30,284,11050,rand09
0730,07:30,325,11049,rand10
0730,07:30,369,11091,rand11
0730,07:30,352,10998,rand12
0730,07:30,320,10781,rand13
0730,07:30,322,11277,rand14
0730,07:30,296,11072,rand15
0730,07:30,305,11046,rand16
0730,07:30,349,11096,rand17
0730,07:30,338,10928,rand18
0730,07:30,319,11108,rand19
0730,07:30,325,11118,rand20
0745,07:45,426,10964,rand01
0745,07:45,428,11069,rand02
0745,07:45,430,11173,rand03
0745,07:45,430,11049,rand04
0745,07:45,422,11213,rand05
0745,07:45,391,11529,rand06
0745,07:45,427,11218,rand07
0745,07:45,424,10983,rand08
0745,07:45,405,11473,rand09
0745,07:45,385,11223,rand10
0745,07:45,410,11457,rand11
0745,07:45,450,11290,rand12
0745,07:45,411,11295,rand13
0745,07:45,397,11151,rand14
0745,07:45,477,11396,rand15
0745,07:45,443,11229,rand16
0745,07:45,395,11325,rand17
0745,07:45,423,11393,rand18
0745,07:45,412,11329,rand19
0745,07:45,389,11316,rand20
0800,08:00,442,11982,rand01
0800,08:00,423,12156,rand02
0800,08:00,411,11955,rand03
0800,08:00,469,11933,rand04
0800,08:00,454,11882,rand05
0800,08:00,483,11731,rand06
0800,08:00,455,11920,rand07
0800,08:00,366,11950,rand08
0800,08:00,507,11808,rand09
0800,08:00,532,12032,rand10
0800,08:00,465,11615,rand11
0800,08:00,445,11685,rand12
0800,08:00,501,11822,rand13
0800,08:00,532,12084,rand14
0800,08:00,423,11753,rand15
0800,08:00,459,11719,rand16
0800,08:00,457,11788,rand17
0800,08:00,431,11931,rand18
0800,08:00,450,11682,rand19
0800,08:00,499,11878,rand20
0815,08:15,441,11624,rand01
0815,08:15,445,11637,rand02
0815,08:15,452,11793,rand03
0815,08:15,417,11703,rand04
0815,08:15,395,11630,rand05
0815,08:15,417,11715,rand06
0815,08:15,425,11676,rand07
0815,08:15,499,11702,rand08
0815,08:15,378,11814,rand09
0815,08:15,410,11542,rand10
0815,08:15,435,11865,rand11
0815,08:15,427,11692,rand12
0815,08:15,419,11743,rand13
0815,08:15,341,11647,rand14
0815,08:15,434,11605,rand15
0815,08:15,427,11689,rand16
0815,08:15,451,11823,rand17
0815,08:15,466,11762,rand18
0815,08:15,410,11863,rand19
0815,08:15,463,11805,rand20
0830,08:30,369,12509,rand01
0830,08:30,416,12494,rand02
0830,08:30,395,12275,rand03
0830,08:30,369,12434,rand04
0830,08:30,452,12643,rand05
