scenario,subset,timestr,slot_code,V_net_mean,TTT_mean,flow_kmveh_mean
no02,non_target,2022/10/18 07:00:00,0700,28.87733983224411,167688.58444444445,1345.0029888888887
no02,non_target,2022/10/18 07:15:00,0715,28.711320834836126,195920.7366666667,1562.3990166666667
no02,non_target,2022/10/18 07:30:00,0730,28.070803051430563,212725.0311111111,1658.3992222222223
no02,non_target,2022/10/18 07:45:00,0745,26.490827346973337,226316.59777777776,1664.4717444444443
no02,non_target,2022/10/18 08:00:00,0800,24.752214993087282,267808.8288888889,1839.9032333333332
no02,non_target,2022/10/18 08:15:00,0815,26.107825773861336,251014.4961111111,1819.3556333333333
no02,non_target,2022/10/18 08:30:00,0830,24.701138299191044,273401.4438888889,1875.214838888889
no02,non_target,2022/10/18 08:45:00,0845,25.707026268551406,245543.27722222224,1752.2438055555556
no02,non_target,2022/10/18 09:00:00,0900,28.050512745891023,204123.93722222222,1590.0662277777778
no02,non_target,2022/10/18 09:15:00,0915,27.303260352008287,189988.67833333334,1440.3514944444444
no02,non_target,2022/10/18 09:30:00,0930,26.84919997876518,204831.60777777777,1526.6161777777777
no02,non_target,2022/10/18 09:45:00,0945,29.024417350066066,179678.6372222222,1448.577388888889
no02,non_target,2022/10/18 10:00:00,1000,28.258105473583687,195987.88222222222,1537.9410055555554
no02,non_target,2022/10/18 10:15:00,1015,27.620202544969928,190716.96944444446,1460.9205222222222
no02,non_target,2022/10/18 10:30:00,1030,28.51076153836722,179078.16777777777,1418.0671333333332
no02,non_target,2022/10/18 10:45:00,1045,29.00399961788161,171728.9411111111,1383.4089222222221
no02,non_target,2022/10/18 11:00:00,1100,27.961641362077085,188467.72555555555,1463.6830333333335
no02,non_target,2022/10/18 11:15:00,1115,27.357376718433386,201675.71333333332,1532.3802888888888
no02,non_target,2022/10/18 11:30:00,1130,27.978883166108,181893.35944444442,1413.322661111111
no02,non_target,2022/10/18 11:45:00,1145,28.27086361947818,181112.11111111112,1422.1410777777778
no02,non_target,2022/10/18 12:00:00,1200,28.08024754980352,189557.20333333334,1478.1940222222222
no02,non_target,2022/10/18 12:15:00,1215,27.842563414141793,202428.13944444444,1565.1648722222224
no02,non_target,2022/10/18 12:30:00,1230,27.855814439711523,186652.67666666667,1443.935788888889
no02,non_target,2022/10/18 12:45:00,1245,28.901245336055524,182879.8072222222,1467.9802777777777
no02,non_target,2022/10/18 13:00:00,1300,28.494956425502803,190136.49333333332,1504.8195777777778
no02,non_target,2022/10/18 13:15:00,1315,28.639816598431,177289.89666666667,1410.2556555555557
no02,non_target,2022/10/18 13:30:00,1330,28.456218067784764,177136.2838888889,1399.9979444444443
no02,non_target,2022/10/18 13:45:00,1345,28.035870584868356,158317.5661111111,1232.8874055555557
no02,non_target,2022/10/18 14:00:00,1400,28.334131007921567,174362.505,1372.2136333333335
no02,non_target,2022/10/18 14:15:00,1415,28.160468365002984,187549.66444444444,1466.6297111111112
no02,non_target,2022/10/18 14:30:00,1430,29.11974020197645,178233.96722222224,1441.59095
no02,non_target,2022/10/18 14:45:00,1445,28.60026169872225,181517.44555555555,1441.8875944444444
no02,non_target,2022/10/18 15:00:00,1500,26.769600349891064,191030.2061111111,1419.8528277777777
no02,non_target,2022/10/18 15:15:00,1515,27.458650857124695,188509.95,1436.8198833333333
no02,non_target,2022/10/18 15:30:00,1530,27.04062630778138,189428.81166666665,1422.3461222222222
no02,non_target,2022/10/18 15:45:00,1545,27.342598414906902,179668.25277777776,1364.1211388888887
no02,non_target,2022/10/18 16:00:00,1600,24.3032287515622,239214.30333333334,1614.7429666666667
no02,non_target,2022/10/18 16:15:00,1615,24.430160440081465,233164.78666666668,1581.8669
no02,non_target,2022/10/18 16:30:00,1630,23.608426523184036,234115.66444444444,1534.4979277777777
no02,non_target,2022/10/18 16:45:00,1645,24.586962147402325,239325.2627777778,1634.1943444444446
no02,non_target,2022/10/18 17:00:00,1700,23.59864803375855,253927.89944444445,1661.630677777778
no02,non_target,2022/10/18 17:15:00,1715,27.187091942064413,224962.9188888889,1697.6988277777778
no02,non_target,2022/10/18 17:30:00,1730,26.416155614069723,218087.575,1599.7067944444445
no02,non_target,2022/10/18 17:45:00,1745,25.628623586204426,235855.6811111111,1677.5036722222221
no02,non_target,2022/10/18 18:00:00,1800,25.80152302977028,233550.345,1671.5379888888888
no02,non_target,2022/10/18 18:15:00,1815,27.298932882732444,208647.53722222222,1581.0399666666667
no02,non_target,2022/10/18 18:30:00,1830,28.315413186245383,183031.64388888888,1439.2813555555556
