scenario,subset,timestr,slot_code,V_net_mean,TTT_mean,flow_kmveh_mean
no02,target,2022/10/18 07:00:00,0700,22.996337156677836,33360.014444444445,211.78166666666667
no02,target,2022/10/18 07:15:00,0715,22.89936121857373,46322.56111111111,293.3509
no02,target,2022/10/18 07:30:00,0730,18.718875781239184,64304.77055555556,332.49274444444444
no02,target,2022/10/18 07:45:00,0745,24.7419030978271,41375.070555555554,283.17004444444444
no02,target,2022/10/18 08:00:00,0800,25.126665031745407,43232.30777777778,300.6709833333333
no02,target,2022/10/18 08:15:00,0815,20.993456397447332,56808.65388888889,327.4740611111111
no02,target,2022/10/18 08:30:00,0830,25.760548235044492,45583.02722222222,325.6191611111111
no02,target,2022/10/18 08:45:00,0845,23.40586324476818,49864.776666666665,322.76145
no02,target,2022/10/18 09:00:00,0900,21.307823606681122,53077.262777777774,312.3155611111111
no02,target,2022/10/18 09:15:00,0915,26.918911753657586,33033.25166666667,246.5002777777778
no02,target,2022/10/18 09:30:00,0930,29.118914638333372,34855.988333333335,281.57481666666666
no02,target,2022/10/18 09:45:00,0945,25.013751514340143,42298.955555555556,292.84903333333335
no02,target,2022/10/18 10:00:00,1000,19.426148815993923,57542.23,308.7039666666667
no02,target,2022/10/18 10:15:00,1015,19.914918089376968,49876.88166666667,272.1143888888889
no02,target,2022/10/18 10:30:00,1030,28.042677150822644,31061.10222222222,241.26857777777775
no02,target,2022/10/18 10:45:00,1045,30.263046019208407,29571.058888888892,248.46596111111114
no02,target,2022/10/18 11:00:00,1100,26.054123839130813,37246.07166666667,269.5009944444444
no02,target,2022/10/18 11:15:00,1115,27.20408417494914,34172.46,256.9160111111111
no02,target,2022/10/18 11:30:00,1130,29.557010600081227,26635.926666666666,218.60735555555556
no02,target,2022/10/18 11:45:00,1145,30.550685197171877,31934.289999999997,270.7381666666667
no02,target,2022/10/18 12:00:00,1200,28.131867541025603,29832.657777777775,232.85807222222218
no02,target,2022/10/18 12:15:00,1215,31.31603881436213,26614.65388888889,231.49002222222225
no02,target,2022/10/18 12:30:00,1230,29.014889586795725,27282.318333333333,219.84774444444443
no02,target,2022/10/18 12:45:00,1245,30.13138178226323,28837.490555555556,241.21393888888892
no02,target,2022/10/18 13:00:00,1300,31.25869060559339,27881.856666666667,241.7522611111111
no02,target,2022/10/18 13:15:00,1315,31.474681223457026,28789.72388888889,251.66357222222223
no02,target,2022/10/18 13:30:00,1330,28.556224658864046,26433.01111111111,209.61118333333332
no02,target,2022/10/18 13:45:00,1345,32.010698911823376,27279.268888888888,242.53259444444444
no02,target,2022/10/18 14:00:00,1400,29.797071301372082,28499.020555555555,235.74823333333336
no02,target,2022/10/18 14:15:00,1415,30.85701618998985,28025.539444444443,240.13244444444445
no02,target,2022/10/18 14:30:00,1430,29.30290554795384,32152.770555555555,261.4351833333333
no02,target,2022/10/18 14:45:00,1445,30.994355090864133,28879.62,248.48737222222223
no02,target,2022/10/18 15:00:00,1500,30.000620745585366,31756.275555555552,264.3114
no02,target,2022/10/18 15:15:00,1515,25.52128312906683,37314.801666666666,263.3913111111111
no02,target,2022/10/18 15:30:00,1530,28.548137661959043,30782.210555555557,243.89790555555555
no02,target,2022/10/18 15:45:00,1545,28.45659968283359,31455.213888888888,248.4860666666667
no02,target,2022/10/18 16:00:00,1600,29.061311829936496,32173.10055555556,259.4195833333333
no02,target,2022/10/18 16:15:00,1615,28.099721611855138,34586.02333333333,268.55153333333334
no02,target,2022/10/18 16:30:00,1630,28.582202726226626,29579.890555555558,234.58783333333335
no02,target,2022/10/18 16:45:00,1645,29.20517626297688,30029.030555555557,243.5202
no02,target,2022/10/18 17:00:00,1700,28.14573166306024,37310.226111111115,291.5298
no02,target,2022/10/18 17:15:00,1715,25.505327618536036,44100.678888888884,311.2791722222222
no02,target,2022/10/18 17:30:00,1730,29.655802745132195,34549.23777777778,284.4414555555556
no02,target,2022/10/18 17:45:00,1745,28.006942420912498,35892.66333333333,278.61296111111113
no02,target,2022/10/18 18:00:00,1800,26.772372802712432,40039.56611111111,297.3027888888889
no02,target,2022/10/18 18:15:00,1815,27.2666851087899,34674.84888888889,261.8622888888889
no02,target,2022/10/18 18:30:00,1830,25.573850170929745,31441.203888888893,222.13619444444444
