scenario,subset,timestr,slot_code,V_net_mean,TTT_mean,flow_kmveh_mean
no06,all,2022/10/18 07:00:00,0700,26.82243752539207,208565.4188888889,1553.6407555555554
no06,all,2022/10/18 07:15:00,0715,26.34295777775193,252991.15611111114,1850.5917888888887
no06,all,2022/10/18 07:30:00,0730,24.74211679970192,290587.7216666667,1996.5924944444446
no06,all,2022/10/18 07:45:00,0745,24.971589039105325,281670.2683333333,1952.7284833333333
no06,all,2022/10/18 08:00:00,0800,23.765405849795354,321957.4194444444,2123.416872222222
no06,all,2022/10/18 08:15:00,0815,24.510355600625424,317541.90722222225,2160.3301055555553
no06,all,2022/10/18 08:30:00,0830,24.31789747622695,325345.0805555556,2197.1370055555553
no06,all,2022/10/18 08:45:00,0845,24.405097961928014,307043.2111111111,2079.8625333333334
no06,all,2022/10/18 09:00:00,0900,25.920358660527008,264589.1883333333,1904.0636166666668
no06,all,2022/10/18 09:15:00,0915,26.759149507618808,228096.94833333333,1694.0047277777778
no06,all,2022/10/18 09:30:00,0930,26.657101611784288,243810.16666666666,1804.0551555555555
no06,all,2022/10/18 09:45:00,0945,27.927130572223557,225390.46277777778,1747.9460277777778
no06,all,2022/10/18 10:00:00,1000,25.439808450119468,260055.13222222222,1836.9012055555556
no06,all,2022/10/18 10:15:00,1015,24.833514026533663,253306.13,1742.7195833333333
no06,all,2022/10/18 10:30:00,1030,27.807083396510038,214990.1911111111,1658.991961111111
no06,all,2022/10/18 10:45:00,1045,28.824903466813794,204409.27833333335,1636.4856388888888
no06,all,2022/10/18 11:00:00,1100,27.284358503558057,229382.9261111111,1738.1856722222224
no06,all,2022/10/18 11:15:00,1115,26.94458364466196,238875.4611111111,1787.2775444444444
no06,all,2022/10/18 11:30:00,1130,27.91674975586656,210623.54611111112,1632.9528833333334
no06,all,2022/10/18 11:45:00,1145,28.339344334443776,215086.23777777777,1692.7482277777779
no06,all,2022/10/18 12:00:00,1200,27.87068888974856,221057.40777777776,1711.1786111111112
no06,all,2022/10/18 12:15:00,1215,28.039838999976237,230648.56666666668,1796.2374166666666
no06,all,2022/10/18 12:30:00,1230,27.78303571925331,215732.46333333332,1664.6900166666667
no06,all,2022/10/18 12:45:00,1245,28.837705659468295,214014.03055555554,1714.041538888889
no06,all,2022/10/18 13:00:00,1300,28.62615842230961,219207.3211111111,1742.8878611111113
no06,all,2022/10/18 13:15:00,1315,28.717376051720766,208472.68777777778,1662.774572222222
no06,all,2022/10/18 13:30:00,1330,28.268778454705252,205489.85055555555,1613.3773055555555
no06,all,2022/10/18 13:45:00,1345,28.424540944167052,186499.49,1472.4289722222222
no06,all,2022/10/18 14:00:00,1400,28.249702198527178,204783.6038888889,1606.7014833333333
no06,all,2022/10/18 14:15:00,1415,28.36761129749199,216986.90777777776,1709.3477444444443
no06,all,2022/10/18 14:30:00,1430,28.89923251569299,211827.7772222222,1700.2226555555555
no06,all,2022/10/18 14:45:00,1445,28.49108436065414,213594.01833333334,1690.206088888889
no06,all,2022/10/18 15:00:00,1500,26.991234941223006,224944.92333333334,1685.919838888889
no06,all,2022/10/18 15:15:00,1515,26.73445129335073,228997.39111111112,1700.258561111111
no06,all,2022/10/18 15:30:00,1530,27.00822639151732,221876.03055555554,1664.1887722222223
no06,all,2022/10/18 15:45:00,1545,27.232352323701797,214089.135,1618.8461555555557
no06,all,2022/10/18 16:00:00,1600,24.537644547772402,274431.75666666665,1870.3042222222223
no06,all,2022/10/18 16:15:00,1615,24.460481043739826,271913.4983333333,1847.0949722222222
no06,all,2022/10/18 16:30:00,1630,23.610257453507774,270793.0238888889,1773.2331166666668
no06,all,2022/10/18 16:45:00,1645,24.871615266187334,273248.3483333333,1886.6673944444447
no06,all,2022/10/18 17:00:00,1700,23.79212522320969,294386.3255555556,1944.5698055555558
no06,all,2022/10/18 17:15:00,1715,26.229465046622177,275826.41833333333,2008.4455166666667
no06,all,2022/10/18 17:30:00,1730,26.28101450594489,258128.74833333332,1883.769361111111
no06,all,2022/10/18 17:45:00,1745,25.034322287155014,280578.3538888889,1949.6912555555557
no06,all,2022/10/18 18:00:00,1800,24.97234531317163,282361.9927777778,1956.8744166666668
no06,all,2022/10/18 18:15:00,1815,25.487477515756723,259304.74888888886,1832.7978666666668
no06,all,2022/10/18 18:30:00,1830,27.05268761161527,225918.7438888889,1695.929561111111
