scenario,timestr,slot_code,HHMM,V_net_rel,TTT_rel,flow_rel,V_net_mean,TTT_mean,flow_kmveh_mean
no01,2022/10/18 07:00:00,700,07:00,1.0,1.0,1.0,27.855850925268168,201132.72666666668,1556.1013277777777
no01,2022/10/18 07:15:00,715,07:15,1.0,1.0,1.0,27.505986497871923,243434.40777777776,1859.753944444444
no01,2022/10/18 07:30:00,730,07:30,1.0,1.0,1.0,25.79846702570064,277503.30666666664,1987.063861111111
no01,2022/10/18 07:45:00,745,07:45,1.0,1.0,1.0,26.17354282788961,269485.9422222222,1957.868705555556
no01,2022/10/18 08:00:00,800,08:00,1.0,1.0,1.0,24.70265442104959,309974.82,2125.811805555556
no01,2022/10/18 08:15:00,815,08:15,1.0,1.0,1.0,24.977748620004,309681.6188888889,2145.9150444444444
no01,2022/10/18 08:30:00,830,08:30,1.0,1.0,1.0,24.67842039067982,321080.7077777778,2200.374688888889
no01,2022/10/18 08:45:00,845,08:45,1.0,1.0,1.0,24.97050284640985,299624.7911111111,2075.9295944444443
no01,2022/10/18 09:00:00,900,09:00,1.0,1.0,1.0,26.254262689641827,260908.42111111112,1901.67235
no01,2022/10/18 09:15:00,915,09:15,1.0,1.0,1.0,27.367964859287795,223658.22944444444,1699.1703777777775
no01,2022/10/18 09:30:00,930,09:30,1.0,1.0,1.0,27.00301820138098,240989.40222222224,1805.8384777777776
no01,2022/10/18 09:45:00,945,09:45,1.0,1.0,1.0,28.093512209960124,223416.9255555556,1743.2442888888888
no01,2022/10/18 10:00:00,1000,10:00,1.0,1.0,1.0,25.950113512465432,255278.71166666664,1837.4562722222224
no01,2022/10/18 10:15:00,1015,10:15,1.0,1.0,1.0,25.34661787469599,247477.97166666668,1738.6263277777778
no01,2022/10/18 10:30:00,1030,10:30,1.0,1.0,1.0,28.23726370186096,211796.6888888889,1660.51595
no01,2022/10/18 10:45:00,1045,10:45,1.0,1.0,1.0,29.09283768869172,201567.32166666663,1628.8723222222222
no01,2022/10/18 11:00:00,1100,11:00,1.0,1.0,1.0,27.61361855312462,226672.3005555556,1738.5062
no01,2022/10/18 11:15:00,1115,11:15,1.0,1.0,1.0,27.222976991880746,235464.63166666668,1779.980638888889
no01,2022/10/18 11:30:00,1130,11:30,1.0,1.0,1.0,28.18014869193845,208653.2861111111,1633.0259333333331
no01,2022/10/18 11:45:00,1145,11:45,1.0,1.0,1.0,28.63852440916409,212694.0861111111,1691.83
