scenario,timestr,slot_code,subset,V_net_mean,TTT_mean,flow_kmveh_mean
no01,2022/10/18 07:00:00,0700,all,27.855850925268168,201132.72666666668,1556.1013277777777
no01,2022/10/18 07:15:00,0715,all,27.505986497871923,243434.40777777776,1859.7539444444442
no01,2022/10/18 07:30:00,0730,all,25.79846702570064,277503.30666666664,1987.063861111111
no01,2022/10/18 07:45:00,0745,all,26.173542827889612,269485.9422222222,1957.8687055555556
no01,2022/10/18 08:00:00,0800,all,24.70265442104959,309974.82,2125.8118055555556
no01,2022/10/18 08:15:00,0815,all,24.977748620003997,309681.6188888889,2145.9150444444444
no01,2022/10/18 08:30:00,0830,all,24.67842039067982,321080.7077777778,2200.374688888889
no01,2022/10/18 08:45:00,0845,all,24.970502846409854,299624.7911111111,2075.9295944444443
no01,2022/10/18 09:00:00,0900,all,26.254262689641827,260908.42111111112,1901.6723499999998
no01,2022/10/18 09:15:00,0915,all,27.367964859287795,223658.22944444444,1699.1703777777777
no01,2022/10/18 09:30:00,0930,all,27.00301820138098,240989.40222222224,1805.8384777777778
no01,2022/10/18 09:45:00,0945,all,28.093512209960124,223416.92555555556,1743.2442888888888
no01,2022/10/18 10:00:00,1000,all,25.950113512465432,255278.71166666664,1837.4562722222222
no01,2022/10/18 10:15:00,1015,all,25.34661787469599,247477.97166666668,1738.6263277777778
no01,2022/10/18 10:30:00,1030,all,28.23726370186096,211796.6888888889,1660.51595
no01,2022/10/18 10:45:00,1045,all,29.092837688691716,201567.32166666666,1628.8723222222222
no01,2022/10/18 11:00:00,1100,all,27.61361855312462,226672.30055555556,1738.5062
no01,2022/10/18 11:15:00,1115,all,27.222976991880746,235464.63166666668,1779.980638888889
no01,2022/10/18 11:30:00,1130,all,28.180148691938452,208653.2861111111,1633.0259333333333
no01,2022/10/18 11:45:00,1145,all,28.638524409164095,212694.0861111111,1691.83
no01,2022/10/18 12:00:00,1200,all,28.07440061238719,220319.28722222222,1717.7164277777779
no01,2022/10/18 12:15:00,1215,all,28.288115469358043,227601.46666666667,1787.9833833333332
no01,2022/10/18 12:30:00,1230,all,27.905748301847268,214062.35166666668,1658.948388888889
no01,2022/10/18 12:45:00,1245,all,29.000756319168786,212063.78055555554,1708.1941444444444
no01,2022/10/18 13:00:00,1300,all,28.697030821857407,219378.44944444444,1748.3580277777776
no01,2022/10/18 13:15:00,1315,all,28.996183789881837,206297.11444444445,1661.1952333333331
no01,2022/10/18 13:30:00,1330,all,28.378929617475837,205034.58,1616.2433944444444
no01,2022/10/18 13:45:00,1345,all,28.554786503982395,185707.9388888889,1472.8596944444444
no01,2022/10/18 14:00:00,1400,all,28.52001691587185,202328.55611111113,1602.7898444444445
no01,2022/10/18 14:15:00,1415,all,28.380568711501244,216953.3361111111,1709.81955
no01,2022/10/18 14:30:00,1430,all,29.181456924030385,210190.28944444444,1703.6027833333333
no01,2022/10/18 14:45:00,1445,all,28.783204135178405,211295.64944444445,1689.0373833333333
no01,2022/10/18 15:00:00,1500,all,27.173736981178457,223507.81333333335,1686.3632555555555
no01,2022/10/18 15:15:00,1515,all,27.25168731150454,223517.97444444444,1691.8478166666666
no01,2022/10/18 15:30:00,1530,all,27.193775371700312,221596.89555555556,1673.5407
no01,2022/10/18 15:45:00,1545,all,27.60096607777783,209972.165,1609.6032222222223
no01,2022/10/18 16:00:00,1600,all,24.94111059646145,271476.4861111111,1880.4108444444444
no01,2022/10/18 16:15:00,1615,all,24.890542885225962,267988.2477777778,1852.160411111111
no01,2022/10/18 16:30:00,1630,all,24.103189476651647,262844.09222222224,1758.043222222222
no01,2022/10/18 16:45:00,1645,all,24.967872022131516,271119.0627777778,1878.3556777777776
no01,2022/10/18 17:00:00,1700,all,24.357571220273282,290905.8388888889,1966.1910944444446
no01,2022/10/18 17:15:00,1715,all,26.810648373248053,269711.62944444444,2008.3201055555555
no01,2022/10/18 17:30:00,1730,all,26.861695455520355,253054.9527777778,1887.0905888888888
no01,2022/10/18 17:45:00,1745,all,25.987211356772992,272704.0888888889,1966.1865777777775
no01,2022/10/18 18:00:00,1800,all,26.044828121741013,271035.43333333335,1959.6451333333332
no01,2022/10/18 18:15:00,1815,all,27.22194135496127,243093.8277777778,1837.0420833333333
no01,2022/10/18 18:30:00,1830,all,27.967746118828952,215287.72666666668,1671.671661111111
no02,2022/10/18 07:00:00,0700,all,27.880403066483808,201048.59888888887,1556.7846555555557
no02,2022/10/18 07:15:00,0715,all,27.584370449117873,242243.2977777778,1855.7499166666666
no02,2022/10/18 07:30:00,0730,all,25.883679294695874,277029.80166666664,1990.8919666666666
no02,2022/10/18 07:45:00,0745,all,26.206306505439844,267691.66833333333,1947.6417888888889
no02,2022/10/18 08:00:00,0800,all,24.791545160273174,311041.13666666666,2140.5742166666664
no02,2022/10/18 08:15:00,0815,all,25.13117481362123,307823.15,2146.8296944444446
no02,2022/10/18 08:30:00,0830,all,24.843391011205302,318984.4711111111,2200.8340000000003
no02,2022/10/18 08:45:00,0845,all,25.299700723025207,295408.05388888885,2075.0052555555553
no02,2022/10/18 09:00:00,0900,all,26.640933773249746,257201.19999999998,1902.3817888888889
no02,2022/10/18 09:15:00,0915,all,27.23722585810683,223021.93,1686.8517722222223
no02,2022/10/18 09:30:00,0930,all,27.17449666676006,239687.59611111114,1808.1909944444444
no02,2022/10/18 09:45:00,0945,all,28.247073430604804,221977.59277777778,1741.426422222222
no02,2022/10/18 10:00:00,1000,all,26.241178583755094,253530.11222222226,1846.6449722222221
no02,2022/10/18 10:15:00,1015,all,25.996290869265714,240593.85111111111,1733.034911111111
no02,2022/10/18 10:30:00,1030,all,28.43245979708357,210139.27,1659.335711111111
no02,2022/10/18 10:45:00,1045,all,29.186711232277553,201300.0,1631.8748833333332
no02,2022/10/18 11:00:00,1100,all,27.646081953910652,225713.79722222223,1733.1840277777778
no02,2022/10/18 11:15:00,1115,all,27.318353937366563,235848.17333333334,1789.2963
no02,2022/10/18 11:30:00,1130,all,28.17915192607419,208529.2861111111,1631.9300166666667
no02,2022/10/18 11:45:00,1145,all,28.607681048735216,213046.4011111111,1692.8792444444443
no02,2022/10/18 12:00:00,1200,all,28.08286662006712,219389.86111111112,1711.0520944444443
no02,2022/10/18 12:15:00,1215,all,28.24339775686942,229042.79333333333,1796.6548944444446
no02,2022/10/18 12:30:00,1230,all,28.002504584734893,213934.995,1663.7835333333335
no02,2022/10/18 12:45:00,1245,all,29.066071316320176,211717.29777777777,1709.1942166666668
no02,2022/10/18 13:00:00,1300,all,28.842905190660076,218018.34999999998,1746.5718388888888
no02,2022/10/18 13:15:00,1315,all,29.03427287009827,206079.62055555556,1661.9192277777777
no02,2022/10/18 13:30:00,1330,all,28.46754272167999,203569.295,1609.6091277777778
no02,2022/10/18 13:45:00,1345,all,28.62024106480537,185596.835,1475.42
no02,2022/10/18 14:00:00,1400,all,28.537294548331765,202861.52555555556,1607.9618666666668
no02,2022/10/18 14:15:00,1415,all,28.510373543747804,215575.20388888888,1706.7621555555554
no02,2022/10/18 14:30:00,1430,all,29.143819999512484,210386.7377777778,1703.0261333333333
no02,2022/10/18 14:45:00,1445,all,28.926227539894587,210397.06555555557,1690.3749666666668
no02,2022/10/18 15:00:00,1500,all,27.222885641772496,222786.48166666666,1684.1642277777778
no02,2022/10/18 15:15:00,1515,all,27.120593479270084,225824.75166666665,1700.2111944444446
no02,2022/10/18 15:30:00,1530,all,27.248006082079616,220211.0222222222,1666.2440277777778
no02,2022/10/18 15:45:00,1545,all,27.506695056677156,211123.46666666667,1612.6072055555555
no02,2022/10/18 16:00:00,1600,all,24.86372059961732,271387.4038888889,1874.16255
no02,2022/10/18 16:15:00,1615,all,24.886406478460977,267750.81,1850.4184333333333
no02,2022/10/18 16:30:00,1630,all,24.16297296339034,263695.555,1769.085761111111
no02,2022/10/18 16:45:00,1645,all,25.099814777068566,269354.29333333333,1877.7145444444443
no02,2022/10/18 17:00:00,1700,all,24.17438052306882,291238.12555555557,1953.1604777777777
no02,2022/10/18 17:15:00,1715,all,26.89463924787604,269063.59777777776,2008.978
no02,2022/10/18 17:30:00,1730,all,26.855980260699443,252636.81277777778,1884.14825
no02,2022/10/18 17:45:00,1745,all,25.935551903166182,271748.34444444446,1956.1166333333333
no02,2022/10/18 18:00:00,1800,all,25.928222520464463,273589.9111111111,1968.8407777777777
no02,2022/10/18 18:15:00,1815,all,27.283453871743085,243322.38611111112,1842.9022555555555
no02,2022/10/18 18:30:00,1830,all,27.896226405438508,214472.84777777776,1661.41755
no03,2022/10/18 07:00:00,0700,all,26.834518053050527,208589.95277777777,1554.6311944444444
no03,2022/10/18 07:15:00,0715,all,26.327075288282696,252966.79888888888,1849.3920555555555
no03,2022/10/18 07:30:00,0730,all,24.665147597424678,291441.5611111111,1996.009061111111
no03,2022/10/18 07:45:00,0745,all,24.90841985221944,282915.73333333334,1956.7605444444443
no03,2022/10/18 08:00:00,0800,all,23.737224696652756,321591.6122222222,2119.28875
no03,2022/10/18 08:15:00,0815,all,24.617496617417473,315768.4111111111,2157.0707444444442
no03,2022/10/18 08:30:00,0830,all,24.28112881403972,326427.87555555557,2201.2248611111113
no03,2022/10/18 08:45:00,0845,all,24.614051741357517,304323.33444444445,2078.917772222222
no03,2022/10/18 09:00:00,0900,all,25.925677655699896,264154.04666666663,1901.0958722222224
no03,2022/10/18 09:15:00,0915,all,27.10345005464464,226531.83833333332,1704.4185944444444
no03,2022/10/18 09:30:00,0930,all,26.653215961054507,243436.64666666664,1799.4257777777777
no03,2022/10/18 09:45:00,0945,all,27.879819314849055,225779.09722222222,1748.2683444444444
no03,2022/10/18 10:00:00,1000,all,25.916158941732746,255795.06555555554,1839.9440999999997
no03,2022/10/18 10:15:00,1015,all,25.10210048658824,249554.19444444444,1737.509361111111
no03,2022/10/18 10:30:00,1030,all,28.049200641211574,213442.34722222222,1662.707661111111
no03,2022/10/18 10:45:00,1045,all,28.96272733058447,202997.2888888889,1633.0738277777778
no03,2022/10/18 11:00:00,1100,all,27.48605068702642,227138.22388888887,1733.8236388888888
no03,2022/10/18 11:15:00,1115,all,26.958114795763784,238229.05222222224,1782.2701833333333
no03,2022/10/18 11:30:00,1130,all,28.046684074129686,209595.4877777778,1632.5548055555555
no03,2022/10/18 11:45:00,1145,all,28.53645775609461,213349.84944444444,1690.9312277777778
no03,2022/10/18 12:00:00,1200,all,27.89448002185841,221103.65000000002,1712.95685
no03,2022/10/18 12:15:00,1215,all,28.107867726790023,229152.36388888888,1788.8271333333332
no03,2022/10/18 12:30:00,1230,all,27.853233116788257,214521.26722222223,1659.3848833333332
no03,2022/10/18 12:45:00,1245,all,28.858596608409236,212656.43055555556,1704.5537666666667
no03,2022/10/18 13:00:00,1300,all,28.622683500204978,219949.03,1748.5693222222224
no03,2022/10/18 13:15:00,1315,all,28.813427644835087,207750.4638888889,1662.4570166666667
no03,2022/10/18 13:30:00,1330,all,28.30446662086876,205427.7111111111,1615.0944944444445
no03,2022/10/18 13:45:00,1345,all,28.444783314242297,186321.8022222222,1472.0631888888888
no03,2022/10/18 14:00:00,1400,all,28.358483990084945,203742.95333333334,1604.6716222222221
no03,2022/10/18 14:15:00,1415,all,28.199168897297742,218347.0861111111,1709.6832222222222
no03,2022/10/18 14:30:00,1430,all,29.03113242679294,211244.6461111111,1703.1746666666668
no03,2022/10/18 14:45:00,1445,all,28.57880489583984,212338.41444444444,1684.9902
no03,2022/10/18 15:00:00,1500,all,27.021871538756894,224411.1472222222,1683.865172222222
no03,2022/10/18 15:15:00,1515,all,26.78263162186478,227584.2288888889,1692.5645833333335
no03,2022/10/18 15:30:00,1530,all,27.034106241827317,223030.33055555556,1674.6034555555555
no03,2022/10/18 15:45:00,1545,all,27.29470728747981,212454.115,1610.2426444444445
no03,2022/10/18 16:00:00,1600,all,24.700395071855766,273489.705,1875.847261111111
no03,2022/10/18 16:15:00,1615,all,24.634667891277203,270686.03833333333,1851.8480000000002
no03,2022/10/18 16:30:00,1630,all,23.850821970071603,265917.70722222223,1760.2623944444445
no03,2022/10/18 16:45:00,1645,all,24.810512010914465,272960.4583333333,1879.6965444444443
no03,2022/10/18 17:00:00,1700,all,23.941106993413072,294378.05555555556,1955.6728833333336
no03,2022/10/18 17:15:00,1715,all,26.25564643074193,275816.84444444446,2010.7498055555557
no03,2022/10/18 17:30:00,1730,all,26.34054057612606,257909.4188888889,1885.862922222222
no03,2022/10/18 17:45:00,1745,all,25.265330230389512,279244.2127777778,1956.9476111111112
no03,2022/10/18 18:00:00,1800,all,25.264175885855387,278243.68,1951.0449833333332
no03,2022/10/18 18:15:00,1815,all,25.89987813148138,254949.22222222222,1832.3464611111112
no03,2022/10/18 18:30:00,1830,all,27.236564365406693,224258.2288888889,1694.5992111111111
no04,2022/10/18 07:00:00,0700,all,26.85313983101108,208412.88333333333,1554.3636166666665
no04,2022/10/18 07:15:00,0715,all,26.40695596513462,252316.72055555554,1850.3217666666667
no04,2022/10/18 07:30:00,0730,all,24.79775838549171,289742.9366666667,1995.3986333333332
no04,2022/10/18 07:45:00,0745,all,24.99205074444747,281375.1061111111,1952.5856555555556
no04,2022/10/18 08:00:00,0800,all,23.832908206974817,321511.7672222222,2125.985722222222
no04,2022/10/18 08:15:00,0815,all,24.52785661226413,317280.79,2159.962238888889
no04,2022/10/18 08:30:00,0830,all,24.559724032758172,322792.4505555556,2201.662172222222
no04,2022/10/18 08:45:00,0845,all,24.86451453216227,301135.8738888889,2079.1547833333334
no04,2022/10/18 09:00:00,0900,all,26.25773243545886,260616.07888888888,1900.0043444444443
no04,2022/10/18 09:15:00,0915,all,26.947359751993744,226196.56944444444,1692.2728
no04,2022/10/18 09:30:00,0930,all,26.894947949445516,241619.95444444442,1804.1554166666667
no04,2022/10/18 09:45:00,0945,all,28.1489280097676,223462.25944444444,1746.9049499999999
no04,2022/10/18 10:00:00,1000,all,25.830637734749217,256167.75666666668,1836.9098111111114
no04,2022/10/18 10:15:00,1015,all,25.482759340416802,245915.99444444446,1738.6877444444444
no04,2022/10/18 10:30:00,1030,all,28.123353570501298,212491.23166666666,1659.4368333333334
no04,2022/10/18 10:45:00,1045,all,29.0208950544435,202700.29944444445,1633.916261111111
no04,2022/10/18 11:00:00,1100,all,27.4463422384953,227489.52166666667,1734.1757444444445
no04,2022/10/18 11:15:00,1115,all,27.116780357509146,237568.3361111111,1788.9053111111111
no04,2022/10/18 11:30:00,1130,all,28.02704827146307,209648.15222222224,1631.8296833333334
no04,2022/10/18 11:45:00,1145,all,28.48101796398283,213859.885,1691.6065888888888
no04,2022/10/18 12:00:00,1200,all,27.9377337883586,220431.3311111111,1710.428511111111
no04,2022/10/18 12:15:00,1215,all,27.928552082687325,231880.36111111112,1798.3379777777777
no04,2022/10/18 12:30:00,1230,all,27.85791131651105,214866.29166666666,1662.3463000000002
no04,2022/10/18 12:45:00,1245,all,28.910978115311252,213143.44944444444,1711.542788888889
no04,2022/10/18 13:00:00,1300,all,28.684468561452725,219141.83222222223,1745.8960833333333
no04,2022/10/18 13:15:00,1315,all,28.898284922655932,207207.57944444445,1663.0690333333332
no04,2022/10/18 13:30:00,1330,all,28.35843947852061,204059.67222222223,1607.3248666666668
no04,2022/10/18 13:45:00,1345,all,28.498149043980774,186041.87166666667,1472.6181000000001
no04,2022/10/18 14:00:00,1400,all,28.391850827901372,204031.92333333334,1608.92325
no04,2022/10/18 14:15:00,1415,all,28.391425193485716,216665.66777777777,1708.1865833333331
no04,2022/10/18 14:30:00,1430,all,29.03401383888086,211000.0077777778,1701.6077611111111
no04,2022/10/18 14:45:00,1445,all,28.684425601815096,211812.48611111112,1687.4969722222222
no04,2022/10/18 15:00:00,1500,all,27.07386072352532,224192.98277777777,1685.6486444444445
no04,2022/10/18 15:15:00,1515,all,26.806439978955098,227971.875,1697.1647055555557
no04,2022/10/18 15:30:00,1530,all,27.108287100918144,221272.14277777777,1665.8216444444445
no04,2022/10/18 15:45:00,1545,all,27.263468265055174,213972.81055555554,1619.6943555555556
no04,2022/10/18 16:00:00,1600,all,24.693662202241324,273002.82944444445,1872.3889277777776
no04,2022/10/18 16:15:00,1615,all,24.640443747300065,270387.9061111111,1850.086061111111
no04,2022/10/18 16:30:00,1630,all,23.99183867388209,266799.6533333333,1776.9594944444443
no04,2022/10/18 16:45:00,1645,all,25.090059040605247,269788.3977777778,1878.8964833333334
