scenario,subset,V_net_mean,TTT_mean,dist_kmveh_mean,n_runs
no01,all,26.893151227258652,11857071.258333333,88575.10217777778,18
no02,all,26.965440754187185,11825034.623888887,88572.78013888889,18
no03,all,26.489020985766917,12036149.108333334,88560.56805000002,18
no04,all,26.57871360877276,11997593.466111112,88576.08742777778,18
no05,all,26.358798205906655,12096413.283333337,88567.46760555556,18
no06,all,26.387905158910982,12086711.11888889,88592.95753888889,18
no07,all,26.000990396567662,12268748.199444445,88608.77757777779,18
no08,all,26.083984036284157,12229163.920555556,88603.6533,18
no01,target,25.7618882090927,1831916.286111111,13107.850455555556,18
no02,target,26.034010735888444,1806079.5699999998,13059.179922222222,18
no03,target,24.756259937761506,1907374.822222222,13114.77465,18
no04,target,24.900846215107936,1884025.0411111112,13030.075672222221,18
no05,target,24.12785581400733,1944050.5461111115,13027.597055555556,18
no06,target,24.26915665963666,1921864.5677777778,12952.975166666667,18
no07,target,22.522101269239236,2057071.5999999999,12865.568022222222,18
no08,target,22.706956842710674,2038695.3122222226,12853.968494444445,18
no01,non_target,27.100439554524513,10025154.972222222,75467.25172222222,18
no02,non_target,27.134006169566433,10018955.053888889,75513.60021666666,18
no03,non_target,26.81600294386144,10128774.286111109,75445.79339999998,18
no04,non_target,26.891796197118005,10113568.425,75546.01175555555,18
no05,non_target,26.78673069870738,10152362.73722222,75539.87055,18
no06,non_target,26.789387583805354,10164846.551111111,75639.98237222222,18
no07,non_target,26.702858887844386,10211676.599444443,75743.20955555556,18
no08,non_target,26.76082185216825,10190468.608333332,75749.68480555556,18
