slot_code,HHMM,car,bus,other,scenario,run
0630,06:30,7692,248,0,no01,rand01
0645,06:45,8660,268,0,no01,rand01
0700,07:00,8661,276,0,no01,rand01
0715,07:15,10226,348,0,no01,rand01
0730,07:30,11073,329,0,no01,rand01
0745,07:45,10964,426,0,no01,rand01
0800,08:00,11982,442,0,no01,rand01
0815,08:15,11624,441,0,no01,rand01
0830,08:30,12509,369,0,no01,rand01
0845,08:45,11439,326,0,no01,rand01
0900,09:00,10241,398,0,no01,rand01
0915,09:15,9677,258,0,no01,rand01
0930,09:30,9941,339,0,no01,rand01
0945,09:45,9830,234,0,no01,rand01
1000,10:00,10515,312,0,no01,rand01
1015,10:15,9355,195,0,no01,rand01
1030,10:30,8997,326,0,no01,rand01
1045,10:45,8966,259,0,no01,rand01
1100,11:00,9613,215,0,no01,rand01
1115,11:15,10179,253,0,no01,rand01
1130,11:30,8943,231,0,no01,rand01
1145,11:45,9167,263,0,no01,rand01
1200,12:00,9597,227,0,no01,rand01
1215,12:15,9605,235,0,no01,rand01
1230,12:30,9619,255,0,no01,rand01
1245,12:45,9171,327,0,no01,rand01
1300,13:00,9217,270,0,no01,rand01
1315,13:15,8889,265,0,no01,rand01
1330,13:30,9106,249,0,no01,rand01
1345,13:45,8037,182,0,no01,rand01
1400,14:00,8825,333,0,no01,rand01
1415,14:15,9335,232,0,no01,rand01
1430,14:30,8986,301,0,no01,rand01
1445,14:45,8979,359,0,no01,rand01
1500,15:00,9160,254,0,no01,rand01
1515,15:15,9307,310,0,no01,rand01
1530,15:30,8935,310,0,no01,rand01
1545,15:45,8710,252,0,no01,rand01
1600,16:00,10209,295,0,no01,rand01
1615,16:15,10374,251,0,no01,rand01
1630,16:30,9908,247,0,no01,rand01
1645,16:45,10391,211,0,no01,rand01
1700,17:00,10664,360,0,no01,rand01
1715,17:15,10526,310,0,no01,rand01
1730,17:30,10392,298,0,no01,rand01
1745,17:45,10810,223,0,no01,rand01
1800,18:00,10894,307,0,no01,rand01
1815,18:15,9962,332,0,no01,rand01
1830,18:30,9406,238,0,no01,rand01
1845,18:45,8451,322,0,no01,rand01
0630,06:30,7585,255,0,no01,rand02
0645,06:45,8773,270,0,no01,rand02
0700,07:00,8603,277,0,no01,rand02
0715,07:15,10309,367,0,no01,rand02
0730,07:30,11110,312,0,no01,rand02
0745,07:45,11069,428,0,no01,rand02
0800,08:00,12156,423,0,no01,rand02
0815,08:15,11637,445,0,no01,rand02
0830,08:30,12494,416,0,no01,rand02
0845,08:45,11438,286,0,no01,rand02
0900,09:00,10106,430,0,no01,rand02
0915,09:15,9667,194,0,no01,rand02
0930,09:30,9924,360,0,no01,rand02
0945,09:45,9867,245,0,no01,rand02
1000,10:00,10175,310,0,no01,rand02
1015,10:15,9543,195,0,no01,rand02
1030,10:30,9050,297,0,no01,rand02
1045,10:45,8892,309,0,no01,rand02
1100,11:00,9592,213,0,no01,rand02
1115,11:15,10208,208,0,no01,rand02
1130,11:30,8963,260,0,no01,rand02
1145,11:45,9100,249,0,no01,rand02
1200,12:00,9641,231,0,no01,rand02
1215,12:15,9816,239,0,no01,rand02
1230,12:30,9256,277,0,no01,rand02
1245,12:45,9215,299,0,no01,rand02
1300,13:00,9405,299,0,no01,rand02
1315,13:15,8884,234,0,no01,rand02
1330,13:30,9010,262,0,no01,rand02
1345,13:45,8037,192,0,no01,rand02
1400,14:00,8575,333,0,no01,rand02
1415,14:15,9342,214,0,no01,rand02
1430,14:30,9067,305,0,no01,rand02
1445,14:45,9090,330,0,no01,rand02
1500,15:00,9070,245,0,no01,rand02
1515,15:15,9212,385,0,no01,rand02
1530,15:30,9017,254,0,no01,rand02
1545,15:45,8845,307,0,no01,rand02
1600,16:00,10123,239,0,no01,rand02
1615,16:15,10281,271,0,no01,rand02
1630,16:30,9903,227,0,no01,rand02
1645,16:45,10295,224,0,no01,rand02
1700,17:00,10750,364,0,no01,rand02
1715,17:15,10740,317,0,no01,rand02
1730,17:30,10453,248,0,no01,rand02
1745,17:45,10535,323,0,no01,rand02
1800,18:00,11041,255,0,no01,rand02
1815,18:15,9981,339,0,no01,rand02
1830,18:30,9003,234,0,no01,rand02
1845,18:45,8750,330,0,no01,rand02
0630,06:30,7566,256,0,no01,rand03
0645,06:45,8805,274,0,no01,rand03
0700,07:00,8631,269,0,no01,rand03
0715,07:15,10409,360,0,no01,rand03
0730,07:30,10885,315,0,no01,rand03
0745,07:45,11173,430,0,no01,rand03
0800,08:00,11955,411,0,no01,rand03
0815,08:15,11793,452,0,no01,rand03
0830,08:30,12275,395,0,no01,rand03
0845,08:45,11403,316,0,no01,rand03
0900,09:00,10109,409,0,no01,rand03
0915,09:15,9652,242,0,no01,rand03
0930,09:30,10238,350,0,no01,rand03
0945,09:45,9651,221,0,no01,rand03
1000,10:00,10522,298,0,no01,rand03
1015,10:15,9514,188,0,no01,rand03
1030,10:30,8838,322,0,no01,rand03
1045,10:45,8788,313,0,no01,rand03
1100,11:00,9583,191,0,no01,rand03
1115,11:15,10235,240,0,no01,rand03
1130,11:30,9169,254,0,no01,rand03
1145,11:45,8898,234,0,no01,rand03
1200,12:00,9458,234,0,no01,rand03
1215,12:15,9848,240,0,no01,rand03
1230,12:30,9433,286,0,no01,rand03
1245,12:45,9183,302,0,no01,rand03
1300,13:00,9369,274,0,no01,rand03
1315,13:15,8804,250,0,no01,rand03
1330,13:30,8922,261,0,no01,rand03
1345,13:45,8008,206,0,no01,rand03
