scenario,run,dist_total_km
no01,Case1_no01_r01_volspd.csv,89109.7805
no01,Case1_no01_r02_volspd.csv,89184.9289
no01,Case1_no01_r03_volspd.csv,89050.2663
no01,Case1_no01_r04_volspd.csv,89122.3616
no01,Case1_no01_r05_volspd.csv,89172.96919999999
no01,Case1_no01_r06_volspd.csv,89135.9778
no01,Case1_no01_r07_volspd.csv,89141.1744
no01,Case1_no01_r08_volspd.csv,89149.8516
no01,Case1_no01_r09_volspd.csv,89134.27990000001
no01,Case1_no01_r10_volspd.csv,89122.1575
no01,Case1_no01_r11_volspd.csv,89153.85990000001
no01,Case1_no01_r12_volspd.csv,89166.7295
no01,Case1_no01_r13_volspd.csv,89131.3154
no01,Case1_no01_r14_volspd.csv,89111.49
no01,Case1_no01_r15_volspd.csv,89103.99919999999
no01,Case1_no01_r16_volspd.csv,89135.41769999999
no01,Case1_no01_r17_volspd.csv,89120.7672
no01,Case1_no01_r18_volspd.csv,89154.4527
no01,Case1_no01_r19_volspd.csv,89132.35969999999
no01,Case1_no01_r20_volspd.csv,89122.95890000001
no02,Case1_no02_r01_volspd.csv,89134.8626
no02,Case1_no02_r02_volspd.csv,89143.44470000001
no02,Case1_no02_r03_volspd.csv,89124.5607
no02,Case1_no02_r04_volspd.csv,89147.40539999999
no02,Case1_no02_r05_volspd.csv,89149.1709
no02,Case1_no02_r06_volspd.csv,89101.045
no02,Case1_no02_r07_volspd.csv,89126.8218
no02,Case1_no02_r08_volspd.csv,89109.95539999999
no02,Case1_no02_r09_volspd.csv,89140.0104
no02,Case1_no02_r10_volspd.csv,89186.10010000001
no02,Case1_no02_r11_volspd.csv,89146.4766
no02,Case1_no02_r12_volspd.csv,89106.17380000002
no02,Case1_no02_r13_volspd.csv,89161.7316
no02,Case1_no02_r14_volspd.csv,89105.79759999999
no02,Case1_no02_r15_volspd.csv,89147.5392
no02,Case1_no02_r16_volspd.csv,89165.4525
no02,Case1_no02_r17_volspd.csv,89132.2862
no02,Case1_no02_r18_volspd.csv,89128.60789999999
no02,Case1_no02_r19_volspd.csv,89129.06509999999
no02,Case1_no02_r20_volspd.csv,89069.334
no03,Case1_no03_r01_volspd.csv,89138.4108
no03,Case1_no03_r02_volspd.csv,89124.32560000001
no03,Case1_no03_r03_volspd.csv,89127.91630000001
no03,Case1_no03_r04_volspd.csv,89010.72320000002
no03,Case1_no03_r05_volspd.csv,89129.49719999998
no03,Case1_no03_r06_volspd.csv,89062.35059999999
no03,Case1_no03_r07_volspd.csv,89108.6568
no03,Case1_no03_r08_volspd.csv,89102.4838
no03,Case1_no03_r09_volspd.csv,89099.3296
no03,Case1_no03_r10_volspd.csv,89138.9415
no03,Case1_no03_r11_volspd.csv,89149.8472
no03,Case1_no03_r12_volspd.csv,89156.29109999999
no03,Case1_no03_r13_volspd.csv,89140.7446
no03,Case1_no03_r14_volspd.csv,89081.19309999999
no03,Case1_no03_r15_volspd.csv,89103.13990000001
no03,Case1_no03_r16_volspd.csv,89103.54590000001
no03,Case1_no03_r17_volspd.csv,89187.6729
no03,Case1_no03_r18_volspd.csv,89093.8118
no03,Case1_no03_r19_volspd.csv,89200.1961
no03,Case1_no03_r20_volspd.csv,89109.71759999999
no04,Case1_no04_r01_volspd.csv,89169.89219999999
no04,Case1_no04_r02_volspd.csv,89120.7555
no04,Case1_no04_r03_volspd.csv,89107.27990000001
no04,Case1_no04_r04_volspd.csv,89130.48670000001
no04,Case1_no04_r05_volspd.csv,89160.28390000001
no04,Case1_no04_r06_volspd.csv,89119.7984
no04,Case1_no04_r07_volspd.csv,89151.5038
no04,Case1_no04_r08_volspd.csv,89127.1545
no04,Case1_no04_r09_volspd.csv,89116.1037
no04,Case1_no04_r10_volspd.csv,89145.46209999999
no04,Case1_no04_r11_volspd.csv,89123.97210000001
no04,Case1_no04_r12_volspd.csv,89087.8214
no04,Case1_no04_r13_volspd.csv,89130.9402
no04,Case1_no04_r14_volspd.csv,89128.38969999999
no04,Case1_no04_r15_volspd.csv,89120.1989
no04,Case1_no04_r16_volspd.csv,89150.71990000001
no04,Case1_no04_r17_volspd.csv,89140.7725
no04,Case1_no04_r18_volspd.csv,89129.8101
no04,Case1_no04_r19_volspd.csv,89130.96130000001
no04,Case1_no04_r20_volspd.csv,89193.54089999999
no05,Case1_no05_r01_volspd.csv,89208.5743
no05,Case1_no05_r02_volspd.csv,89130.4468
no05,Case1_no05_r03_volspd.csv,89090.6403
no05,Case1_no05_r04_volspd.csv,89079.5576
no05,Case1_no05_r05_volspd.csv,89132.96779999998
no05,Case1_no05_r06_volspd.csv,89138.8816
no05,Case1_no05_r07_volspd.csv,89165.4865
no05,Case1_no05_r08_volspd.csv,89042.3944
no05,Case1_no05_r09_volspd.csv,89090.7401
no05,Case1_no05_r10_volspd.csv,89147.0602
no05,Case1_no05_r11_volspd.csv,89132.87130000001
no05,Case1_no05_r12_volspd.csv,89203.0389
no05,Case1_no05_r13_volspd.csv,89088.3699
no05,Case1_no05_r14_volspd.csv,89168.0174
no05,Case1_no05_r15_volspd.csv,89124.4572
no05,Case1_no05_r16_volspd.csv,89163.1161
no05,Case1_no05_r17_volspd.csv,89064.6125
no05,Case1_no05_r18_volspd.csv,89068.9799
no05,Case1_no05_r19_volspd.csv,89165.20479999999
no05,Case1_no05_r20_volspd.csv,89099.1593
no06,Case1_no06_r01_volspd.csv,89147.4828
no06,Case1_no06_r02_volspd.csv,89142.8667
no06,Case1_no06_r03_volspd.csv,89092.244
no06,Case1_no06_r04_volspd.csv,89153.33
no06,Case1_no06_r05_volspd.csv,89167.1665
no06,Case1_no06_r06_volspd.csv,89138.5234
no06,Case1_no06_r07_volspd.csv,89166.0219
no06,Case1_no06_r08_volspd.csv,89168.867
no06,Case1_no06_r09_volspd.csv,89112.057
no06,Case1_no06_r10_volspd.csv,89119.13980000002
no06,Case1_no06_r11_volspd.csv,89184.22849999998
no06,Case1_no06_r12_volspd.csv,89139.57319999998
no06,Case1_no06_r13_volspd.csv,89175.7507
no06,Case1_no06_r14_volspd.csv,89074.9167
no06,Case1_no06_r15_volspd.csv,89142.72140000001
no06,Case1_no06_r16_volspd.csv,89185.38970000001
no06,Case1_no06_r17_volspd.csv,89136.6159
no06,Case1_no06_r18_volspd.csv,89183.5906
no06,Case1_no06_r19_volspd.csv,89194.0953
no06,Case1_no06_r20_volspd.csv,89145.48890000001
no07,Case1_no07_r01_volspd.csv,89176.4614
no07,Case1_no07_r02_volspd.csv,89273.4417
no07,Case1_no07_r03_volspd.csv,89122.3165
no07,Case1_no07_r04_volspd.csv,89160.8917
no07,Case1_no07_r06_volspd.csv,89140.12340000001
no07,Case1_no07_r07_volspd.csv,89205.1559
no07,Case1_no07_r08_volspd.csv,89119.6983
no07,Case1_no07_r09_volspd.csv,89116.9669
no07,Case1_no07_r10_volspd.csv,89208.21179999998
no07,Case1_no07_r11_volspd.csv,89163.2925
no07,Case1_no07_r12_volspd.csv,89195.506
no07,Case1_no07_r13_volspd.csv,89189.29980000001
no07,Case1_no07_r14_volspd.csv,89139.61889999999
no07,Case1_no07_r15_volspd.csv,89144.3313
no07,Case1_no07_r16_volspd.csv,89218.71380000001
no07,Case1_no07_r17_volspd.csv,89134.4594
no07,Case1_no07_r18_volspd.csv,89161.47269999998
no07,Case1_no07_r19_volspd.csv,89184.0913
no07,Case1_no07_r20_volspd.csv,89122.2869
no08,Case1_no08_r01_volspd.csv,89179.5092
no08,Case1_no08_r02_volspd.csv,89140.9989
no08,Case1_no08_r03_volspd.csv,89095.2886
no08,Case1_no08_r04_volspd.csv,89165.5774
no08,Case1_no08_r05_volspd.csv,89182.7755
no08,Case1_no08_r06_volspd.csv,89141.53130000002
no08,Case1_no08_r07_volspd.csv,89201.4945
no08,Case1_no08_r08_volspd.csv,89172.98879999999
no08,Case1_no08_r09_volspd.csv,89165.25559999999
no08,Case1_no08_r11_volspd.csv,89157.4314
no08,Case1_no08_r12_volspd.csv,89168.661
no08,Case1_no08_r13_volspd.csv,89205.51090000001
no08,Case1_no08_r14_volspd.csv,89177.03379999999
no08,Case1_no08_r15_volspd.csv,89162.6595
no08,Case1_no08_r16_volspd.csv,89132.4429
no08,Case1_no08_r17_volspd.csv,89156.6287
no08,Case1_no08_r18_volspd.csv,89134.9335
no08,Case1_no08_r19_volspd.csv,89174.9775
no08,Case1_no08_r20_volspd.csv,89143.3639
