scenario,timestr,slot_code,hhmm,dist_m_mean,dist_m_std,n_runs
no01,2022/10/18 06:30:00,0630,06:30,1322748.3,26269.626898899172,20
no01,2022/10/18 06:45:00,0645,06:45,1558816.3699999999,29614.650654863013,20
no01,2022/10/18 07:00:00,0700,07:00,1565722.76,27561.400516271242,20
no01,2022/10/18 07:15:00,0715,07:15,1871950.06,26052.626131460984,20
no01,2022/10/18 07:30:00,0730,07:30,2001403.1800000002,22719.295933484893,20
no01,2022/10/18 07:45:00,0745,07:45,1968700.03,30164.595403623633,20
no01,2022/10/18 08:00:00,0800,08:00,2143745.045,31226.58976858086,20
no01,2022/10/18 08:15:00,0815,08:15,2156238.665,22314.41090063541,20
no01,2022/10/18 08:30:00,0830,08:30,2218334.15,35803.70980152895,20
no01,2022/10/18 08:45:00,0845,08:45,2087011.655,29219.163251365942,20
no01,2022/10/18 09:00:00,0900,09:00,1909853.58,26054.34838908046,20
no01,2022/10/18 09:15:00,0915,09:15,1711462.4,18059.781239101692,20
no01,2022/10/18 09:30:00,0930,09:30,1817330.7550000001,23813.498445640038,20
no01,2022/10/18 09:45:00,0945,09:45,1754720.92,23911.850478494805,20
no01,2022/10/18 10:00:00,1000,10:00,1851948.4600000002,23226.6017241211,20
no01,2022/10/18 10:15:00,1015,10:15,1750760.27,22796.951816718596,20
no01,2022/10/18 10:30:00,1030,10:30,1668401.0699999998,28057.680776292156,20
no01,2022/10/18 10:45:00,1045,10:45,1638397.095,10395.067516728393,20
no01,2022/10/18 11:00:00,1100,11:00,1751953.4899999998,20514.800508513486,20
no01,2022/10/18 11:15:00,1115,11:15,1793174.5100000002,30223.899450563757,20
no01,2022/10/18 11:30:00,1130,11:30,1641650.6,22065.7650747893,20
no01,2022/10/18 11:45:00,1145,11:45,1700600.3399999999,26780.85228466509,20
no01,2022/10/18 12:00:00,1200,12:00,1730933.98,24134.303765793156,20
no01,2022/10/18 12:15:00,1215,12:15,1797243.7550000001,26417.48205397475,20
no01,2022/10/18 12:30:00,1230,12:30,1668998.715,27928.365742420294,20
no01,2022/10/18 12:45:00,1245,12:45,1719427.7550000001,29819.034849474687,20
no01,2022/10/18 13:00:00,1300,13:00,1758412.895,25700.19472702143,20
no01,2022/10/18 13:15:00,1315,13:15,1671065.45,32450.245325266787,20
no01,2022/10/18 13:30:00,1330,13:30,1626884.005,33917.14842504921,20
no01,2022/10/18 13:45:00,1345,13:45,1482323.01,21623.44145628953,20
no01,2022/10/18 14:00:00,1400,14:00,1611558.2449999999,29406.11343435554,20
no01,2022/10/18 14:15:00,1415,14:15,1719072.815,36647.99924676404,20
no01,2022/10/18 14:30:00,1430,14:30,1714253.9100000001,25293.755486866088,20
no01,2022/10/18 14:45:00,1445,14:45,1701296.27,34322.51153834908,20
no01,2022/10/18 15:00:00,1500,15:00,1694555.425,29541.69645914193,20
no01,2022/10/18 15:15:00,1515,15:15,1705503.6600000001,29365.43773393622,20
no01,2022/10/18 15:30:00,1530,15:30,1680282.61,28326.292353681038,20
no01,2022/10/18 15:45:00,1545,15:45,1623003.865,24720.452315872768,20
no01,2022/10/18 16:00:00,1600,16:00,1891967.4,23194.110985447667,20
no01,2022/10/18 16:15:00,1615,16:15,1862800.35,33984.264325969576,20
no01,2022/10/18 16:30:00,1630,16:30,1770815.7,28373.804259340464,20
no01,2022/10/18 16:45:00,1645,16:45,1887204.405,35577.91517974796,20
no01,2022/10/18 17:00:00,1700,17:00,1975508.8199999998,29356.025162255006,20
no01,2022/10/18 17:15:00,1715,17:15,2020986.6600000001,41109.819659930414,20
no01,2022/10/18 17:30:00,1730,17:30,1899879.75,22407.175580028153,20
no01,2022/10/18 17:45:00,1745,17:45,1978394.6,26528.933063930883,20
no01,2022/10/18 18:00:00,1800,18:00,1971988.1199999999,20733.6194815545,20
no01,2022/10/18 18:15:00,1815,18:15,1849128.9100000001,26603.24449959365,20
no01,2022/10/18 18:30:00,1830,18:30,1681303.69,26674.443488850822,20
no01,2022/10/18 18:45:00,1845,18:45,1553136.42,26552.403054409042,20
no02,2022/10/18 06:30:00,0630,06:30,1322748.3,26269.626898899172,20
no02,2022/10/18 06:45:00,0645,06:45,1558816.3699999999,29614.650654863013,20
no02,2022/10/18 07:00:00,0700,07:00,1566586.345,27460.108869881853,20
no02,2022/10/18 07:15:00,0715,07:15,1869210.975,22246.902066458704,20
no02,2022/10/18 07:30:00,0730,07:30,2003676.25,17061.575918681905,20
no02,2022/10/18 07:45:00,0745,07:45,1958318.8050000002,26725.387019608657,20
no02,2022/10/18 08:00:00,0800,08:00,2158168.38,34390.88115700688,20
no02,2022/10/18 08:15:00,0815,08:15,2157196.91,25967.444638824607,20
no02,2022/10/18 08:30:00,0830,08:30,2219212.645,37973.79712547611,20
no02,2022/10/18 08:45:00,0845,08:45,2084598.6149999998,26661.146560023022,20
no02,2022/10/18 09:00:00,0900,09:00,1914287.2399999998,26842.299532962177,20
no02,2022/10/18 09:15:00,0915,09:15,1700238.295,21415.02526153259,20
no02,2022/10/18 09:30:00,0930,09:30,1820079.35,26406.9544790662,20
no02,2022/10/18 09:45:00,0945,09:45,1752711.08,22103.755944149547,20
no02,2022/10/18 10:00:00,1000,10:00,1857341.545,28962.459979836938,20
no02,2022/10/18 10:15:00,1015,10:15,1745088.265,29668.604680444634,20
no02,2022/10/18 10:30:00,1030,10:30,1667873.99,26425.44052190495,20
no02,2022/10/18 10:45:00,1045,10:45,1641154.95,24704.188977995735,20
no02,2022/10/18 11:00:00,1100,11:00,1747896.455,24262.022552420967,20
no02,2022/10/18 11:15:00,1115,11:15,1803088.395,31453.187472872436,20
no02,2022/10/18 11:30:00,1130,11:30,1640189.2,28688.395166870636,20
no02,2022/10/18 11:45:00,1145,11:45,1701698.0899999999,25566.9846339479,20
no02,2022/10/18 12:00:00,1200,12:00,1725300.735,29014.257154703064,20
no02,2022/10/18 12:15:00,1215,12:15,1807434.6800000002,22383.978520587105,20
no02,2022/10/18 12:30:00,1230,12:30,1673281.925,33295.3322632132,20
no02,2022/10/18 12:45:00,1245,12:45,1719227.015,24981.012392052315,20
no02,2022/10/18 13:00:00,1300,13:00,1754647.3050000002,21952.755929339015,20
no02,2022/10/18 13:15:00,1315,13:15,1673112.44,28123.28134731824,20
no02,2022/10/18 13:30:00,1330,13:30,1621266.2349999999,27077.49100546087,20
no02,2022/10/18 13:45:00,1345,13:45,1482843.975,20986.116422075796,20
no02,2022/10/18 14:00:00,1400,14:00,1616879.55,24613.63044336675,20
no02,2022/10/18 14:15:00,1415,14:15,1718346.455,38624.90570565868,20
no02,2022/10/18 14:30:00,1430,14:30,1715519.53,27524.148033109526,20
no02,2022/10/18 14:45:00,1445,14:45,1696867.55,29156.390954652208,20
no02,2022/10/18 15:00:00,1500,15:00,1693853.53,28973.903331193917,20
no02,2022/10/18 15:15:00,1515,15:15,1714517.985,35334.028973576555,20
no02,2022/10/18 15:30:00,1530,15:30,1673393.415,24517.328826841018,20
no02,2022/10/18 15:45:00,1545,15:45,1627703.48,29646.13620468862,20
no02,2022/10/18 16:00:00,1600,16:00,1880816.0,29822.301393879206,20
no02,2022/10/18 16:15:00,1615,16:15,1862779.06,32948.92936060134,20
no02,2022/10/18 16:30:00,1630,16:30,1777760.8350000002,34077.18083147932,20
no02,2022/10/18 16:45:00,1645,16:45,1889106.4149999998,29785.398507150436,20
no02,2022/10/18 17:00:00,1700,17:00,1967887.77,27743.77399524178,20
no02,2022/10/18 17:15:00,1715,17:15,2022877.1,33245.38987131586,20
