scenario,seed,V_net
no01,r01,26.77331348053037
no01,r02,27.006138654017818
no01,r03,26.89078592674372
no01,r04,26.863597578775877
no01,r06,26.892237986536674
no01,r07,27.086229225264173
no01,r08,26.95148710997212
no01,r09,26.75809179927379
no01,r11,26.962868126638785
no01,r12,26.89746788954264
no01,r13,27.013707380153555
no01,r14,26.88786704626228
no01,r15,26.711378505192656
no01,r16,26.84452169456095
no01,r17,26.86737341919138
no01,r18,26.85088746107796
no01,r19,26.841955448966747
no01,r20,26.976813357954228
no02,r01,27.12143529592129
no02,r02,26.81139694916672
no02,r03,26.89080364813473
no02,r04,26.906815660081698
no02,r06,27.1339347700981
no02,r07,27.026529585511703
no02,r08,27.111471204810424
no02,r09,26.99393198714615
no02,r11,26.98526360917312
no02,r12,26.85518326765757
no02,r13,26.96092998062587
no02,r14,27.13130192720971
no02,r15,26.96287624923617
no02,r16,26.947576895245952
no02,r17,26.86540896512073
no02,r18,26.947985898244383
no02,r19,26.742320242993426
no02,r20,26.98276743899162
no03,r01,26.449328770247305
no03,r02,26.56300814884975
no03,r03,26.35800458172185
no03,r04,26.51703474228694
no03,r06,26.53576776335855
no03,r07,26.665368802873857
no03,r08,26.36467065635244
no03,r09,26.4089127491859
no03,r11,26.50685827802725
no03,r12,26.39366287937807
no03,r13,26.699645653367824
no03,r14,26.566627579688127
no03,r15,26.76409906866231
no03,r16,26.47300462855197
no03,r17,26.27281567283218
no03,r18,26.539193757820797
no03,r19,26.36723529438059
no03,r20,26.357138716218813
no04,r01,26.76726651451689
no04,r02,26.514405957795397
no04,r03,26.569585909057164
no04,r04,26.68866206969533
no04,r06,26.716908028378743
no04,r07,26.541385066995893
no04,r08,26.659953840651347
no04,r09,26.692539911865538
no04,r11,26.44771876999324
no04,r12,26.49862768131253
no04,r13,26.56112236614056
no04,r14,26.71496409176482
no04,r15,26.61148089847558
no04,r16,26.460499754482854
no04,r17,26.27517681420306
no04,r18,26.68971536837682
no04,r19,26.499011922072118
no04,r20,26.50781999213176
no05,r01,26.32424414991159
no05,r02,26.50159937741424
no05,r03,26.128488710398106
no05,r04,26.40862818053024
no05,r06,26.339062816770024
no05,r07,26.484423843361974
no05,r08,26.354179375901865
no05,r09,26.264674160997693
no05,r11,26.34828224172108
no05,r12,26.483337159197127
no05,r13,26.44108089838518
no05,r14,26.326671273429923
no05,r15,26.43835465544155
no05,r16,26.371295453912783
no05,r17,26.212785830428416
no05,r18,26.310978655955672
no05,r19,26.291100660233727
no05,r20,26.42918026232862
no06,r01,26.584132592869462
no06,r02,26.54781795067284
no06,r03,26.29173081658091
no06,r04,26.31261077605353
no06,r06,26.472991834350893
no06,r07,26.54119571548027
no06,r08,26.49749646869206
no06,r09,26.433107042019586
no06,r11,26.302097605739032
no06,r12,26.279200395901302
no06,r13,26.361900881005187
no06,r14,26.616890787133144
no06,r15,26.363938732129203
no06,r16,26.199092992124275
no06,r17,26.091830469712548
no06,r18,26.364555437871854
no06,r19,26.360765207678025
no06,r20,26.36093715438357
no07,r01,25.989335136532176
no07,r02,26.12021942136406
no07,r03,25.931798290919417
no07,r04,25.948685889280146
no07,r06,25.86003919136235
no07,r07,26.34252491771465
no07,r08,26.05017908871751
no07,r09,25.995458533900702
no07,r11,25.93146249776328
no07,r12,26.073945339337538
no07,r13,26.051415353596987
no07,r14,26.085872587896574
no07,r15,26.10833135907268
no07,r16,25.845915749348745
no07,r17,25.88414495338542
no07,r18,25.984698842321333
no07,r19,25.729554800414064
no07,r20,26.0842451852903
no08,r01,26.228421258666465
no08,r02,26.064718992068787
no08,r03,25.864182129131237
no08,r04,26.06774965955636
no08,r06,26.174644503794827
no08,r07,26.149522157452164
no08,r08,26.338133120727445
no08,r09,26.190560386703623
no08,r11,25.888841363036292
no08,r12,25.9872171388576
no08,r13,26.138231239696804
no08,r14,26.419512082176315
no08,r15,26.196617562340634
no08,r16,25.961950279558863
no08,r17,25.905837305722468
no08,r18,25.963683578442645
no08,r19,25.8089845185828
no08,r20,26.16290537659949
