,Time,VID,Type,Pos.x,Pos.y
7920090,15:00:00,34569,I_09_1204235410404,139.939099,35.900599
7920091,15:00:00,34590,I_09_1204235410404,139.939471,35.900142
7920092,15:00:00,34622,I_09_1204235410404,139.939631,35.899942
7920093,15:00:00,34582,I_09_1204235410404,139.939789,35.89974
7920094,15:00:00,34565,I_09_1204235410404,139.939943,35.899534
7920095,15:00:00,34645,I_09_1204235410404,139.940227,35.899121
7920096,15:00:00,34641,I_09_1204235410404,139.939084,35.900616
7920103,15:00:00,34630,I_09_1204235410419,139.940677,35.898351
7920104,15:00:00,34567,I_09_1204235410404,139.940813,35.898102
7920105,15:00:00,34471,I_09_1204235410404,139.941799,35.896133
7920106,15:00:00,34472,I_09_1204235410404,139.941772,35.896188
7920107,15:00:00,34451,I_09_1204235410404,139.941744,35.896243
7920108,15:00:00,34405,I_09_1204235410419,139.941691,35.896351
7920109,15:00:00,34398,I_09_1204235410419,139.941632,35.896469
7920110,15:00:00,33762,I_09_1204235410404,139.941554,35.896625
7920111,15:00:00,34543,I_09_1204235410404,139.945647,35.897835
7920112,15:00:00,34279,I_09_1204235410499,139.945177,35.897615
7920113,15:00:00,34548,I_09_1204235410404,139.944732,35.897406
7920114,15:00:00,34072,I_09_1204235410404,139.944771,35.897424
7920118,15:00:00,33933,I_09_1204235410404,139.94971,35.894851
7920119,15:00:00,33944,I_09_1204235410404,139.94971,35.894851
7920120,15:00:00,33895,I_09_1204235410404,139.949748,35.894634
7920142,15:00:00,34554,I_09_1204235410419,139.946851,35.898176
7920143,15:00:00,33768,I_09_1204235410404,139.946593,35.898166
7920144,15:00:00,34462,I_09_1204235410404,139.946133,35.898056
7920194,15:00:00,33771,I_09_1204235410404,139.947472,35.898136
7920198,15:00:00,34538,I_09_1204235410404,139.949392,35.897794
7920300,15:00:01,34569,I_09_1204235410404,139.939073,35.900631
7920301,15:00:01,34590,I_09_1204235410404,139.939397,35.900233
7920302,15:00:01,34622,I_09_1204235410404,139.939559,35.900034
7920303,15:00:01,34582,I_09_1204235410404,139.939717,35.899831
7920304,15:00:01,34565,I_09_1204235410404,139.939874,35.899628
7920305,15:00:01,34645,I_09_1204235410404,139.940165,35.89922
7920312,15:00:01,34630,I_09_1204235410419,139.94062,35.898457
7920313,15:00:01,34567,I_09_1204235410404,139.940756,35.898208
7920314,15:00:01,34471,I_09_1204235410404,139.941799,35.896133
7920315,15:00:01,34472,I_09_1204235410404,139.941772,35.896188
7920316,15:00:01,34451,I_09_1204235410404,139.941744,35.896243
7920317,15:00:01,34405,I_09_1204235410419,139.941691,35.896351
7920318,15:00:01,34398,I_09_1204235410419,139.941633,35.896466
7920319,15:00:01,33762,I_09_1204235410404,139.94157,35.896593
7920320,15:00:01,34279,I_09_1204235410499,139.945301,35.897673
7920321,15:00:01,34548,I_09_1204235410404,139.944855,35.897464
7920322,15:00:01,34543,I_09_1204235410404,139.945593,35.89781
7920323,15:00:01,34072,I_09_1204235410404,139.944648,35.897366
7920327,15:00:01,33933,I_09_1204235410404,139.949695,35.894937
7920328,15:00:01,33944,I_09_1204235410404,139.949695,35.894937
7920329,15:00:01,33895,I_09_1204235410404,139.949734,35.894713
7920350,15:00:01,33768,I_09_1204235410404,139.946703,35.898171
7920351,15:00:01,34462,I_09_1204235410404,139.946237,35.898093
7920352,15:00:01,34554,I_09_1204235410419,139.946792,35.898175
7920402,15:00:01,33771,I_09_1204235410404,139.947617,35.898122
7920407,15:00:01,34538,I_09_1204235410404,139.949392,35.897794
7920510,15:00:02,34569,I_09_1204235410404,139.939065,35.90064
7920511,15:00:02,34622,I_09_1204235410404,139.939485,35.900124
7920512,15:00:02,34582,I_09_1204235410404,139.939645,35.899923
7920513,15:00:02,34565,I_09_1204235410404,139.939803,35.899721
7920514,15:00:02,34645,I_09_1204235410404,139.940102,35.899318
7920515,15:00:02,34590,I_09_1204235410404,139.939327,35.900319
7920522,15:00:02,34630,I_09_1204235410419,139.940562,35.898562
7920523,15:00:02,34567,I_09_1204235410404,139.940698,35.898313
7920524,15:00:02,34471,I_09_1204235410404,139.941799,35.896133
7920525,15:00:02,34472,I_09_1204235410404,139.941772,35.896188
7920526,15:00:02,34451,I_09_1204235410404,139.941744,35.896243
7920527,15:00:02,34405,I_09_1204235410419,139.941691,35.896351
7920528,15:00:02,34398,I_09_1204235410419,139.941634,35.896465
7920529,15:00:02,33762,I_09_1204235410404,139.941581,35.896571
7920530,15:00:02,34279,I_09_1204235410499,139.945424,35.897731
7920531,15:00:02,34548,I_09_1204235410404,139.944978,35.897521
7920532,15:00:02,34543,I_09_1204235410404,139.945716,35.897868
7920533,15:00:02,34072,I_09_1204235410404,139.944525,35.897309
7920536,15:00:02,33933,I_09_1204235410404,139.94968,35.895025
