Link,Length[m],LaneNum,Ave.SPD,SPD_0630,SPD_0645,SPD_0700,SPD_0715,SPD_0730,SPD_0745,SPD_0800,SPD_0815,SPD_0830,SPD_0845,SPD_0900,SPD_0915,SPD_0930,SPD_0945,SPD_1000,SPD_1015,SPD_1030,SPD_1045,SPD_1100,SPD_1115,SPD_1130,SPD_1145,SPD_1200,SPD_1215,SPD_1230,SPD_1245,SPD_1300,SPD_1315,SPD_1330,SPD_1345,SPD_1400,SPD_1415,SPD_1430,SPD_1445,SPD_1500,SPD_1515,SPD_1530,SPD_1545,SPD_1600,SPD_1615,SPD_1630,SPD_1645,SPD_1700,SPD_1715,SPD_1730,SPD_1745,SPD_1800,SPD_1815,SPD_1830,SPD_1845
533967_00280_11490_0,117.2,1,52.41,52.38,52.54,52.13,52.52,52.43,52.50,52.17,52.43,52.15,52.13,52.31,52.47,52.00,52.29,52.61,52.14,52.69,52.43,52.45,52.45,52.34,52.37,52.26,52.56,52.05,52.51,52.48,52.35,52.36,52.64,52.40,52.29,52.55,52.42,52.60,52.37,52.24,52.27,52.51,52.52,52.66,52.36,52.61,52.76,52.76,52.76,52.76,52.76,52.55,52.06
533967_00280_11490_1,117.3,1,49.56,49.94,49.98,49.28,49.27,49.88,49.76,49.69,49.75,49.86,49.66,49.29,49.48,49.45,49.11,49.37,49.58,49.37,49.64,49.30,49.64,49.87,49.33,49.40,49.39,49.59,49.47,49.25,49.28,49.83,49.21,49.49,49.61,49.71,49.61,49.34,49.74,49.52,49.37,49.66,49.30,49.56,49.86,49.68,49.60,49.79,50.03,49.30,49.48,49.40,49.99
533967_00280_13214_0,138.9,1,45.40,45.22,45.33,45.45,45.35,45.38,45.40,45.35,45.42,45.30,45.42,45.42,45.45,45.39,45.39,45.42,45.42,45.38,45.42,45.41,45.38,45.36,45.42,45.35,45.40,45.38,45.45,45.42,45.45,45.39,45.39,45.41,45.42,45.42,45.30,45.41,45.45,45.41,45.30,45.39,45.45,45.45,45.32,45.45,45.43,45.42,45.45,45.42,45.42,45.42,45.45
533967_00280_13214_1,158.9,1,50.71,50.36,50.84,50.48,50.65,50.98,50.56,50.43,50.25,50.43,49.92,50.63,50.75,50.36,50.22,50.33,50.84,50.34,50.58,50.78,51.29,50.55,50.90,50.98,51.33,51.23,50.97,50.81,49.69,50.58,50.64,50.88,50.60,51.09,50.89,51.13,50.38,51.01,50.92,51.04,50.67,51.26,51.28,50.41,50.70,51.41,50.99,51.08,50.90,51.48,50.74
533967_00285_11494_0,61.6,1,49.56,49.86,50.92,48.53,50.20,50.54,49.63,49.64,50.00,50.10,-1,55.47,50.71,48.73,49.30,49.30,51.60,51.20,48.23,55.47,49.86,50.23,55.47,50.84,47.54,48.66,48.41,49.30,46.71,48.94,48.78,49.59,49.30,-1,49.92,48.94,48.70,46.71,49.67,48.85,50.71,49.30,51.77,50.71,49.07,48.87,50.16,49.30,48.63,49.88,49.47
533967_00285_11494_1,61.5,1,44.33,44.31,44.31,44.31,44.31,44.31,44.31,44.31,44.48,44.31,44.31,44.31,44.31,44.31,44.31,44.54,44.31,44.31,44.31,44.31,44.31,44.31,44.74,44.31,44.31,44.31,44.31,44.31,44.31,44.31,44.31,44.31,44.31,44.31,44.31,44.31,44.31,44.31,44.31,44.31,44.31,44.31,44.31,44.31,44.31,44.31,44.31,44.31,44.31,44.31,44.31
533967_00285_11497_0,145.2,1,52.01,52.28,52.28,51.88,52.28,52.12,52.09,52.02,50.72,51.36,51.13,52.28,52.28,52.28,52.11,51.60,52.28,50.64,52.28,52.28,52.28,52.28,52.03,52.28,52.28,52.28,52.28,52.28,52.28,52.28,52.28,52.28,52.28,52.28,52.28,52.28,52.28,52.28,52.28,52.12,52.28,52.28,52.28,51.58,51.76,52.28,52.28,52.28,52.28,52.28,52.28
533967_00285_11497_1,145.1,1,49.59,49.52,48.76,50.15,49.29,49.24,49.52,49.57,49.40,49.42,-1,47.49,49.17,50.01,49.75,49.42,48.82,48.98,50.23,47.49,49.36,49.36,47.49,49.12,50.56,50.04,50.15,49.75,50.97,49.91,49.99,49.38,49.75,-1,49.49,49.91,50.02,50.97,49.60,49.95,49.17,49.75,48.76,49.17,49.86,49.85,49.39,49.75,50.05,49.29,49.61
533967_00319_00539_0,145.8,1,14.10,25.97,31.30,27.46,27.20,26.94,8.51,7.05,12.12,4.60,8.79,17.84,7.67,7.57,26.69,23.74,20.30,29.04,27.63,26.96,29.91,25.67,26.49,29.38,34.87,21.47,27.77,25.29,23.48,27.87,30.26,27.21,29.60,30.58,26.09,12.30,27.04,28.89,27.85,31.92,29.09,30.84,29.35,28.14,25.57,11.49,3.32,4.22,4.74,10.43,28.37
533967_00319_00539_1,145.6,1,24.29,27.05,27.97,26.48,28.48,28.27,18.08,25.71,26.44,23.88,27.62,26.91,25.27,28.14,25.57,25.39,22.62,21.95,25.89,21.74,24.04,22.97,24.71,24.30,26.29,23.69,21.27,22.10,25.49,24.09,22.66,23.29,20.71,23.37,25.32,23.20,23.11,21.95,23.50,23.44,22.08,22.09,21.76,18.53,23.95,26.36,27.00,30.05,23.02,24.00,27.35
